,,,,,,,,,,,,,,,,,,,,,,,,,
,"Negócio / Segmento
Produto",Jan./25,Feb./25,Mar./25,Apr./25,May./25,Jun./25,Jul./25,Aug./25,Sep./25,Oct./25,Nov./25,Dec./25,Jan./26,Feb./26,Mar./26,Apr./26,May./26,Jun./26,Jul./26,Aug./26,Sep./26,Oct./26,Nov./26,Dec./26
,TOTAL - 2025&2026,  89.426.481 ,  88.744.018 ,  95.615.552 ,  94.863.960 ,  97.899.915 ,  95.884.536 ,  98.946.799 ,  97.110.650 ,  104.150.107 ,  101.222.032 ,  98.177.118 ,  93.899.774 ,  98.534.533 ,  94.699.929 ,  107.149.350 ,  102.632.788 ,  108.674.733 ,  104.768.872 ,  109.991.963 ,  -   ,  -   ,  -   ,  -   ,  -   
, Real Estate,  45.031.554 ,  45.139.085 ,  49.681.265 ,  48.280.331 ,  49.497.052 ,  49.263.313 ,  50.691.556 ,  49.134.221 ,  49.105.332 ,  51.430.204 ,  49.063.465 ,  47.979.402 ,  49.460.624 ,  46.066.357 ,  52.415.971 ,  49.282.660 ,  51.792.916 ,  49.026.819 ,  52.042.662 ,  -   ,  -   ,  -   ,  -   ,  -   
,B&A,  37.203.057 ,  37.759.571 ,  41.875.918 ,  40.662.068 ,  41.540.838 ,  41.764.477 ,  43.188.761 ,  41.794.240 ,  42.406.137 ,  44.491.012 ,  42.102.574 ,  42.022.011 ,  42.536.416 ,  39.588.233 ,  45.531.455 ,  41.927.980 ,  44.815.165 ,  42.639.234 ,  45.415.923 ,  -   ,  -   ,  -   ,  -   ,  -   
,Classifieds - B&A,  36.951.475 ,  37.381.191 ,  41.538.388 ,  40.310.817 ,  41.196.485 ,  41.380.578 ,  42.730.648 ,  41.428.172 ,  41.987.779 ,  44.091.275 ,  41.679.874 ,  41.499.095 ,  42.168.533 ,  39.232.175 ,  45.099.642 ,  41.509.480 ,  44.416.817 ,  42.186.137 ,  44.875.302 ,  -   ,  -   ,  -   ,  -   ,  -   
,Remax / Tegarante / Klubi,  251.582 ,  378.380 ,  337.530 ,  351.251 ,  344.353 ,  383.899 ,  458.113 ,  366.068 ,  418.358 ,  399.737 ,  422.700 ,  522.916 ,  367.882 ,  356.058 ,  431.814 ,  418.499 ,  398.348 ,  453.098 ,  540.621 ,  -   ,  -   ,  -   ,  -   ,  -   
,Classifieds - Developers,  761.051 ,  658.954 ,  702.870 ,  672.948 ,  718.843 ,  616.057 ,  566.155 ,  501.931 ,  523.960 ,  527.430 ,  522.716 ,  442.161 ,  455.420 ,  434.892 ,  566.893 ,  521.090 ,  547.826 ,  554.460 ,  498.239 ,  -   ,  -   ,  -   ,  -   ,  -   
,Classifieds - Privates,  5.301.595 ,  4.862.173 ,  5.145.605 ,  5.080.844 ,  5.216.887 ,  4.960.315 ,  5.158.931 ,  5.095.272 ,  5.072.113 ,  5.225.085 ,  4.973.648 ,  4.520.790 ,  5.526.472 ,  4.795.959 ,  5.605.414 ,  5.246.794 ,  5.341.546 ,  5.054.973 ,  5.268.407 ,  -   ,  -   ,  -   ,  -   ,  -   
,Transactional & Fintech - For Sale,  155.072 ,  160.227 ,  150.809 ,  101.943 ,  140.121 ,  78.501 ,- 57.884 ,- 12.366 ,- 1.386 ,  33.033 ,  24.694 ,  24.926 ,  16.245 ,  11.259 ,- 4.563 ,- 3.456 ,  150 ,  609 ,  739 ,  -   ,  -   ,  -   ,  -   ,  -   
,Transactional & Fintech - Rentals,  72.398 ,  76.230 ,  81.758 ,  87.809 ,  91.079 ,  96.210 ,  102.330 ,  112.207 ,  118.975 ,  119.875 ,  127.441 ,  566 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,Data,  428.024 ,  456.604 ,  487.109 ,  462.230 ,  540.472 ,  526.095 ,  497.789 ,  538.571 ,  475.476 ,  482.011 ,  463.983 ,  448.897 ,  430.448 ,  141.718 ,  32.993 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,CRM,  764.017 ,  738.583 ,  783.630 ,  762.078 ,  761.161 ,  750.984 ,  745.736 ,  739.950 , -,  27.260 ,  2.772 , -,  -   ,  561.394 ,  129.791 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
