Ad report
"September 24, 2021 - September 16, 2026"
Ad status,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Portrait image ID,Logo ID,Landscape logo ID,Business name,Display Network image ID,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,ad.device_preference,ad.display_url,Path 1,Path 2,Card 1 headline,Card 1 call to action text,Card 1 image ID,Card 1 square image ID,Card 1 portrait image ID,Card 1 final URL,Card 1 final mobile URL,Card 2 headline,Card 2 call to action text,Card 2 image ID,Card 2 square image ID,Card 2 portrait image ID,Card 2 final URL,Card 2 final mobile URL,Card 3 headline,Card 3 call to action text,Card 3 image ID,Card 3 square image ID,Card 3 portrait image ID,Card 3 final URL,Card 3 final mobile URL,Card 4 headline,Card 4 call to action text,Card 4 image ID,Card 4 square image ID,Card 4 portrait image ID,Card 4 final URL,Card 4 final mobile URL,Card 5 headline,Card 5 call to action text,Card 5 image ID,Card 5 square image ID,Card 5 portrait image ID,Card 5 final URL,Card 5 final mobile URL,Card 6 headline,Card 6 call to action text,Card 6 image ID,Card 6 square image ID,Card 6 portrait image ID,Card 6 final URL,Card 6 final mobile URL,Card 7 headline,Card 7 call to action text,Card 7 image ID,Card 7 square image ID,Card 7 portrait image ID,Card 7 final URL,Card 7 final mobile URL,Card 8 headline,Card 8 call to action text,Card 8 image ID,Card 8 square image ID,Card 8 portrait image ID,Card 8 final URL,Card 8 final mobile URL,Card 9 headline,Card 9 call to action text,Card 9 image ID,Card 9 square image ID,Card 9 portrait image ID,Card 9 final URL,Card 9 final mobile URL,Card 10 headline,Card 10 call to action text,Card 10 image ID,Card 10 square image ID,Card 10 portrait image ID,Card 10 final URL,Card 10 final mobile URL,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Ad strength,Ad strength improvements,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Video,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Enabled,https://conteudo.zapmais.com/prontoparamudar/?utm_source=google&utm_medium=cpc&utm_campaign=Feirao+pronto+para+mudar, --, --, --, --, --, --, --, --,Seleção de Imóveis, --,Pronto para Mudar, --,Mais Leads para Você, --,Destaque suas Ofertas Imobiliárias, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Aproveite. Chance do Momento para Movimentar seus Negócios, --,Exponha seus imóveis nos três maiores portais imobiliário, --,"Quanto Maior a Exposição, mais Chances de Venda ou Aluguel para seus Imóveis", --,A Melhor Oportunidade do Mês para Gerar mais Negócios e Bater Metas está Aqui, --,A Seleção de Imóveis Pronto para Mudar já vai Começar. Você não Pode Perder,47229340211,47229342971, --,17367411307, --,Zap +, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Feirão pronto para mudar,Ad group 1,Not eligible,campaign paused,Demand Gen image ad,Average, --;--;--,BRL,0,5.92,"358,611","6,059",1.69%,0.35,2123.71, --,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://movimento.zapmais.com/datazap-tendencias-moradia/, --, --, --, --, --, --, --, --,Estudo de mercado DataZAP+,1,Tendências de Moradia,2,Baixe Agora, --,Corretor Parceiro, --,ZAP+ Movimento Vai de Corretor, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Acesse o vai de corretor e confira o Estudo sobre Tendências de Moradia da DataZAP+, --,O ZAP+ conta tudo o que você precisa saber sobre o mercado imobiliário., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Math | Lead |Pesquisa | #vaidecorretor | Janeiro #2,Grupo de anúncios 1,Not eligible,campaign paused,Responsive search ad,Poor,Add more headlines to increase your chances for better performance;Try including more keywords in your headlines;Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets;Add 6 more sitelinks in your ad,BRL,0,0,0,0, --,0,0.00, --,0.00,0,0,0.00%,0.00,0.00
Enabled,https://movimento.zapmais.com/conteudos/, --, --, --, --, --, --, --, --,Vai de Corretor, --,Zap+ #VaideCorretor, --,Corretores Consultores, --,Corretor Parceiro, --,ZAP+ Movimento Vai de Corretor, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Somos apaixonados por mudança, mas uma coisa não muda a importância do corretor", --,Mudamos. Evoluímos. E reforçamos: parceria empodera, --,"Juntos, vamos mais longe: investindo em tecnologia, inteligência e inovação", --,Ninguém entende mais de compra e venda de imóveis do que você!, --,Dezenas de parceiros conectados para oferecer benefícios que ajudam a fechar + negócios,19014529520; 19028466875; 19063208739,19014529523; 19028466878; 19063208838, --,17367411307, --,Zap+, --,Visite Site, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,[MATH] [DISCOVERY] [B2B] Movimento Vai de Corretor - Dezembro,Corretores,Not eligible,campaign ended; campaign paused,Demand Gen image ad,Average, --,BRL,0,5.91,"482,517","16,354",3.39%,0.17,2853.36, --,0.00,0,0.00,6.94%,"1,135.00",2.51
Enabled,https://movimento.zapmais.com/, --, --, --, --, --, --, --, --,Vai de Corretor, --,Zap+ #VaideCorretor, --,Corretores Consultores, --,Corretor Parceiro, --,ZAP+ Movimento Vai de Corretor, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Somos apaixonados por mudança, mas uma coisa não muda a importância do corretor", --,Mudamos. Evoluímos. E reforçamos: parceria empodera, --,"Juntos, vamos mais longe: investindo em tecnologia, inteligência e inovação", --,Ninguém entende mais de compra e venda de imóveis do que você!, --,Dezenas de parceiros conectados para oferecer benefícios que ajudam a fechar + negócios,19014529520; 19028466875; 19063208739,19014529523; 19028466878; 19063208838, --,17367411307, --,Zap+, --,Visite Site, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,[MATH] [DISCOVERY] [B2B] Movimento Vai de Corretor - Dezembro,Corretores,Not eligible,disapproved; campaign ended; campaign paused,Demand Gen image ad,Average, --,BRL,0,6.45,"4,888,459","139,852",2.86%,0.23,31552.05, --,0.00,0,0.00,4.93%,"6,890.00",4.58
Enabled,https://movimento.zapmais.com/datazap-tendencias-curitiba22/?utm_source=google&utm_medium=cpc&utm_campaign=Display+Tend%C3%AAncias+de+Moradia+CURITIBA, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,ZAP+-Corretor---300x250.gif, --,movimento.zapmais.com, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Display | Tendências de Moradia - CURITIBA,Ad group 1,Not eligible,campaign paused,Image ad, --, --,BRL,0,4.70,"136,144",645,0.47%,0.99,640.42, --,0.00,0,0.00,0.16%,1.00,640.42
Enabled,https://movimento.zapmais.com/datazap-tendencias-curitiba22/?utm_source=google&utm_medium=cpc&utm_campaign=Display+Tend%C3%AAncias+de+Moradia+CURITIBA, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,ZAP+-Corretor---250x250.gif, --,movimento.zapmais.com, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Display | Tendências de Moradia - CURITIBA,Ad group 1,Not eligible,campaign paused,Image ad, --, --,BRL,0,8.38,"3,277",25,0.76%,1.10,27.46, --,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://movimento.zapmais.com/datazap-tendencias-curitiba22/?utm_source=google&utm_medium=cpc&utm_campaign=Display+Tend%C3%AAncias+de+Moradia+CURITIBA, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,ZAP+-Corretor---336x280.gif, --,movimento.zapmais.com, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Display | Tendências de Moradia - CURITIBA,Ad group 1,Not eligible,campaign paused,Image ad, --, --,BRL,0,8.33,"38,407",249,0.65%,1.28,319.87, --,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://anuncie.zapimoveis.com.br/planos-profissionais?utm_source=google&utm_medium=cpc&utm_campaign=senbonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf, --, --, --, --, --, --, --, --,Conheça Nossos Planos, --,Anuncie Casas e Apartamentos, --,Portais Grupo OLX, --,Especialistas em imóveis, --,Maiores Portais Imobiliários, --,Anuncie seu Imóvel, --,Aumente a sua Visibilidade, --,Anuncie nos maiores portais, --,Potencialize suas vendas, --,Maior Classificado de Imóveis, --,Destaque seus Imóveis, --,Anuncie seus imóveis, --,"Portais Zap, OLX e Viva Real", --,Planos dos Portais Grupo OLX, --,3 maiores portais imobiliários, --, --,Aumente a Exposição dos seus Imóveis Anunciando nos Maiores Portais Imobiliários do País., --,"Mais de 100 milhões de visualizações nos portais OLX, Zap e Viva Real.", --,Mais de 30 milhões de usuários por mês nos portais do Grupo OLX., --,Anunciar nos 3 Maiores Portais Imobiliários Nunca Foi Tão Fácil, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,senbonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,Grupo de anúncios 1,Not eligible,campaign paused,Responsive search ad,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions,BRL,0,845.74,"21,908","1,491",6.81%,12.43,18528.55, --,0.00,0,0.00,2.28%,34.02,544.62
Enabled,https://movimento.zapmais.com/, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,ZAP+ Corretor - 300x100.gif, --,movimento.zapmais.com, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,[MATH] [DISPLAY] [IMAGENS] Movimento Vai de Corretor - Dezembro,Corretores - anúncio gráfico,Not eligible,disapproved; campaign ended; campaign paused,Image ad, --, --,BRL,0,1.73,"14,599",121,0.83%,0.21,25.33, --,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://movimento.zapmais.com/, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,ZAP+-Corretor---300x600.png, --,movimento.zapmais.com, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,[MATH] [DISPLAY] [IMAGENS] Movimento Vai de Corretor - Dezembro,Corretores - anúncio gráfico,Not eligible,disapproved; campaign ended; campaign paused,Image ad, --, --,BRL,0,26.31,"2,736",94,3.44%,0.77,71.98, --,0.00,0,0.00,1.06%,1.00,71.98
