Campaign report
"September 24, 2021 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign subtype,Campaign type,Bid strategy type,Conv. value,TrueView views,Impr.,Avg. CPM,Conversions,Conv. rate,Cost / conv.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Unique users,TrueView avg. CPV,Cost,Likes,Comments,Shares
Enabled,senbonbr_gg_se_po_pp_ao_wb_re_go_pf,9.80, --,Daily,BRL,Ended,campaign ended, --,Standard,Search,Maximize Conversions,37.00,0,"30,148",64.50,37.00,2.26%,52.56,"1,638",5.43%,0.00,0.00,,0,1944.66,0,0,0
Paused,Pesquisa | Tendências de Moradia CURITIBA,1.76, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,2.00,0,"19,389",377.71,2.00,0.16%,3661.67,"1,234",6.36%,0.00,0.00,,0,7323.34,0,0,0
Paused,pmaxoffbr_gg_pm_po_pp_ao_wb_re_go_pf,90.29, --,Daily,BRL,Paused,campaign paused; some asset groups disapproved; some asset groups limited by policy, --,Standard,Performance Max,Target CPA,"16,497,351,631.16","2,461,645","20,666,123",36.68,"58,548.52",1.55%,12.95,"719,405",3.48%,0.00,0.00,,0.03,757950.36,0,0,0
Paused,dgenph3a24br_gg_pc_po_pp_ao_wb_re_go_pf,2.56, --,Daily,BRL,Paused,campaign paused, --,Standard,Demand Gen,Maximize Conversions,"2,354,625.56","6,580","740,361",27.11,134.56,0.41%,149.18,"13,638",1.84%,"3,549.00","314,316.89",,0.03,20073.40,0,0,0
Enabled,senboffbr_gg_se_po_pp_ao_wb_re_go_pf Venda On - 2024,9.80, --,Daily,BRL,Ended,campaign ended; All ad groups paused; some ads disapproved, --,Standard,Search,Maximize Conversions,0.00,0,0,0,0.00,0.00%,0.00,0, --,0.00,0,,0,0.00,0,0,0
Enabled,senbwppbr_gg_pc_po_pp_ao_wb_re_go_pf,503.00, --,Daily,BRL,Eligible (Limited),limited by budget,87.20,Standard,Search,Target CPA,"3,407.05",0,"225,882",520.16,"3,407.05",15.43%,34.49,"22,081",9.78%,0.00,0.00,,0,117493.68,0,0,0
Paused,[ALCANCE] B2C - Vai de Corretor,2.35, --,Daily,BRL,Paused,campaign paused, --,Efficient reach,Video,Target CPM,0.00,"76,879","344,901",7.06,0.00,0.00%,0.00,511,0.15%,0.00,0.00,,0.03,2434.73,0,0,0
Enabled,pmaxon26br_gg_pc_po_pp_ao_wb_re_go_pf,760.00, --,Daily,BRL,Eligible (Limited),limited by budget,88.71,Standard,Performance Max,Target CPA,1.00,"258,993","673,600",32.93,1.00,0.00%,22179.98,"10,233",1.52%,0.00,0.00,,0.02,22179.98,0,0,0
Paused,sebronplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,0.64, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,96.75,0,"393,802",95.20,96.75,0.43%,387.51,"22,759",5.78%,0.00,0.00,,0,37491.88,0,0,0
Paused,[ALCANCE] B2B - Vai de Corretor,2.35, --,Daily,BRL,Paused,campaign paused, --,Efficient reach,Video,Target CPM,0.00,"105,805","367,715",6.63,0.00,0.00%,0.00,422,0.11%,0.00,0.00,,0.02,2437.13,0,0,0
