Ad group report
"September 24, 2021 - September 16, 2026"
Ad group status,Ad group,Campaign,Currency code,Max. CPV,Target CPA,Target CPM,Status,Status reasons,Campaign subtype,Ad group type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Enabled,Setor imobiliário e construção,MATH | Discovery | Lead | #vaidecorretor,BRL, --, --, --,Not eligible,campaign ended; campaign paused; unknown,Standard, --,BRL,0,5.22,"38,501",881,2.29%,0.23,201.10,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,Curso corretores,MATH | Display | Lead | #vaidecorretor,BRL, --, --, --,Not eligible,campaign ended; campaign paused; unknown,Standard,Display,BRL,0,8.82,"12,095",172,1.42%,0.62,106.63,[],[],0.00,0,0.00,26.16%,45.00,2.37
Enabled,Emprego corretor + termos de pesquisa (Segmentado),Display | Tendências de Moradia,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard, --,BRL,0,22.69,"990,647","40,079",4.05%,0.56,22481.64,[],[],0.00,0,0.00,1.65%,662.00,33.96
Enabled,Interesses+LAL,[Institucional] Search | Leads | PlanoZAP+ | Paraná,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Standard,BRL,0,44.55,"37,410","1,057",2.83%,1.58,1666.63,[],[],0.00,0,0.00,9.93%,105.00,15.87
Enabled,Canal pro,senbonbr_gg_se_po_pp_ao_wb_re_go_pf,BRL, --, --, --,Not eligible,campaign ended; unknown,Standard,Standard,BRL,0,65.39,"11,720",685,5.84%,1.12,766.33,[],[],0.00,0,0.00,2.34%,16.00,47.90
Paused,Melhor Época 26,dgenoff26br_gg_pc_po_pp_ao_wb_re_go_pf,BRL, --,54.00, --,Paused,ad group paused; campaign paused; unknown,Standard, --,BRL,0.02,45.03,"1,324,006","401,772",30.35%,0.15,59614.24,[],[],560.48,106.36,0.01,0.14%,560.48,106.36
Enabled,Grupo de anúncios 1,Math | Lead |Pesquisa | #vaidecorretor | Janeiro #2,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Standard,BRL,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,Incorporadoras,[MATH] [DISCOVERY] [B2B] Movimento Vai de Corretor - Dezembro,BRL, --, --, --,Paused,ad group paused; campaign ended; campaign paused,Standard, --,BRL,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,RMK Todas conversões no site,Display | Tendências de Moradia,BRL, --, --, --,Paused,ad group paused; campaign paused,Standard, --,BRL,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,Ad group 1,[Tráfego - Display] Plano Zap +,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Display,BRL,0,13.08,"918,678","18,525",2.02%,0.65,12016.72,[],[],0.00,0,0.00,13.05%,"2,418.00",4.97
Enabled,Interesses+LAL,sebronbr_gg_se_po_pp_ao_wb_re_go_pf,BRL, --, --, --,Not eligible,campaign ended; unknown,Standard,Standard,BRL,0,103.25,"17,789","1,060",5.96%,1.73,1836.80,[],[],0.00,0,0.00,1.42%,15.00,122.45
Enabled,Interesses+LAL,Search | Leads | PlanoZAP+ | Paraná,BRL, --, --, --,Not eligible,most ads disapproved; campaign paused,Standard,Standard,BRL,0,48.81,"12,681",435,3.43%,1.42,618.91,[],[],0.00,0,0.00,0.69%,3.00,206.30
Paused,Interesses+LAL,Search | Leads | PlanoZAP+ | Brasil,BRL, --, --, --,Paused,ad group paused; most ads disapproved; campaign paused,Standard,Standard,BRL,0,37.71,"211,772","6,110",2.89%,1.31,7985.22,[],[],0.00,0,0.00,10.02%,612.00,13.05
Enabled,Vídeo Personalizado – 2021-09-28,[MATH] [VIDEO VIEW] [YOUTUBE] [B2B],BRL,0.30, --, --,Not eligible,most ads disapproved; campaign paused,Video views,In-stream,BRL,0.07,19.95,"1,722,667","1,043,643",60.58%,0.03,34361.29,[],[],0.00,0,0.00,0.01%,59.00,582.39
Enabled,Interesses+LAL,[Institucional] Search | Leads | PlanoZAP+ | Brasília,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Standard,BRL,0,42.59,"83,650","1,787",2.14%,1.99,3562.72,[],[],0.00,0,0.00,4.81%,86.00,41.43
Enabled,Empty Seg,[Institucional] Search | Leads | PlanoZAP+ | Paraná,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Standard,BRL,0,45.33,"46,077","1,252",2.72%,1.67,2088.79,[],[],0.00,0,0.00,8.07%,101.00,20.68
Paused,Palavras chave,Display | Tendências de Moradia,BRL, --, --, --,Paused,ad group paused; campaign paused; unknown,Standard, --,BRL,0,4.46,"69,980",638,0.91%,0.49,311.91,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,PH3A,dgenph3a24br_gg_pc_po_pp_ao_wb_re_go_pf,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard, --,BRL,0.03,27.11,"740,361","32,692",4.42%,0.61,20073.40,[],[],"3,549.00",5.66,"314,316.89",0.41%,134.56,149.18
Enabled,Brand,sebroffbr_gg_se_po_pp_ao_wb_re_go_pf,BRL, --,80.00, --,Eligible,unknown,Standard,Standard,BRL,0,189.39,"2,786,851","221,271",7.94%,2.39,527810.99,[],[],0.00,0,0.00,4.42%,"9,780.72",53.96
Enabled,Ad group 1,Display | DataZap,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Display,BRL,0,14.23,"74,516","1,810",2.43%,0.59,1060.67,[],[],0.00,0,0.00,0.06%,1.00,1060.67
Enabled,Interesses+LAL,Search | Leads | Zap+Fin,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Standard,BRL,0,103.73,"6,294",248,3.94%,2.63,652.85,[],[],0.00,0,0.00,15.73%,39.00,16.74
Enabled,Público de Interesses,[Leads - Display] Plano Zap +,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Display,BRL,0,18.95,"2,051,882","46,087",2.25%,0.84,38880.47,[],[],0.00,0,0.00,10.55%,"4,860.00",8.00
Enabled,Ad group 1,Feirão pronto para mudar,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard, --,BRL,0,5.92,"358,611","6,059",1.69%,0.35,2123.71,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,Anunciar,senbonbr_gg_se_po_pp_ao_wb_re_go_pf,BRL, --, --, --,Not eligible,campaign ended; unknown,Standard,Standard,BRL,0,63.94,"18,428",953,5.17%,1.24,1178.33,[],[],0.00,0,0.00,2.20%,21.00,56.11
Enabled,Grupo de anúncios 1,Pesquisa | DataZap,BRL, --, --, --,Not eligible,campaign paused; unknown,Standard,Standard,BRL,0,57.64,"34,313","1,205",3.51%,1.64,1977.91,[],[],0.00,0,0.00,0.41%,5.00,395.58
Paused,Setor imobiliário AMPLO,Display | Tendências de Moradia,BRL, --, --, --,Paused,ad group paused; campaign paused; unknown,Standard, --,BRL,0,4.86,"217,406","2,373",1.09%,0.45,1057.59,[],[],0.00,0,0.00,0.42%,10.00,105.76
