Asset groups report
"September 24, 2021 - September 16, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Audience signal,Search themes,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
PAUSED,Garantia Locatícia (Jun25),pmaxoffbr_gg_pm_po_pp_ao_wb_re_go_pf,"Anuncie seus imóveis, A maior vitrine do mercado, Torne-se mais relevante, Planos dos Portais Grupo OLX, Portais Zap, OLX e Viva Real, 3 maiores portais imobiliários, Mais destaque pra você, Visibilidade que gera Venda, Conheça nossos planos, Garantia Locatícia, Migre seus contratos agora, Conheça as nossas vantagens, Vem conferir tudo que cobrimos, Parceria Grupo OLX e Creditas, Solução Grupo OLX e Creditas","Destaque-se da concorrência. Divulgue seus imóveis para a maior audiência do mercado., Saia na Frente. Garanta a exposição ideal para seus imóveis, contrate agora., Mudamos de nome, mas a eficiência ao expor seus imóveis para a audiência ideal continua., Zap+ agora é Grupo OLX. Conectamos você com o que importa., Seus negócios no centro, isso é Grupo OLX. Anuncie seus imóveis, conheça nossos planos.","Tenha mais segurança nos seus aluguéis com a garantia locatícia do Grupo OLX e Creditas, São mais de 100 milhões de visitas/mês. Assine os planos para anunciar nos nossos portais., Pagamento rápido, maior taxa de conversão em aluguéis, e mais segurança, Seu inventário de imóveis merece destaque. Exponha sua marca nos portais do Grupo OLX., Os 3 maiores portais de imóveis do Brasil em um só plano. Anuncie hoje.","https://tpc.googlesyndication.com/simgad/13062562333017183417, https://tpc.googlesyndication.com/simgad/13142602878537325923, https://tpc.googlesyndication.com/simgad/2098204382834948086, https://tpc.googlesyndication.com/simgad/16077944504870359724, https://tpc.googlesyndication.com/simgad/10199239665925529144, https://tpc.googlesyndication.com/simgad/9649355021529245486","https://tpc.googlesyndication.com/simgad/5149457026009909713, https://tpc.googlesyndication.com/simgad/11839615674806237753, https://tpc.googlesyndication.com/simgad/649133242788296484, https://tpc.googlesyndication.com/simgad/8153105235368037880, https://tpc.googlesyndication.com/simgad/14439449096049647604, https://tpc.googlesyndication.com/simgad/16391526197281000096","https://tpc.googlesyndication.com/simgad/17059699824421246418, https://tpc.googlesyndication.com/simgad/12030536544339849175, https://tpc.googlesyndication.com/simgad/4344454118836976200, https://tpc.googlesyndication.com/simgad/18214157888291511499, https://tpc.googlesyndication.com/simgad/15533218460421078964, https://tpc.googlesyndication.com/simgad/14960233718102400507",Good,Paused,Corretores e Imobiliárias + Garantia Locaticia,"garantia locatícia, carteira de locação",BRL,0.04,32.28,"106,038","6,938",6.54%,0.49,3422.92,9.89%,686.00,4.99
PAUSED,Conecta Imobi | 2025,pmaxoffbr_gg_pm_po_pp_ao_wb_re_go_pf,"O maior encontro imobiliário, Grupo OLX apresenta, Garanta seu ingresso, 03 e 04 de Setembro, Alavanque seu negócio, Garanta agora, Escolha o seu ingresso, Faça o futuro acontecer, Ganhe mais relevância, Quem faz o futuro acontecer","O principal ponto de encontro do mercado imobiliário da América Latina, Conheça os tipos de ingressos disponíveis, Destaque-se no mercado imobiliário e faça o futuro acontecer, Aproveite já pra se destacar no mercado imobiliário","O Conecta vai acontecer nos dias 3 e 4 de setembro, no São Paulo Expo, Mais de uma década colocando profissionais como protagonistas de suas histórias e da nossa, 100% presencial, com áreas de experiência, trilhas de conteúdo e espaços para networking","https://tpc.googlesyndication.com/simgad/13069252993248916462, https://tpc.googlesyndication.com/simgad/11238559335993674966, https://tpc.googlesyndication.com/simgad/4319574933359325741, https://tpc.googlesyndication.com/simgad/13398049518466353565","https://tpc.googlesyndication.com/simgad/10803904741837611447, https://tpc.googlesyndication.com/simgad/13596787798485148470, https://tpc.googlesyndication.com/simgad/6208992219026176147, https://tpc.googlesyndication.com/simgad/6690935430936835023","https://tpc.googlesyndication.com/simgad/8979981752790641641, https://tpc.googlesyndication.com/simgad/11721105439638004094, https://tpc.googlesyndication.com/simgad/7415494073524722918, https://tpc.googlesyndication.com/simgad/15428263885017017342",Average,Paused,Corretores e Imobiliárias Atualizada Jan.26,"mercado imobiliário, zap+, conecta imobi, evento imobiliário, anuncia zap+, anunciar no grupo olx, anunciar no plano zap+, conheça o zap +, grupo olx, plano zap +, plano zap+, portais grupo olx, zap +, zap mais, leandro karnal",BRL,0.03,35.80,"19,118","5,301",27.73%,0.13,684.47,0.00%,0.00,0.00
PAUSED,Mês do Corretor,pmaxoffbr_gg_pm_po_pp_ao_wb_re_go_pf,"Grupo OLX, Portais Zap, OLX e Viva Real, Aproveite o Mês do Corretor, 3 maiores portais imobiliários, Aproveite as ofertas, Anuncie agora, Escolha o seu plano, Conheça nossos planos, Ganhe mais relevância, Contrate o plano ideal, A maior vitrine imobiliária","Potencialize sua divulgação nos maiores portais do Grupo OLX. Anuncie agora., Saia na Frente. Garanta a exposição ideal para seus imóveis na melhor época para anunciar., Destaque-se no mercado imobiliário, anuncie para mais de 100 milhões de visitas por mês., Aproveite o mês do corretor pra se destacar no mercado imobiliário com o Grupo OLX","Os 3 maiores portais de imóveis do Brasil em um só plano., Assine um dos nossos planos. Escolha o mais adequado para a sua necessidade de negócio., Zap, OLX e Viva Real geram mais de 31 milhões de leads por mês para o mercado imobiliário., Planos para corretores em busca de mais alcance. Ganhe mais relevância., Contrate um dos planos dos portais do Grupo OLX. Potencialize sua divulgação.","https://tpc.googlesyndication.com/simgad/15678788658170104132, https://tpc.googlesyndication.com/simgad/7498103149884622500, https://tpc.googlesyndication.com/simgad/3389990147122205210, https://tpc.googlesyndication.com/simgad/10935450419555002885","https://tpc.googlesyndication.com/simgad/15471891946377585009, https://tpc.googlesyndication.com/simgad/17077186959351636870, https://tpc.googlesyndication.com/simgad/17327759834491485038, https://tpc.googlesyndication.com/simgad/813262877533692334","https://tpc.googlesyndication.com/simgad/14979058728695774098, https://tpc.googlesyndication.com/simgad/16678218930465671058, https://tpc.googlesyndication.com/simgad/12388676549815804912, https://tpc.googlesyndication.com/simgad/4759277683552132135",Good,Paused,Corretores [Adaptado],"corretor de imóveis, corretor, zap+, anuncia zap+, anunciar no grupo olx, anunciar no plano zap+, conheça o zap +, grupo olx, plano zap +, plano zap+, portais grupo olx, zap +, zap mais",BRL,0.02,117.18,"20,306","2,210",10.88%,1.08,2379.44,6.28%,138.83,17.14
ENABLED,Geral,pmaxonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,"Anuncie seus imóveis, Portais Zap, Olx e Viva Real, Torne-se mais relevante, 3 maiores portais imobiliários, Alavanque seu negócio, Contrate Agora Mesmo, Assine o seu Plano ideal, Anuncie já, Conheça nossos planos, A maior vitrine do mercado, Alugue ou venda seus imóveis","Destaque-se da concorrência. Divulgue seus imóveis para a maior audiência do mercado., Saia na Frente. Garanta a exposição ideal para seus imóveis, contrate agora., Mudamos de nome, mas a eficiência ao expor seus imóveis para a audiência ideal continua., Zap+ agora é Grupo OLX. Conectamos você com o que importa., Seus negócios no centro, isso é Grupo OLX. Anuncie seus imóveis, conheça nossos planos.","Escolha o seu plano e garanta a divulgação ideal., Planos para corretores e imobiliárias em busca de mais alcance. Ganhe mais relevância., Zap, OLX e Viva Real são o Top 3 nas buscas por imóveis. Venha alavancar seus resultados., Aumente as visualizações de imóveis à venda ou disponíveis para locação., Os 3 maiores portais de imóveis do Brasil em um só plano. Anuncie hoje.","https://tpc.googlesyndication.com/simgad/16816710147809474124, https://tpc.googlesyndication.com/simgad/10126877169960733654, https://tpc.googlesyndication.com/simgad/7809244986551939182, https://tpc.googlesyndication.com/simgad/17704740004311928609, https://tpc.googlesyndication.com/simgad/4608473586437994786, https://tpc.googlesyndication.com/simgad/4821214340204519993, https://tpc.googlesyndication.com/simgad/8508375138507012986, https://tpc.googlesyndication.com/simgad/2990119736560438594","https://tpc.googlesyndication.com/simgad/9950219538196167066, https://tpc.googlesyndication.com/simgad/12610495503989712757, https://tpc.googlesyndication.com/simgad/9429686197505576061, https://tpc.googlesyndication.com/simgad/15803943584636877913, https://tpc.googlesyndication.com/simgad/10336108978020074611","https://tpc.googlesyndication.com/simgad/11228603387397351854, https://tpc.googlesyndication.com/simgad/707582645610596666",Average,Not eligible,RMKT - Visitantes | Atualizado Jun.25,"Plataformas para corretores de imóveis, Ferramentas de marketing digital para imobiliárias, Plataformas para anunciar imóveis, Sites para anunciar imóveis, Melhores portais imobiliários para corretores, Onde anunciar imóveis na internet, Portais imobiliários mais acessados, Portais para imobiliárias, Imobiliárias online para corretores, Plataformas pagas para anunciar imóveis, Marketplace imobiliário para corretores, Anúncio de imóveis com destaque, Plataformas para corretores autônomos",BRL,0.06,34.33,"4,936,961","1,929,131",39.08%,0.09,169483.89,0.07%,"1,289.06",131.48
PAUSED,Corretores - Promocional,pmaxoff26br_gg_pc_po_pp_ao_wb_re_go_pf,"Portais Zap, OLX e Viva Real, 3 maiores portais imobiliários, Conheça nossos planos, Mais leads qualificados, Venda mais imóveis agora, Seja um corretor de elite, Anúncios de alta performance, Conecte-se com compradores, Seus imóveis em destaque, Exposição multiplataforma, Gestão de leads simples, Performance para corretores, A maior audiência do Brasil, Potencialize suas vendas, Destaque seus imóveis","Receba leads mais qualificados e aumente suas chances de fechar negócio hoje mesmo, Mais do que contatos, entregamos eficiência e impacto direto no seu fechamento de vendas, Anuncie onde a jornada do comprador começa e lidere o mercado com o Grupo OLX, A simplicidade que você precisa para gerenciar seus imóveis e vender com alta performance, A performance que você precisa começa na vitrine que mais entende de mercado imobiliário","Simplifique sua operação, organize seus contatos e foque apenas em fechar novos negócios, Anuncie na maior vitrine do setor e tenha acesso à audiência mais qualificada do Brasil, Acelere seus resultados com inteligência de conversão e visibilidade líder de mercado, Solução completa para o corretor moderno: mais contatos, menos burocracia e mais vendas, Conecte-se com milhões de potenciais compradores e impulsione sua performance agora",https://tpc.googlesyndication.com/simgad/493443740497663059,https://tpc.googlesyndication.com/simgad/8503342703858502883,https://tpc.googlesyndication.com/simgad/6774311422252450778,Poor,Paused,Audience signal,"Como vender imóveis pela internet, Marketing digital para corretores de imóveis, Eventos para corretores de imóveis, Ferramentas para corretores de imóveis, Melhores portais imobiliários para corretores, Anunciar imóveis como corretor, Onde anunciar imóveis para vender rápido, Como captar clientes para venda de imóveis, Divulgação de imóveis para autônomos, Gerar leads qualificados imobiliário, Plataforma de anúncios para corretores, CRM para corretor autônomo, Como organizar leads de imóveis, Planilha de controle de imóveis e clientes, Script de vendas para corretores, Gestão de leads imobiliários simples, Calculadora de comissão de corretor, Como tirar o CRECI, Dicas para corretores iniciantes, Treinamento de vendas imobiliárias, Técnicas de fechamento de venda de imóveis, Networking para corretores de imóveis, Consultoria para corretores autônomos, Como ser um corretor de elite, Marketing pessoal para corretores, Anunciar no ZAP para corretores, Viva Real para corretores autônomos, Valor de anúncio no portal ZAP, Como funciona o ZAP+ para corretores, Alternativas ao portal imobiliário, Melhores sites para corretores independentes, Comparativo de portais imobiliários, leads imobiliários preço, Assinatura de portais para corretores, Como aumentar visibilidade de imóveis, Quero leads de compradores de imóveis, Como atrair clientes qualificados imóveis, Divulgar carteira de imóveis online, Melhor custo benefício anúncios imóveis, Sistema para corretor independente, Como anunciar apartamento para vender, Divulgação em massa de imóveis, Parceiro de mídia imobiliária, App para corretores de imóveis",BRL,0,0,0,0, --,0,0.00,0.00%,0.00,0.00
ENABLED,Corretores,pmaxoff26br_gg_pc_po_pp_ao_wb_re_go_pf,"Portais Zap, OLX e Viva Real, 3 maiores portais imobiliários, Conheça nossos planos, Mais leads qualificados, Venda mais imóveis agora, Seja um corretor de elite, Anúncios de alta performance, Conecte-se com compradores, Seus imóveis em destaque, Exposição multiplataforma, Gestão de leads simples, Performance para corretores, A maior audiência do Brasil, Potencialize suas vendas, Destaque seus imóveis","Receba leads mais qualificados e aumente suas chances de fechar negócio hoje mesmo, Mais do que contatos, entregamos eficiência e impacto direto no seu fechamento de vendas, Anuncie onde a jornada do comprador começa e lidere o mercado com o Grupo OLX, A simplicidade que você precisa para gerenciar seus imóveis e vender com alta performance, A performance que você precisa começa na vitrine que mais entende de mercado imobiliário","Simplifique sua operação, organize seus contatos e foque apenas em fechar novos negócios, Anuncie na maior vitrine do setor e tenha acesso à audiência mais qualificada do Brasil, Acelere seus resultados com inteligência de conversão e visibilidade líder de mercado, Solução completa para o corretor moderno: mais contatos, menos burocracia e mais vendas, Conecte-se com milhões de potenciais compradores e impulsione sua performance agora","https://tpc.googlesyndication.com/simgad/2757190173001980983, https://tpc.googlesyndication.com/simgad/3127922227515871522, https://tpc.googlesyndication.com/simgad/493443740497663059, https://tpc.googlesyndication.com/simgad/9934468679833052782, https://tpc.googlesyndication.com/simgad/13481764236822045004, https://tpc.googlesyndication.com/simgad/13194102160562412706","https://tpc.googlesyndication.com/simgad/16331902208681881950, https://tpc.googlesyndication.com/simgad/1607825934412144028, https://tpc.googlesyndication.com/simgad/8503342703858502883, https://tpc.googlesyndication.com/simgad/14131690713342865861, https://tpc.googlesyndication.com/simgad/10431169392093735653, https://tpc.googlesyndication.com/simgad/10652421212562133030","https://tpc.googlesyndication.com/simgad/6575180174815330031, https://tpc.googlesyndication.com/simgad/14144141350764601352, https://tpc.googlesyndication.com/simgad/6774311422252450778, https://tpc.googlesyndication.com/simgad/11803893217397696859, https://tpc.googlesyndication.com/simgad/8122740465073831790, https://tpc.googlesyndication.com/simgad/1871827201255098924",Good,Eligible,Audience signal,"Como vender imóveis pela internet, Marketing digital para corretores de imóveis, Eventos para corretores de imóveis, Ferramentas para corretores de imóveis, Melhores portais imobiliários para corretores, Anunciar imóveis como corretor, Onde anunciar imóveis para vender rápido, Como captar clientes para venda de imóveis, Divulgação de imóveis para autônomos, Gerar leads qualificados imobiliário, Plataforma de anúncios para corretores, CRM para corretor autônomo, Como organizar leads de imóveis, Planilha de controle de imóveis e clientes, Script de vendas para corretores, Gestão de leads imobiliários simples, Calculadora de comissão de corretor, Como tirar o CRECI, Dicas para corretores iniciantes, Treinamento de vendas imobiliárias, Técnicas de fechamento de venda de imóveis, Networking para corretores de imóveis, Consultoria para corretores autônomos, Como ser um corretor de elite, Marketing pessoal para corretores, Anunciar no ZAP para corretores, Viva Real para corretores autônomos, Valor de anúncio no portal ZAP, Como funciona o ZAP+ para corretores, Alternativas ao portal imobiliário, Melhores sites para corretores independentes, Comparativo de portais imobiliários, leads imobiliários preço, Assinatura de portais para corretores, Como aumentar visibilidade de imóveis, Quero leads de compradores de imóveis, Como atrair clientes qualificados imóveis, Divulgar carteira de imóveis online, Melhor custo benefício anúncios imóveis, Sistema para corretor independente, Como anunciar apartamento para vender, Divulgação em massa de imóveis, Parceiro de mídia imobiliária, App para corretores de imóveis",BRL,0.02,116.96,"540,498","83,381",15.43%,0.76,63216.85,4.35%,"3,629.57",17.42
ENABLED,Imobiliárias,pmaxoff26br_gg_pc_po_pp_ao_wb_re_go_pf,"Domine sua região agora, Mais leads pra sua imobiliária, Lidere o mercado imobiliário, Escale sua operação hoje, Performance que escala, Gestão centralizada de leads, Sua marca na maior vitrine, Potencialize seus resultados, Exposição VIP para imóveis, Mais eficiência operacional, Visibilidade estratégica, Otimize sua imobiliária, Portais Zap, OLX e Viva Real, 3 maiores portais imobiliários, Soluções para imobiliárias","Domine sua região com destaque estratégico e presença garantida nos primeiros resultados, Escale sua imobiliária com gestão centralizada e a maior audiência qualificada do Brasil, A simplicidade que escala resultados: conecte múltiplas plataformas em um único lugar, A performance que sua imobiliária precisa começa na vitrine líder do mercado nacional, Solução robusta para imobiliárias que buscam escala, visibilidade e alta conversão","Escale sua operação com gestão centralizada e acesso a 11 milhões de leads mensais, Mais que leads, entregamos eficiência: alta conversão e impacto direto nas suas vendas, Aumente a performance da sua equipe com leads qualificados e ferramentas de conversão, Domine o mercado local com inteligência de dados e presença nos maiores portais do país, Solução integrada para imobiliárias: simplifique a operação e potencialize resultados","https://tpc.googlesyndication.com/simgad/2757190173001980983, https://tpc.googlesyndication.com/simgad/3127922227515871522, https://tpc.googlesyndication.com/simgad/493443740497663059, https://tpc.googlesyndication.com/simgad/9934468679833052782, https://tpc.googlesyndication.com/simgad/17575984108749376273, https://tpc.googlesyndication.com/simgad/1310980996799189685","https://tpc.googlesyndication.com/simgad/16331902208681881950, https://tpc.googlesyndication.com/simgad/1607825934412144028, https://tpc.googlesyndication.com/simgad/8503342703858502883, https://tpc.googlesyndication.com/simgad/14131690713342865861, https://tpc.googlesyndication.com/simgad/15880766373169994243, https://tpc.googlesyndication.com/simgad/15842085310474341059","https://tpc.googlesyndication.com/simgad/14144141350764601352, https://tpc.googlesyndication.com/simgad/6575180174815330031, https://tpc.googlesyndication.com/simgad/6774311422252450778, https://tpc.googlesyndication.com/simgad/11803893217397696859, https://tpc.googlesyndication.com/simgad/8129640418550008182, https://tpc.googlesyndication.com/simgad/1777537002575147343",Good,Eligible,Audience signal,"ROI de portais imobiliários, Integração OLX e ZAP para empresas, Gestão de leads em larga escala, ERP imobiliário com integração, Ferramentas de automação imobiliária, Como vender lançamentos imobiliários, Captação de leads de alto padrão, Análise de concorrência imobiliária, Dashboards de vendas de imóveis, Produtos de destaque para imobiliárias, Contrato de parceria com portais, Inteligência de mercado para imobiliárias, Aumentar VGV da imobiliária, Como gerir leads de chat imobiliário, Soluções de visibilidade para imobiliárias, Expansão de imobiliária nacional, Melhor custo por lead imobiliário, Divulgar imobiliária no Google e portais, Ferramentas para diretores imobiliários, Auditoria de anúncios imobiliários, Melhores sites para imobiliárias anunciarem, CRM imobiliário integração zap, Como gerenciar muitos imóveis nos portais, Contratar leads para imobiliária, Assinatura ilimitada portais imóveis, Franquias imobiliárias de sucesso, Sistema para exportar imóveis para portais, Como abrir uma imobiliária digital, Performance de vendas imobiliária, Leads qualificados para imobiliárias, Consultoria para donos de imobiliária, Como ser a maior imobiliária da região, Tecnologia para escalar imobiliária, Anúncio em massa de imóveis, Planos corporativos portais imobiliários, Portal zap para imobiliárias preço, Sistemas de gestão para imobiliárias, Como anunciar imobiliária no zap, Leads b2b mercado imobiliário, Como aumentar vendas da imobiliária, Treinamento de vendas para imobiliárias, Gestão de equipe de corretores, Marketing para imobiliárias de luxo, Estratégias de marketing imobiliário B2B, Zap+ para empresas, Como captar proprietários para imobiliária, Software para imobiliária integrada, Divulgação de carteira de imóveis, Marketplace imobiliário para empresas",BRL,0.01,108.40,"790,522","160,602",20.32%,0.53,85691.60,3.54%,"5,691.79",15.06
ENABLED,AON | Jun.25,pmaxoffbr_gg_pm_po_pp_ao_wb_re_go_pf,"Grupo OLX, Portais Zap, OLX e Viva Real, Aproveite a Melhor Época, 3 maiores portais imobiliários, Alavanque seu negócio, Anuncie agora, Escolha o seu plano, Conheça nossos planos, Ganhe mais relevância, Contrate o plano ideal, A maior vitrine imobiliária","Potencialize sua divulgação nos maiores portais do Grupo OLX. Anuncie agora., Saia na Frente. Garanta a exposição ideal para seus imóveis na melhor época para anunciar., Destaque-se no mercado imobiliário, anuncie para mais de 100 milhões de visitas por mês., Aproveite já pra se destacar no mercado imobiliário. Anuncie com os portais do Grupo OLX.","Os 3 maiores portais de imóveis do Brasil em um só plano., Assine um dos nossos planos. Escolha o mais adequado para a sua necessidade de negócio., Zap, OLX e Viva Real geram mais de 31 milhões de leads por mês para o mercado imobiliário., Planos para corretores e imobiliárias em busca de mais alcance. Ganhe mais relevância., Contrate um dos planos dos portais do Grupo OLX. Potencialize sua divulgação.","https://tpc.googlesyndication.com/simgad/11938998129991541178, https://tpc.googlesyndication.com/simgad/14999116304234845342, https://tpc.googlesyndication.com/simgad/7387804239484126015, https://tpc.googlesyndication.com/simgad/13539565417737162286, https://tpc.googlesyndication.com/simgad/2588024357043822073, https://tpc.googlesyndication.com/simgad/18221881690372652267, https://tpc.googlesyndication.com/simgad/2757190173001980983, https://tpc.googlesyndication.com/simgad/3127922227515871522, https://tpc.googlesyndication.com/simgad/493443740497663059, https://tpc.googlesyndication.com/simgad/9934468679833052782","https://tpc.googlesyndication.com/simgad/14582056230765543522, https://tpc.googlesyndication.com/simgad/6598225038392801153, https://tpc.googlesyndication.com/simgad/16331902208681881950, https://tpc.googlesyndication.com/simgad/1607825934412144028, https://tpc.googlesyndication.com/simgad/8503342703858502883, https://tpc.googlesyndication.com/simgad/14131690713342865861","https://tpc.googlesyndication.com/simgad/14144141350764601352, https://tpc.googlesyndication.com/simgad/6575180174815330031, https://tpc.googlesyndication.com/simgad/6774311422252450778, https://tpc.googlesyndication.com/simgad/11803893217397696859",Good,Not eligible,Corretores e Imobiliárias Atualizada Jan.26,"corretor de imóveis, zap, imobiliária, vender imóveis, anunciar imóveis, anunciar no grupo olx, grupo olx, plano zap+, portais grupo olx, zap mais, anuncia zap, anunciar no plano zap, conheça o zap, plano zap",BRL,0.02,18.54,"10,796,481","1,965,555",18.21%,0.10,200161.63,0.27%,"5,305.29",37.73
PAUSED,Mês do Corretor,pmaxon26br_gg_pc_po_pp_ao_wb_re_go_pf,"Anunciar Imóveis no ZAP, Portais Zap, Olx e Viva Real, 3 maiores portais imobiliários, Um plano para cada necessidade, A maior vitrine do mercado, Conheça nossos planos, Mais leads qualificados, Descontos especiais, Anuncie no ZAP e venda mais, Anúncios de alta performance, Anuncie casas e apartamentos, 65% de toda a audiência, Para vender 3x mais rápido, Aproveite o mês do Corretor, +71 milhões de acessos por mês","Receba leads mais qualificados e aumente suas chances de fechar negócio hoje mesmo, Mais do que contatos, entregamos eficiência e impacto direto no seu fechamento de vendas, Anuncie onde a jornada do comprador começa e lidere o mercado com o Grupo OLX, A simplicidade que você precisa para gerenciar seus imóveis e vender com alta performance, A performance que você precisa começa na vitrine que mais entende de mercado imobiliário","Simplifique sua operação, organize seus contatos e foque apenas em fechar novos negócios, Anuncie na maior vitrine do setor e tenha acesso à audiência mais qualificada do Brasil, Acelere seus resultados com inteligência de conversão e visibilidade líder de mercado, Solução completa para o corretor moderno: mais contatos, menos burocracia e mais vendas, Conecte-se com milhões de potenciais compradores e impulsione sua performance agora","https://tpc.googlesyndication.com/simgad/2545741422857257693, https://tpc.googlesyndication.com/simgad/15168840667965659679, https://tpc.googlesyndication.com/simgad/10826134948712027488","https://tpc.googlesyndication.com/simgad/2974144383846246227, https://tpc.googlesyndication.com/simgad/5771399195789630459, https://tpc.googlesyndication.com/simgad/4371851523141374545", --,Average,Paused,ATIVOS-ATE-5-ADS (25+),"Ferramentas para corretores de imóveis, leads de compradores de imóveis, atrair clientes qualificados imóveis, Anunciar imóveis como corretor, Onde anunciar imóveis para vender rápido, Divulgação de imóveis para autônomos, Plataforma de anúncios para corretores, CRM para corretor autônomo, Gestão de leads imobiliários simples, Anunciar no ZAP para corretores, Alternativas ao portal imobiliário, Melhores sites para corretores independentes, leads imobiliários preço, Assinatura de portais para corretores, Melhor custo benefício anúncios imóveis, Sistema para corretor independente, Divulgação em massa de imóveis, aumentar visibilidade de imóveis, Melhores portais imobiliários, carteira de imóveis online, vender imóveis pela internet, Site para anunciar imóveis, App para corretores de imóveis",BRL,0.03,27.14,"43,957","11,316",25.74%,0.11,1192.94,0.00%,0.00,0.00
PAUSED,Junho.Promocional,pmaxon26br_gg_pc_po_pp_ao_wb_re_go_pf,"Anunciar Imóveis no ZAP, Portais Zap, Olx e Viva Real, 3 maiores portais imobiliários, Um plano para cada necessidade, A maior vitrine do mercado, Conheça nossos planos, Mais leads qualificados, Descontos especiais, Anuncie no ZAP e venda mais, Anúncios de alta performance, Anuncie casas e apartamentos, 65% de toda a audiência, Para vender 3x mais rápido, Multiplique o alcance, +74 milhões de acessos por mês","Receba leads mais qualificados e aumente suas chances de fechar negócio hoje mesmo, Mais do que contatos, entregamos eficiência e impacto direto no seu fechamento de vendas, Anuncie onde a jornada do comprador começa e lidere o mercado com o Grupo OLX, A simplicidade que você precisa para gerenciar seus imóveis e vender com alta performance, A performance que você precisa começa na vitrine que mais entende de mercado imobiliário","Simplifique sua operação, organize seus contatos e foque apenas em fechar novos negócios, Anuncie na maior vitrine do setor e tenha acesso à audiência mais qualificada do Brasil, Acelere seus resultados com inteligência de conversão e visibilidade líder de mercado, Solução completa para o corretor moderno: mais contatos, menos burocracia e mais vendas, Conecte-se com milhões de potenciais compradores e impulsione sua performance agora","https://tpc.googlesyndication.com/simgad/17300057937643579631, https://tpc.googlesyndication.com/simgad/3172912685996122598","https://tpc.googlesyndication.com/simgad/11868223061443215731, https://tpc.googlesyndication.com/simgad/13131636376721898237", --,Average,Paused,ATIVOS-ATE-5-ADS (25+),"Ferramentas para corretores de imóveis, leads de compradores de imóveis, atrair clientes qualificados imóveis, Anunciar imóveis como corretor, Onde anunciar imóveis para vender rápido, Divulgação de imóveis para autônomos, Plataforma de anúncios para corretores, CRM para corretor autônomo, Gestão de leads imobiliários simples, Anunciar no ZAP para corretores, Alternativas ao portal imobiliário, Melhores sites para corretores independentes, leads imobiliários preço, Assinatura de portais para corretores, Melhor custo benefício anúncios imóveis, Sistema para corretor independente, Divulgação em massa de imóveis, aumentar visibilidade de imóveis, Melhores portais imobiliários, carteira de imóveis online, vender imóveis pela internet, Site para anunciar imóveis, App para corretores de imóveis",BRL,0.02,38.24,"166,075","93,512",56.31%,0.07,6350.63,0.00%,0.00,0.00
