Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,84.63%,84.63%,No data,No data
vivareal.com.br,19.84%,19.84%,7.24%,7.24%,6.69%,6.69%,64.91%,64.91%,50.44%,50.44%
proprietariodireto.com.br,< 10%,< 10%,7.06%,7.06%,13.46%,13.46%,54.86%,54.86%,42.58%,42.58%
imovelweb.com.br,< 10%,< 10%,7.37%,7.37%,3.69%,3.69%,71.26%,71.26%,43.32%,43.32%
zapimoveis.com.br,28.04%,28.04%,6.76%,6.76%,16.83%,16.83%,70.05%,70.05%,57.81%,57.81%
mercadolivre.com.br,< 10%,< 10%,7.48%,7.48%,0.91%,0.91%,41.24%,41.24%,18.90%,18.90%
mrv.com.br,< 10%,< 10%,7.42%,7.42%,1.91%,1.91%,89.56%,89.56%,49.38%,49.38%
quintoandar.com.br,23.14%,23.14%,6.47%,6.47%,18.70%,18.70%,91.36%,91.36%,73.16%,73.16%
chavesnamao.com.br,< 10%,< 10%,7.30%,7.30%,6.49%,6.49%,53.01%,53.01%,39.60%,39.60%
trovit.com.br,< 10%,< 10%,7.48%,7.48%,1.28%,1.28%,32.72%,32.72%,13.86%,13.86%
mitula.com.br,< 10%,< 10%,7.48%,7.48%,1.17%,1.17%,38.42%,38.42%,13.91%,13.91%
loft.com.br,10.94%,10.94%,7.10%,7.10%,8.05%,8.05%,92.73%,92.73%,65.17%,65.17%
