Campaign Name,Campaign Group Name,Campaign Status,Cost,Conversions,Cost / conv.
pmaxoffbr_gg_pm_po_pp_ao_wb_re_go_pf,,Paused,"R$757,950.36","58,548.52",R$12.95
sebroffbr_gg_se_po_pp_ao_wb_re_go_pf,,Enabled,"R$539,672.33","10,740.72",R$50.25
pmaxonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,,Paused,"R$194,278.30","1,440.51",R$134.87
pmaxoff26br_gg_pc_po_pp_ao_wb_re_go_pf,,Enabled,"R$159,114.36","10,081.04",R$15.78
senbwppbr_gg_pc_po_pp_ao_wb_re_go_pf,,Enabled,"R$117,492.41","3,407.05",R$34.49
dgenoff26br_gg_pc_po_pp_ao_wb_re_go_pf,,Paused,"R$83,473.71","1,095.09",R$76.23
Pesquisa | Tendências de Moradia,,Paused,"R$62,534.48","2,408.00",R$25.97
sebroffsp_gg_se_po_pp_ao_wb_re_go_pf,,Enabled,"R$55,409.28",523.76,R$105.79
senboffbr_gg_se_po_pp_ao_wb_re_go_pf,,Paused,"R$45,311.71","2,481.21",R$18.26
[Leads - Display] Plano Zap +,,Paused,"R$38,880.47","4,860.00",R$8.00
sebronplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,,Paused,"R$37,491.88",96.75,R$387.51
[MATH] [VIDEO VIEW] [YOUTUBE] [B2C] [2],,Paused,"R$36,996.73",21.00,"R$1,761.75"
[MATH] [DISCOVERY] [B2B] Movimento Vai de Corretor - Dezembro,,Paused,"R$34,405.41","8,025.00",R$4.29
[MATH] [VIDEO VIEW] [YOUTUBE] [B2B],,Paused,"R$34,361.29",59.00,R$582.39
Search | Leads | PlanoZAP+ | Brasil,,Paused,"R$30,968.63","2,189.00",R$14.15
Display | Tendências de Moradia,,Paused,"R$23,851.14",672.00,R$35.49
pmaxon26br_gg_pc_po_pp_ao_wb_re_go_pf,,Enabled,"R$22,179.98",1.00,"R$22,179.98"
dgenph3a24br_gg_pc_po_pp_ao_wb_re_go_pf,,Paused,"R$20,073.40",134.56,R$149.18
senbonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,,Paused,"R$18,528.55",34.02,R$544.62
[MATH] [VIDEO VIEW] [YOUTUBE] Movimento Vai de Corretor - Dezembro,,Paused,"R$18,425.21",43.00,R$428.49
[MATH] [DISPLAY] [IMAGENS] Movimento Vai de Corretor - Dezembro,,Paused,"R$13,671.05","2,531.00",R$5.40
[Tráfego - Display] Plano Zap +,,Paused,"R$12,016.72","2,418.00",R$4.97
dgenph3aon25br_gg_pc_po_pp_ao_wb_re_go_pf,,Paused,"R$11,953.83",21.26,R$562.30
senb26sp_gg_pc_po_pp_ao_wb_re_go_pf,,Enabled,"R$10,762.54",95.08,R$113.19
Pesquisa | Tendências de Moradia CURITIBA,,Paused,"R$7,323.34",2.00,"R$3,661.67"
senbon24br_mt_se_po_pp_ao_wb_re_go_pf,,Paused,"R$7,116.67",219.41,R$32.44
[Leads - Display] Plano Zap + Brasília,,Paused,"R$6,190.13",141.00,R$43.90
dp24br_gg_dp_po_pp_ao_wb_re_go_pf,,Paused,"R$6,125.92",164.18,R$37.31
[Institucional] Search | Leads | PlanoZAP+ | Brasília,,Paused,"R$5,045.94",170.00,R$29.68
[MATH] [VIDEO VIEW] [YOUTUBE] [B2C],,Paused,"R$4,890.23",17.00,R$287.66
[MATH] [Discovery Zap+],,Paused,"R$4,363.79",388.00,R$11.25
Display | Leads - Zap+Fin,,Paused,"R$3,830.12",284.00,R$13.49
[Institucional] Search | Leads | PlanoZAP+ | Paraná,,Paused,"R$3,755.42",206.00,R$18.23
pmaxonbr_gg_pm_po_pp_ao_wb_re_go_pf,,Paused,"R$2,476.76",50.74,R$48.81
[ALCANCE] B2B - Vai de Corretor,,Paused,"R$2,437.13",0.00,R$0.00
[ALCANCE] B2C - Vai de Corretor,,Paused,"R$2,434.73",0.00,R$0.00
Search | Leads | Zap+Fin,,Paused,"R$2,233.68",109.00,R$20.49
Feirão pronto para mudar,,Paused,"R$2,123.71",0.00,R$0.00
MATH | Discovery | Lead | #vaidecorretor,,Paused,"R$2,051.66",0.00,R$0.00
Pesquisa | DataZap,,Paused,"R$1,977.91",5.00,R$395.58
Display | Tendências de Moradia - CURITIBA,,Paused,"R$1,970.32",1.00,"R$1,970.32"
senbonbr_gg_se_po_pp_ao_wb_re_go_pf,,Enabled,"R$1,944.66",37.00,R$52.56
MATH | Display | Lead | #vaidecorretor,,Paused,"R$1,900.60",520.00,R$3.66
sebronbr_gg_se_po_pp_ao_wb_re_go_pf,,Enabled,"R$1,836.80",15.00,R$122.45
Display | DataZap,,Paused,"R$1,060.67",1.00,"R$1,060.67"
Brasília [Leads - Display] Plano Zap +,,Paused,"R$1,048.02",0.00,R$0.00
Search | Leads | PlanoZAP+ | Paraná,,Paused,R$802.88,7.00,R$114.70
Math | Lead | Display | #vaidecorretor | Janeiro,,Paused,R$276.40,0.00,R$0.00
Leads teste de formulário,,Paused,R$97.71,13.00,R$7.52
senboffbr_gg_se_po_pp_ao_wb_re_go_pf Venda On - 2024,,Enabled,R$0.00,0.00,R$0.00
