Day,Start Hour,Impressions
Sunday,12 AM,"329,938"
Sunday,1 AM,"184,162"
Sunday,2 AM,"93,339"
Sunday,3 AM,"64,940"
Sunday,4 AM,"55,745"
Sunday,5 AM,"64,994"
Sunday,6 AM,"119,764"
Sunday,7 AM,"212,633"
Sunday,8 AM,"280,031"
Sunday,9 AM,"373,688"
Sunday,10 AM,"510,844"
Sunday,11 AM,"538,781"
Sunday,12 PM,"488,523"
Sunday,1 PM,"442,870"
Sunday,2 PM,"448,782"
Sunday,3 PM,"504,461"
Sunday,4 PM,"498,842"
Sunday,5 PM,"443,193"
Sunday,6 PM,"390,823"
Sunday,7 PM,"450,635"
Sunday,8 PM,"377,229"
Sunday,9 PM,"344,071"
Sunday,10 PM,"353,376"
Sunday,11 PM,"231,099"
Monday,12 AM,"336,555"
Monday,1 AM,"193,844"
Monday,2 AM,"97,329"
Monday,3 AM,"69,697"
Monday,4 AM,"67,060"
Monday,5 AM,"106,683"
Monday,6 AM,"189,276"
Monday,7 AM,"259,891"
Monday,8 AM,"298,714"
Monday,9 AM,"374,637"
Monday,10 AM,"395,150"
Monday,11 AM,"413,339"
Monday,12 PM,"460,433"
Monday,1 PM,"426,696"
Monday,2 PM,"415,205"
Monday,3 PM,"384,388"
Monday,4 PM,"367,819"
Monday,5 PM,"356,236"
Monday,6 PM,"403,852"
Monday,7 PM,"616,315"
Monday,8 PM,"448,904"
Monday,9 PM,"382,085"
Monday,10 PM,"320,076"
Monday,11 PM,"181,511"
Tuesday,12 AM,"552,719"
Tuesday,1 AM,"209,814"
Tuesday,2 AM,"98,952"
Tuesday,3 AM,"71,172"
Tuesday,4 AM,"85,867"
Tuesday,5 AM,"116,614"
Tuesday,6 AM,"187,030"
Tuesday,7 AM,"213,048"
Tuesday,8 AM,"265,883"
Tuesday,9 AM,"340,133"
Tuesday,10 AM,"449,832"
Tuesday,11 AM,"479,882"
Tuesday,12 PM,"617,968"
Tuesday,1 PM,"462,646"
Tuesday,2 PM,"427,959"
Tuesday,3 PM,"527,399"
Tuesday,4 PM,"425,804"
Tuesday,5 PM,"469,550"
Tuesday,6 PM,"543,307"
Tuesday,7 PM,"709,459"
Tuesday,8 PM,"704,418"
Tuesday,9 PM,"595,076"
Tuesday,10 PM,"420,792"
Tuesday,11 PM,"323,412"
Wednesday,12 AM,"547,905"
Wednesday,1 AM,"245,084"
Wednesday,2 AM,"139,208"
Wednesday,3 AM,"89,641"
Wednesday,4 AM,"86,017"
Wednesday,5 AM,"191,169"
Wednesday,6 AM,"227,264"
Wednesday,7 AM,"287,990"
Wednesday,8 AM,"372,628"
Wednesday,9 AM,"619,906"
Wednesday,10 AM,"559,759"
Wednesday,11 AM,"546,890"
Wednesday,12 PM,"537,924"
Wednesday,1 PM,"552,153"
Wednesday,2 PM,"457,099"
Wednesday,3 PM,"462,884"
Wednesday,4 PM,"427,836"
Wednesday,5 PM,"477,403"
Wednesday,6 PM,"502,686"
Wednesday,7 PM,"610,494"
Wednesday,8 PM,"614,461"
Wednesday,9 PM,"537,222"
Wednesday,10 PM,"505,049"
Wednesday,11 PM,"354,118"
Thursday,12 AM,"783,714"
Thursday,1 AM,"294,040"
Thursday,2 AM,"111,503"
Thursday,3 AM,"76,621"
Thursday,4 AM,"68,587"
Thursday,5 AM,"111,061"
Thursday,6 AM,"211,156"
Thursday,7 AM,"233,723"
Thursday,8 AM,"291,729"
Thursday,9 AM,"431,351"
Thursday,10 AM,"516,554"
Thursday,11 AM,"642,954"
Thursday,12 PM,"463,351"
Thursday,1 PM,"416,425"
Thursday,2 PM,"391,118"
Thursday,3 PM,"348,006"
Thursday,4 PM,"372,274"
Thursday,5 PM,"447,830"
Thursday,6 PM,"437,553"
Thursday,7 PM,"474,882"
Thursday,8 PM,"499,761"
Thursday,9 PM,"553,942"
Thursday,10 PM,"372,398"
Thursday,11 PM,"236,978"
Friday,12 AM,"500,168"
Friday,1 AM,"236,126"
Friday,2 AM,"178,345"
Friday,3 AM,"134,536"
Friday,4 AM,"88,358"
Friday,5 AM,"160,179"
Friday,6 AM,"272,739"
Friday,7 AM,"398,885"
Friday,8 AM,"455,128"
Friday,9 AM,"458,740"
Friday,10 AM,"427,957"
Friday,11 AM,"409,368"
Friday,12 PM,"393,847"
Friday,1 PM,"394,966"
Friday,2 PM,"329,854"
Friday,3 PM,"399,476"
Friday,4 PM,"318,365"
Friday,5 PM,"352,797"
Friday,6 PM,"344,027"
Friday,7 PM,"360,973"
Friday,8 PM,"394,513"
Friday,9 PM,"345,229"
Friday,10 PM,"320,201"
Friday,11 PM,"293,152"
Saturday,12 AM,"394,906"
Saturday,1 AM,"204,707"
Saturday,2 AM,"120,766"
Saturday,3 AM,"67,836"
Saturday,4 AM,"48,202"
Saturday,5 AM,"65,391"
Saturday,6 AM,"102,510"
Saturday,7 AM,"159,941"
Saturday,8 AM,"220,395"
Saturday,9 AM,"312,955"
Saturday,10 AM,"441,790"
Saturday,11 AM,"576,015"
Saturday,12 PM,"655,253"
Saturday,1 PM,"526,212"
Saturday,2 PM,"423,593"
Saturday,3 PM,"332,365"
Saturday,4 PM,"312,530"
Saturday,5 PM,"314,909"
Saturday,6 PM,"346,464"
Saturday,7 PM,"405,498"
Saturday,8 PM,"348,505"
Saturday,9 PM,"320,888"
Saturday,10 PM,"314,424"
Saturday,11 PM,"264,369"
