Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
anunciar zap,Broad match,Enabled,Enabled,Enabled,"R$81,476.14","17,883",13.47%
vendas imobiliárias,Broad match,Enabled,Enabled,Enabled,"R$70,230.21","11,706",11.92%
zap +,Broad match,Enabled,Enabled,Enabled,"R$63,407.95","18,021",9.76%
zap +,Phrase match,Removed,Enabled,Enabled,"R$50,188.95","12,665",7.41%
anunciar imóveis,Broad match,Enabled,Enabled,Enabled,"R$25,548.22","6,172",8.77%
anunciar no viva real,Broad match,Enabled,Enabled,Enabled,"R$23,362.03","5,164",16.05%
Grupo OLX,Phrase match,Removed,Enabled,Enabled,"R$16,603.04","5,990",16.34%
mercado imobiliario,Phrase match,Enabled,Paused,Enabled,"R$16,230.37","5,916",8.06%
anunciar imóveis,Phrase match,Enabled,Paused,Enabled,"R$16,175.79","6,751",11.97%
Mercado imobiliário,Phrase match,Enabled,Paused,Enabled,"R$14,417.26","5,090",7.16%
canal pro,Phrase match,Enabled,Paused,Enabled,"R$11,101.25",888,6.04%
Anunciar casas,Phrase match,Enabled,Paused,Enabled,"R$10,339.37","4,496",13.34%
zap +,Broad match,Enabled,Enabled,Enabled,"R$9,769.89","2,277",6.73%
calcular preço imovel,Broad match,Enabled,Paused,Enabled,"R$9,767.12","3,568",5.31%
portal imobiliário,Broad match,Enabled,Enabled,Enabled,"R$9,011.03","1,738",7.30%
anunciar imóveis,Phrase match,Enabled,Paused,Enabled,"R$8,067.19","3,242",13.17%
zap+,Phrase match,Removed,Enabled,Enabled,"R$7,724.06","3,219",20.48%
conteúdo para imobiliária,Broad match,Enabled,Paused,Enabled,"R$7,219.35","1,571",3.38%
mercado imobiliário 2022,Broad match,Enabled,Paused,Enabled,"R$6,587.82","2,995",8.57%
anunciar imóveis zap,Broad match,Enabled,Enabled,Enabled,"R$6,184.64","1,629",9.59%
Anunciar casas,Phrase match,Enabled,Paused,Enabled,"R$5,630.57","2,290",13.86%
portais imobiliários,Broad match,Removed,Enabled,Enabled,"R$5,341.16",950,6.34%
plano zap +,Phrase match,Removed,Enabled,Enabled,"R$4,628.40","1,190",25.25%
anunciar imóveis,Phrase match,Enabled,Paused,Enabled,"R$4,622.06",296,8.41%
anunciar imóveis,Broad match,Enabled,Enabled,Enabled,"R$4,334.59",555,8.41%
Anunciar no Grupo OLX,Phrase match,Removed,Enabled,Enabled,"R$4,308.31",777,16.10%
viva real anunciar imovel,Broad match,Enabled,Enabled,Enabled,"R$4,170.80","1,069",16.08%
zap+,Broad match,Enabled,Enabled,Enabled,"R$4,074.15","2,019",15.47%
anunciar imóveis,Broad match,Enabled,Paused,Enabled,"R$3,978.12","1,748",6.28%
como anunciar no viva real imoveis,Broad match,Enabled,Enabled,Enabled,"R$3,747.00",979,16.77%
anunciar imóveis,Broad match,Paused,Enabled,Enabled,"R$3,606.70","1,354",5.24%
como anunciar imoveis no zap,Broad match,Enabled,Enabled,Enabled,"R$3,556.67",710,8.66%
zap mais,Phrase match,Removed,Enabled,Enabled,"R$3,415.81","1,510",26.01%
vivareal anunciar,Broad match,Enabled,Enabled,Enabled,"R$3,319.64",785,10.60%
zap mais,Broad match,Enabled,Enabled,Enabled,"R$3,269.60","1,221",17.12%
anunciar imóveis zap,Broad match,Enabled,Enabled,Enabled,"R$3,134.47",722,12.07%
anunciar imóveis,Broad match,Enabled,Paused,Enabled,"R$3,075.72","1,372",7.83%
plataforma imobiliária,Broad match,Enabled,Enabled,Enabled,"R$3,056.03",630,7.13%
anunciar no viva real,Broad match,Enabled,Enabled,Enabled,"R$2,716.11",488,9.64%
plataforma imobiliária,Broad match,Enabled,Enabled,Enabled,"R$2,646.85",272,7.04%
Grupo OLX,Phrase match,Enabled,Paused,Enabled,"R$2,427.69",738,18.82%
anunciar casas,Phrase match,Enabled,Paused,Enabled,"R$2,390.97",179,9.59%
tendências mercado imobiliário 2022,Exact match,Enabled,Paused,Enabled,"R$2,338.80",922,10.17%
plano zap +,Broad match,Enabled,Enabled,Enabled,"R$2,218.92",896,12.69%
viva real como anunciar,Broad match,Enabled,Enabled,Enabled,"R$2,156.94",394,7.00%
canal pro,Phrase match,Enabled,Paused,Enabled,"R$2,120.23","1,257",20.11%
anunciar vivareal,Broad match,Removed,Enabled,Enabled,"R$1,955.10",525,12.29%
anúncio imobiliário,Broad match,Enabled,Enabled,Enabled,"R$1,927.46",410,11.08%
anunciar imóveis,Broad match,Enabled,Enabled,Removed,"R$1,852.07",769,7.12%
zap imoveis,Broad match,Removed,Enabled,Enabled,"R$1,771.83","1,017",3.01%
