Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
zap,"R$29,925.92","10,186","137,229",0.00,"(zap imoveis, zap pro, canal pro zap)"
pro,"R$60,372.75","13,584","102,666",0.00,"(canal pro, zap pro, canal pro zap)"
canal,"R$55,032.42","11,831","89,422",0.00,"(canal pro, canal pro zap, canal pro grupo zap)"
imoveis,"R$9,307.76","2,454","75,687",0.00,"(zap imoveis, corretor de imoveis, viva real imoveis)"
olx,"R$20,588.20","7,003","37,276",0.00,"(grupo olx, olx anunciar, olx)"
viva real,"R$7,014.72","1,677","29,494",0.00,"(viva real, viva real imoveis, viva real anunciar)"
mercado,"R$5,011.94","2,002","26,803",0.00,"(mercado imobiliário, mercado imobiliário 2022, mercado imobiliario)"
grupo,"R$16,407.38","5,226","25,920",0.00,"(grupo olx, grupo zap, canal pro grupo zap)"
mercado imobiliário,"R$3,749.84","1,522","20,252",0.00,"(mercado imobiliário, mercado imobiliário 2022)"
anunciar,"R$9,593.51","2,763","19,263",0.00,"(olx anunciar, viva real anunciar, anunciar)"
de,"R$7,163.27","1,475","18,301",0.00,"(corretor de imoveis, olx rio de janeiro, canal pro gestão de anúncios e contatos grupo zap)"
canalpro,"R$5,158.82","1,407","12,847",0.00,"(canalpro, canalpro zap, canalpro grupo zap)"
corretor de,"R$4,305.53",649,"12,340",0.00,"(corretor de imoveis, corretor de imóveis)"
zap+,"R$6,524.52","3,529","11,731",0.00,(zap+)
2022,"R$2,610.25","1,138","10,062",0.00,"(mercado imobiliário 2022, mercado imobiliario 2022)"
vender,"R$1,516.72",321,"7,252",0.00,"(vender no zap, vender, vender casa)"
zapimoveis,"R$2,011.79",515,"6,665",0.00,(zapimoveis)
mercado imobiliario,"R$1,262.10",480,"6,551",0.00,"(mercado imobiliario, noticias mercado imobiliario, mercado imobiliario 2022)"
vivareal,"R$1,730.56",322,"6,397",0.00,(vivareal)
imovelweb,R$339.35,183,"6,273",0.00,(imovelweb)
no,"R$2,212.08",500,"5,136",0.00,"(vender no zap, como anunciar no viva real, como anunciar no olx)"
imóveis,"R$1,715.73",324,"4,642",0.00,"(corretor de imóveis, viva real imóveis, melhor site para anunciar imóveis grátis)"
imovel,"R$1,216.41",354,"4,504",0.00,"(anunciar imovel, zap imovel, imovel web)"
