Quarter,Clicks,Conversions,Cost / conv.,Cost
4th quarter 2015,0,0.00,R$0.00,R$0.00
1st quarter 2016,0,0.00,R$0.00,R$0.00
2nd quarter 2016,0,0.00,R$0.00,R$0.00
3rd quarter 2016,0,0.00,R$0.00,R$0.00
4th quarter 2016,0,0.00,R$0.00,R$0.00
1st quarter 2017,0,0.00,R$0.00,R$0.00
2nd quarter 2017,0,0.00,R$0.00,R$0.00
3rd quarter 2017,0,0.00,R$0.00,R$0.00
4th quarter 2017,0,0.00,R$0.00,R$0.00
1st quarter 2018,0,0.00,R$0.00,R$0.00
2nd quarter 2018,0,0.00,R$0.00,R$0.00
3rd quarter 2018,0,0.00,R$0.00,R$0.00
4th quarter 2018,0,0.00,R$0.00,R$0.00
1st quarter 2019,0,0.00,R$0.00,R$0.00
2nd quarter 2019,0,0.00,R$0.00,R$0.00
3rd quarter 2019,0,0.00,R$0.00,R$0.00
4th quarter 2019,0,0.00,R$0.00,R$0.00
1st quarter 2020,0,0.00,R$0.00,R$0.00
2nd quarter 2020,0,0.00,R$0.00,R$0.00
3rd quarter 2020,0,0.00,R$0.00,R$0.00
4th quarter 2020,0,0.00,R$0.00,R$0.00
1st quarter 2021,0,0.00,R$0.00,R$0.00
2nd quarter 2021,0,0.00,R$0.00,R$0.00
3rd quarter 2021,"6,823",68.00,R$66.18,"R$4,500.33"
4th quarter 2021,"228,544","11,549.00",R$12.70,"R$146,663.36"
1st quarter 2022,"76,461","5,403.00",R$18.00,"R$97,270.41"
2nd quarter 2022,"68,777","8,495.00",R$12.25,"R$104,098.99"
3rd quarter 2022,"33,936","2,853.00",R$21.49,"R$61,321.88"
4th quarter 2022,"8,157",728.00,R$41.18,"R$29,981.36"
1st quarter 2023,"57,001","1,262.06",R$37.80,"R$47,706.14"
2nd quarter 2023,"22,072","1,356.94",R$35.33,"R$47,936.47"
3rd quarter 2023,"74,640","2,818.00",R$30.42,"R$85,722.29"
4th quarter 2023,"49,682","3,080.03",R$24.43,"R$75,251.72"
1st quarter 2024,"70,247","3,159.90",R$38.09,"R$120,357.39"
2nd quarter 2024,"54,315","2,840.06",R$40.84,"R$115,989.39"
3rd quarter 2024,"77,563","4,542.60",R$26.47,"R$120,222.68"
4th quarter 2024,"78,661","4,392.58",R$21.36,"R$93,839.79"
1st quarter 2025,"69,337","12,386.73",R$8.87,"R$109,837.88"
2nd quarter 2025,"48,859","13,600.79",R$5.28,"R$71,829.73"
3rd quarter 2025,"138,414","9,667.27",R$12.99,"R$125,572.61"
4th quarter 2025,"32,118","2,164.52",R$20.98,"R$45,405.24"
1st quarter 2026,"285,522","6,121.40",R$55.41,"R$339,176.24"
2nd quarter 2026,"244,157","12,210.81",R$28.57,"R$348,803.62"
3rd quarter 2026,"111,534","5,577.22",R$47.27,"R$263,631.46"
