Month,Impr.
October 2015,0
November 2015,0
December 2015,0
January 2016,0
February 2016,0
March 2016,0
April 2016,0
May 2016,0
June 2016,0
July 2016,0
August 2016,0
September 2016,0
October 2016,0
November 2016,0
December 2016,0
January 2017,0
February 2017,0
March 2017,0
April 2017,0
May 2017,0
June 2017,0
July 2017,0
August 2017,0
September 2017,0
October 2017,0
November 2017,0
December 2017,0
January 2018,0
February 2018,0
March 2018,0
April 2018,0
May 2018,0
June 2018,0
July 2018,0
August 2018,0
September 2018,0
October 2018,0
November 2018,0
December 2018,0
January 2019,0
February 2019,0
March 2019,0
April 2019,0
May 2019,0
June 2019,0
July 2019,0
August 2019,0
September 2019,0
October 2019,0
November 2019,0
December 2019,0
January 2020,0
February 2020,0
March 2020,0
April 2020,0
May 2020,0
June 2020,0
July 2020,0
August 2020,0
September 2020,0
October 2020,0
November 2020,0
December 2020,0
January 2021,0
February 2021,0
March 2021,0
April 2021,0
May 2021,0
June 2021,0
July 2021,0
August 2021,0
September 2021,"435,116"
October 2021,"2,556,218"
November 2021,"4,519,532"
December 2021,"3,837,256"
January 2022,"510,611"
February 2022,"356,780"
March 2022,"2,646,210"
April 2022,"966,678"
May 2022,"429,895"
June 2022,"578,612"
July 2022,"460,211"
August 2022,"1,239,141"
September 2022,"27,794"
October 2022,"15,830"
November 2022,"21,387"
December 2022,"14,911"
January 2023,"59,442"
February 2023,"113,691"
March 2023,"125,980"
April 2023,"72,147"
May 2023,"57,043"
June 2023,"56,243"
July 2023,"84,646"
August 2023,"145,268"
September 2023,"92,656"
October 2023,"56,694"
November 2023,"43,655"
December 2023,"48,760"
January 2024,"409,924"
February 2024,"230,300"
March 2024,"136,591"
April 2024,"77,281"
May 2024,"37,784"
June 2024,"50,885"
July 2024,"28,229"
August 2024,"105,838"
September 2024,"28,608"
October 2024,"26,438"
November 2024,"9,720"
December 2024,"466,108"
January 2025,"375,247"
February 2025,"489,469"
March 2025,"126,493"
April 2025,"56,044"
May 2025,"13,861"
June 2025,"8,224"
July 2025,"9,803"
August 2025,"14,384"
September 2025,"10,206"
October 2025,"2,495"
November 2025,0
December 2025,0
January 2026,"425,746"
February 2026,"890,578"
March 2026,"393,762"
April 2026,"203,489"
May 2026,"265,726"
June 2026,"157,591"
July 2026,"173,225"
August 2026,"184,018"
September 2026,"211,159"
