Asset association report
"July 4, 2024 - September 16, 2026"
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
Enabled,Viva Real,Business name,Campaign,Eligible,,Advertiser,"Jul 13, 2026, 6:01 PM","470,492","925,696",50.83%,BRL,0.09,40401.01
Enabled,Viva Real,Business name,Campaign,Eligible,,Advertiser,"Jul 5, 2024, 9:46 AM","6,575,063","19,573,283",33.59%,BRL,0.19,1217266.07
Enabled,Viva Real,Business name,Campaign,Eligible,,Advertiser,"Jun 3, 2026, 11:39 AM","293,382","570,398",51.43%,BRL,0.04,12385.78
Enabled,https://tpc.googlesyndication.com/simgad/13537725713277034196,Business logo,Campaign,Eligible,,Advertiser,"Jul 13, 2026, 6:01 PM","308,654","658,662",46.86%,BRL,0.10,30331.87
Enabled,https://tpc.googlesyndication.com/simgad/13537725713277034196,Business logo,Campaign,Eligible,,Advertiser,"Jul 5, 2024, 9:46 AM","5,096,447","16,035,093",31.78%,BRL,0.20,1026265.40
Enabled,https://tpc.googlesyndication.com/simgad/13537725713277034196,Business logo,Account,Eligible,,Advertiser,"Mar 24, 2025, 10:55 AM","5,485,699","16,901,705",32.46%,BRL,0.19,1060355.18
Enabled,https://tpc.googlesyndication.com/simgad/13537725713277034196,Business logo,Campaign,Eligible,,Advertiser,"Jun 3, 2026, 11:39 AM","80,598","207,950",38.76%,BRL,0.05,3757.91
Enabled,"Imóveis Para Alugar
Encontre o Imóvel Ideal Para Alugar
Somente Aqui no Viva Real! Confira!
https://www.vivareal.com.br/aluguel/",Sitelink,Campaign,Eligible,,Advertiser,"Jul 5, 2024, 10:07 AM","5,760,377","12,904,294",44.64%,BRL,0.14,825694.57
Enabled,"Imóveis Para Alugar
Encontre o Imóvel Ideal Para Alugar
Somente Aqui no Viva Real! Confira!
https://www.vivareal.com.br/aluguel/",Sitelink,Account,Eligible,,Advertiser,"Jul 5, 2024, 9:55 AM","6,220,505","13,582,016",45.80%,BRL,0.14,850233.34
Enabled,"Imóveis Para Alugar
Encontre o Imóvel Ideal Para Alugar
Somente Aqui no Viva Real! Confira!
https://www.vivareal.com.br/aluguel/",Sitelink,Campaign,Eligible,,Advertiser,"Jul 13, 2026, 6:01 PM","227,863","317,708",71.72%,BRL,0.07,15973.21
Enabled,"Imóveis Para Alugar
Encontre o Imóvel Ideal Para Alugar
Somente Aqui no Viva Real! Confira!
https://www.vivareal.com.br/aluguel/",Sitelink,Campaign,Eligible,,Advertiser,"Jun 3, 2026, 11:39 AM","232,265","360,014",64.52%,BRL,0.04,8565.55
Enabled,Aluguel de apartamento,Callout,Campaign,Eligible,,Advertiser,"Jul 18, 2024, 10:33 AM","1,733,758","7,033,224",24.65%,BRL,0.22,373263.03
Enabled,Aluguel de apartamento,Callout,Campaign,Eligible,,Advertiser,"Jul 13, 2026, 6:01 PM","118,495","272,260",43.52%,BRL,0.08,9752.20
Enabled,Aluguel de apartamento,Callout,Campaign,Eligible,,Advertiser,"Jun 3, 2026, 11:39 AM","56,183","148,955",37.72%,BRL,0.04,2217.02
Enabled,https://tpc.googlesyndication.com/simgad/12597922719780876307,Image,Campaign,Eligible,,Advertiser,"Jul 13, 2026, 6:01 PM",0,1,0.00%,BRL,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/12597922719780876307,Image,Campaign,Eligible,,Advertiser,"Jun 3, 2026, 11:38 AM",0,0, --,BRL,0,0.00
