Day,Start Hour,Impressions
Sunday,12 AM,"66,022"
Sunday,1 AM,"39,799"
Sunday,2 AM,"22,792"
Sunday,3 AM,"14,150"
Sunday,4 AM,"10,496"
Sunday,5 AM,"11,210"
Sunday,6 AM,"20,202"
Sunday,7 AM,"40,014"
Sunday,8 AM,"68,702"
Sunday,9 AM,"100,152"
Sunday,10 AM,"130,698"
Sunday,11 AM,"148,066"
Sunday,12 PM,"149,335"
Sunday,1 PM,"150,926"
Sunday,2 PM,"157,749"
Sunday,3 PM,"160,842"
Sunday,4 PM,"163,236"
Sunday,5 PM,"164,487"
Sunday,6 PM,"165,435"
Sunday,7 PM,"171,767"
Sunday,8 PM,"175,620"
Sunday,9 PM,"182,987"
Sunday,10 PM,"178,367"
Sunday,11 PM,"136,186"
Monday,12 AM,"71,131"
Monday,1 AM,"38,015"
Monday,2 AM,"21,070"
Monday,3 AM,"13,300"
Monday,4 AM,"11,018"
Monday,5 AM,"14,514"
Monday,6 AM,"29,606"
Monday,7 AM,"65,192"
Monday,8 AM,"123,083"
Monday,9 AM,"191,480"
Monday,10 AM,"240,497"
Monday,11 AM,"252,980"
Monday,12 PM,"226,396"
Monday,1 PM,"245,903"
Monday,2 PM,"263,534"
Monday,3 PM,"260,483"
Monday,4 PM,"256,462"
Monday,5 PM,"232,161"
Monday,6 PM,"207,875"
Monday,7 PM,"212,433"
Monday,8 PM,"217,433"
Monday,9 PM,"222,122"
Monday,10 PM,"212,554"
Monday,11 PM,"163,544"
Tuesday,12 AM,"70,828"
Tuesday,1 AM,"37,352"
Tuesday,2 AM,"20,548"
Tuesday,3 AM,"13,732"
Tuesday,4 AM,"11,867"
Tuesday,5 AM,"16,629"
Tuesday,6 AM,"34,898"
Tuesday,7 AM,"72,228"
Tuesday,8 AM,"127,481"
Tuesday,9 AM,"187,683"
Tuesday,10 AM,"230,117"
Tuesday,11 AM,"236,675"
Tuesday,12 PM,"206,900"
Tuesday,1 PM,"221,106"
Tuesday,2 PM,"235,713"
Tuesday,3 PM,"235,545"
Tuesday,4 PM,"223,822"
Tuesday,5 PM,"202,584"
Tuesday,6 PM,"181,913"
Tuesday,7 PM,"181,692"
Tuesday,8 PM,"189,805"
Tuesday,9 PM,"193,102"
Tuesday,10 PM,"181,214"
Tuesday,11 PM,"135,331"
Wednesday,12 AM,"66,923"
Wednesday,1 AM,"35,733"
Wednesday,2 AM,"19,693"
Wednesday,3 AM,"12,745"
Wednesday,4 AM,"11,115"
Wednesday,5 AM,"15,658"
Wednesday,6 AM,"32,667"
Wednesday,7 AM,"67,946"
Wednesday,8 AM,"118,581"
Wednesday,9 AM,"174,017"
Wednesday,10 AM,"208,742"
Wednesday,11 AM,"219,457"
Wednesday,12 PM,"195,238"
Wednesday,1 PM,"210,632"
Wednesday,2 PM,"224,587"
Wednesday,3 PM,"223,306"
Wednesday,4 PM,"213,199"
Wednesday,5 PM,"190,365"
Wednesday,6 PM,"173,253"
Wednesday,7 PM,"173,137"
Wednesday,8 PM,"178,926"
Wednesday,9 PM,"182,266"
Wednesday,10 PM,"174,271"
Wednesday,11 PM,"130,355"
Thursday,12 AM,"66,973"
Thursday,1 AM,"35,642"
Thursday,2 AM,"19,870"
Thursday,3 AM,"12,719"
Thursday,4 AM,"10,721"
Thursday,5 AM,"14,963"
Thursday,6 AM,"31,763"
Thursday,7 AM,"65,429"
Thursday,8 AM,"116,014"
Thursday,9 AM,"169,828"
Thursday,10 AM,"206,357"
Thursday,11 AM,"215,275"
Thursday,12 PM,"191,443"
Thursday,1 PM,"203,187"
Thursday,2 PM,"216,467"
Thursday,3 PM,"217,112"
Thursday,4 PM,"209,724"
Thursday,5 PM,"190,145"
Thursday,6 PM,"172,067"
Thursday,7 PM,"171,971"
Thursday,8 PM,"177,797"
Thursday,9 PM,"176,746"
Thursday,10 PM,"168,453"
Thursday,11 PM,"126,773"
Friday,12 AM,"66,445"
Friday,1 AM,"36,231"
Friday,2 AM,"19,860"
Friday,3 AM,"13,072"
Friday,4 AM,"11,116"
Friday,5 AM,"15,597"
Friday,6 AM,"30,437"
Friday,7 AM,"61,861"
Friday,8 AM,"108,532"
Friday,9 AM,"158,719"
Friday,10 AM,"190,541"
Friday,11 AM,"196,608"
Friday,12 PM,"173,648"
Friday,1 PM,"183,558"
Friday,2 PM,"196,137"
Friday,3 PM,"195,159"
Friday,4 PM,"185,597"
Friday,5 PM,"168,238"
Friday,6 PM,"151,488"
Friday,7 PM,"147,861"
Friday,8 PM,"148,350"
Friday,9 PM,"146,150"
Friday,10 PM,"138,690"
Friday,11 PM,"113,045"
Saturday,12 AM,"62,522"
Saturday,1 AM,"36,287"
Saturday,2 AM,"20,690"
Saturday,3 AM,"13,329"
Saturday,4 AM,"10,844"
Saturday,5 AM,"13,131"
Saturday,6 AM,"24,522"
Saturday,7 AM,"46,145"
Saturday,8 AM,"76,844"
Saturday,9 AM,"110,277"
Saturday,10 AM,"135,957"
Saturday,11 AM,"146,117"
Saturday,12 PM,"139,729"
Saturday,1 PM,"137,526"
Saturday,2 PM,"139,410"
Saturday,3 PM,"137,987"
Saturday,4 PM,"138,989"
Saturday,5 PM,"138,595"
Saturday,6 PM,"137,979"
Saturday,7 PM,"138,763"
Saturday,8 PM,"138,503"
Saturday,9 PM,"138,217"
Saturday,10 PM,"130,467"
Saturday,11 PM,"108,904"
