Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
viva real,Broad match,Enabled,Enabled,Enabled,"R$318,555.47","3,083,555",54.42%
imobiliária viva real,Broad match,Enabled,Enabled,Enabled,"R$205,581.61","889,120",33.80%
viva real aluguel,Broad match,Enabled,Enabled,Enabled,"R$161,756.01","322,003",13.96%
viva real imoveis,Broad match,Enabled,Enabled,Enabled,"R$112,854.26","524,658",30.55%
vivareal,Broad match,Enabled,Enabled,Enabled,"R$63,015.15","539,746",38.59%
viva real imoveis são paulo,Broad match,Enabled,Enabled,Enabled,"R$40,223.11","52,309",9.83%
vila real imóveis,Broad match,Enabled,Enabled,Enabled,"R$36,233.86","83,233",14.40%
imobiliaria viva real,Broad match,Enabled,Enabled,Enabled,"R$30,609.39","74,242",11.57%
viva real,Exact match,Enabled,Enabled,Enabled,"R$26,032.55","283,094",50.39%
viva real alugar,Broad match,Enabled,Enabled,Enabled,"R$22,767.12","41,085",10.93%
viva real imobiliária,Broad match,Enabled,Enabled,Enabled,"R$20,840.28","60,834",17.63%
viva imoveis,Broad match,Enabled,Enabled,Enabled,"R$14,616.45","29,670",9.41%
viva real,Exact match,Removed,Enabled,Enabled,"R$13,433.84","309,162",79.56%
viva real bh,Broad match,Enabled,Enabled,Enabled,"R$12,851.84","28,520",17.04%
vila real imobiliária,Broad match,Enabled,Enabled,Enabled,"R$12,400.89","38,377",26.92%
vivareal com br,Broad match,Enabled,Enabled,Enabled,"R$10,895.00","25,815",6.80%
vivareal,Exact match,Removed,Enabled,Enabled,"R$9,142.96","139,048",77.47%
viva real imóveis,Broad match,Enabled,Enabled,Enabled,"R$8,782.48","46,768",25.80%
viva real imobiliaria,Broad match,Removed,Enabled,Enabled,"R$8,518.71","12,694",11.50%
viva real curitiba,Broad match,Enabled,Enabled,Enabled,"R$8,248.94","24,250",18.73%
www vivareal com br aluguel,Broad match,Enabled,Enabled,Enabled,"R$8,234.64","12,984",6.48%
viva real são paulo,Broad match,Enabled,Enabled,Enabled,"R$7,826.77","21,688",38.44%
viva real sp,Broad match,Enabled,Enabled,Enabled,"R$7,346.85","11,875",11.09%
viva real,Exact match,Enabled,Paused,Enabled,"R$7,069.99","183,670",51.02%
viva real apartamento,Broad match,Enabled,Enabled,Enabled,"R$6,971.81","12,036",9.79%
viva real campinas,Broad match,Enabled,Enabled,Enabled,"R$6,964.07","17,743",19.76%
viva real florianopolis,Broad match,Enabled,Enabled,Enabled,"R$5,161.77","13,407",17.66%
viva real porto alegre,Broad match,Enabled,Enabled,Enabled,"R$4,839.31","13,608",16.80%
viva real fortaleza,Broad match,Enabled,Enabled,Enabled,"R$4,731.46","17,320",25.33%
vivareal,Exact match,Enabled,Enabled,Enabled,"R$4,075.24","84,110",48.01%
viva real salvador,Broad match,Enabled,Enabled,Enabled,"R$3,924.03","9,128",20.96%
viva real santo andre,Broad match,Enabled,Enabled,Enabled,"R$3,850.94","7,016",14.38%
viva real belo horizonte,Broad match,Enabled,Enabled,Enabled,"R$3,055.32","10,001",30.68%
viva real sorocaba,Broad match,Enabled,Enabled,Enabled,"R$3,011.86","7,171",15.05%
viva real ribeirão preto,Broad match,Enabled,Enabled,Enabled,"R$2,773.68","5,648",13.75%
viva real indaiatuba,Broad match,Enabled,Enabled,Enabled,"R$2,763.58","5,828",15.44%
viva real piracicaba,Broad match,Enabled,Enabled,Enabled,"R$2,672.70","11,859",26.21%
viva real telefone,Broad match,Enabled,Enabled,Enabled,"R$2,555.12","20,681",39.60%
viva real rj,Broad match,Enabled,Enabled,Enabled,"R$2,297.80","7,001",23.25%
viva real santos,Broad match,Enabled,Enabled,Enabled,"R$2,289.87","5,288",16.59%
viva real jundiai,Broad match,Enabled,Enabled,Enabled,"R$2,237.07","4,290",13.80%
viva real imoveis,Exact match,Enabled,Enabled,Enabled,"R$2,159.14","29,820",52.72%
viva real rio de janeiro,Broad match,Enabled,Enabled,Enabled,"R$2,038.03","7,211",33.45%
viva real juiz de fora,Broad match,Enabled,Enabled,Enabled,"R$2,019.67","12,883",30.96%
viva real goiania,Broad match,Enabled,Enabled,Enabled,"R$2,011.99","5,344",17.30%
viva real vila velha,Broad match,Enabled,Enabled,Enabled,"R$1,951.35","4,718",15.11%
vivareal,Exact match,Enabled,Paused,Enabled,"R$1,939.98","51,568",48.69%
viva real joão pessoa,Broad match,Enabled,Enabled,Enabled,"R$1,933.38","6,042",17.88%
viva real londrina,Broad match,Enabled,Enabled,Enabled,"R$1,778.49","5,793",18.37%
viva real praia grande,Broad match,Enabled,Enabled,Enabled,"R$1,564.11","3,416",15.69%
