Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
real,"R$402,232.09","4,468,041","7,916,287",0.00,"(viva real, viva real imoveis, viva real imóveis)"
viva,"R$382,989.70","4,402,294","7,747,940",0.00,"(viva real, viva real imoveis, viva real imóveis)"
vivareal,"R$97,416.81","1,309,448","2,318,871",0.00,"(vivareal, vivareal imoveis, vivareal aluguel)"
imoveis,"R$44,825.62","540,588","943,747",0.00,"(viva real imoveis, vivareal imoveis, viva imoveis)"
imobiliária,"R$25,105.31","127,027","258,501",0.00,"(viva real imobiliária, vila real imobiliária, imobiliária viva real)"
imóveis,"R$11,130.79","147,663","252,268",0.00,"(viva real imóveis, vivareal imóveis, viva real imóveis são paulo)"
aluguel,"R$18,101.09","92,177","201,525",0.00,"(viva real aluguel, vivareal aluguel, aluguel belo horizonte)"
vila,"R$20,783.25","73,547","163,959",0.00,"(vila real, vila real imobiliária, imobiliária vila real)"
paulo,"R$13,857.76","49,074","86,480",0.00,"(viva real são paulo, aluguel são paulo, viva real imóveis são paulo)"
bh,"R$8,729.28","52,604","85,467",0.00,"(viva real bh, vivareal bh, aluguel bh)"
curitiba,"R$7,648.42","48,121","82,164",0.00,"(viva real curitiba, vivareal curitiba, chaves na mão curitiba)"
são paulo,"R$12,986.78","45,412","80,610",0.00,"(viva real são paulo, aluguel são paulo, viva real imóveis são paulo)"
de,"R$5,562.95","33,440","72,738",0.00,"(viva real juiz de fora, viva real rio de janeiro, aluguel rio de janeiro)"
imobiliaria,"R$3,678.88","14,937","65,705",0.00,"(real imobiliaria, imobiliaria viva real, imobiliaria)"
real fortaleza,"R$4,496.20","33,992","55,751",0.00,"(viva real fortaleza, vivareal fortaleza)"
belo horizonte,"R$5,641.48","20,306","45,646",0.00,"(viva real belo horizonte, aluguel belo horizonte)"
alugar,"R$4,505.95","14,292","45,521",0.00,"(casa para alugar, viva real alugar, casas para alugar)"
com,"R$3,252.86","22,147","43,343",0.00,"(vivareal com br, www vivareal com br, viva real direto com proprietário)"
porto alegre,"R$4,132.62","25,807","40,521",0.00,"(viva real porto alegre, vivareal porto alegre)"
com br,"R$2,238.24","20,258","36,703",0.00,"(vivareal com br, www vivareal com br, vivareal com br imóveis)"
netimoveis,R$580.13,904,"36,456",0.00,(netimoveis)
rio de,"R$3,750.31","14,349","35,365",0.00,"(viva real rio de janeiro, aluguel rio de janeiro)"
de janeiro,"R$3,750.31","14,349","35,365",0.00,"(viva real rio de janeiro, aluguel rio de janeiro)"
real florianopolis,"R$3,454.81","21,925","34,029",0.00,"(viva real florianopolis, vivareal florianopolis)"
para alugar,"R$3,504.95","6,255","33,588",0.00,"(casa para alugar, casas para alugar, imoveis para alugar)"
campinas,"R$3,225.75","19,919","32,462",0.00,(viva real campinas)
real rj,"R$2,520.95","18,232","30,972",0.00,"(viva real rj, vivareal rj)"
fora,"R$1,509.05","18,630","29,534",0.00,(viva real juiz de fora)
juiz,"R$1,509.05","18,630","29,534",0.00,(viva real juiz de fora)
real salvador,"R$4,166.45","17,521","29,337",0.00,"(viva real salvador, vivareal salvador)"
piracicaba,"R$1,916.48","16,969","25,727",0.00,(viva real piracicaba)
sp,"R$3,385.87","16,429","25,596",0.00,"(viva real sp, vivareal sp, viva real são paulo sp)"
credito,R$526.54,495,"17,203",0.00,(credito real)
casa,"R$1,651.75","2,919","16,536",0.00,(casa para alugar)
preto,"R$1,653.37","9,473","15,202",0.00,"(viva real ribeirão preto, viva real ribeirao preto)"
joinville,"R$1,058.16","5,384","14,834",0.00,"(viva real joinville, aluguel joinville)"
goiania,"R$1,776.98","8,395","13,900",0.00,(viva real goiania)
joão,"R$1,523.04","8,304","13,900",0.00,(viva real joão pessoa)
pessoa,"R$1,523.04","8,304","13,900",0.00,(viva real joão pessoa)
recife,"R$1,047.05","8,194","13,792",0.00,(viva real recife)
sorocaba,"R$1,190.41","8,261","13,072",0.00,(viva real sorocaba)
na,R$175.02,192,"11,905",0.00,"(chave na mao, chaves na mão curitiba)"
londrina,R$896.17,"7,104","11,694",0.00,(viva real londrina)
casas,"R$1,099.44","2,193","11,530",0.00,(casas para alugar)
apolar,R$329.92,439,"11,440",0.00,(apolar)
real telefone,"R$1,672.60","2,177","11,298",0.00,"(viva real telefone, imobiliária viva real telefone)"
uberlandia,R$696.95,"6,926","11,030",0.00,(viva real uberlandia)
santos,"R$1,387.79","6,126","10,072",0.00,(viva real santos)
site,R$784.27,"5,985","10,030",0.00,(site viva real)
natal,R$529.43,"5,783","9,756",0.00,(viva real natal)
vivare,R$724.02,"2,361","9,749",0.00,(vivare)
andre,"R$1,261.17","5,847","9,095",0.00,(viva real santo andre)
santo,"R$1,261.17","5,847","9,095",0.00,(viva real santo andre)
www,R$590.86,"4,938","8,952",0.00,(www vivareal com br)
indaiatuba,R$856.20,"5,121","8,361",0.00,(viva real indaiatuba)
ribeirão,R$904.72,"4,960","7,920",0.00,(viva real ribeirão preto)
perto,R$303.59,461,"7,839",0.00,(imobiliária perto de mim)
mim,R$303.59,461,"7,839",0.00,(imobiliária perto de mim)
ribeirao,R$748.65,"4,513","7,282",0.00,(viva real ribeirao preto)
proprietário,"R$1,014.62","1,889","6,640",0.00,(viva real direto com proprietário)
direto,"R$1,014.62","1,889","6,640",0.00,(viva real direto com proprietário)
americana,R$422.18,"4,004","6,588",0.00,(viva real americana)
imobiliarias,R$379.79,500,"6,506",0.00,(imobiliarias)
dfimoveis,R$35.49,49,"6,336",0.00,(dfimoveis)
andar,R$222.62,323,"6,234",0.00,(quarto andar)
quarto,R$222.62,323,"6,234",0.00,(quarto andar)
mao,R$77.41,84,"6,213",0.00,(chave na mao)
chave,R$77.41,84,"6,213",0.00,(chave na mao)
itajai,R$205.47,426,"6,161",0.00,(viva imoveis itajai)
do,R$508.61,"1,118","6,097",0.00,(aluguel caxias do sul)
caxias,R$508.61,"1,118","6,097",0.00,(aluguel caxias do sul)
sul,R$508.61,"1,118","6,097",0.00,(aluguel caxias do sul)
es,R$321.14,"3,993","6,084",0.00,(viva real es)
brasilia,R$156.26,447,"6,068",0.00,(aluguel brasilia)
velha,R$720.57,"3,676","5,983",0.00,(viva real vila velha)
ibagy,R$96.39,124,"5,974",0.00,(ibagy)
sao,R$870.98,"3,662","5,870",0.00,(vivareal sao paulo)
bauru,R$341.59,"3,487","5,857",0.00,(viva real bauru)
lello,R$152.20,110,"5,805",0.00,(lello imoveis)
apartamento,R$565.92,"3,101","5,762",0.00,(viva real apartamento)
praia,R$705.49,"3,369","5,693",0.00,(viva real praia grande)
grande,R$705.49,"3,369","5,693",0.00,(viva real praia grande)
mão,R$97.61,108,"5,692",0.00,(chaves na mão curitiba)
chaves,R$97.61,108,"5,692",0.00,(chaves na mão curitiba)
jundiai,R$770.10,"3,388","5,657",0.00,(viva real jundiai)
