Quarter,Clicks,Conversions,Cost / conv.,Cost
4th quarter 2015,0,0.00,R$0.00,R$0.00
1st quarter 2016,0,0.00,R$0.00,R$0.00
2nd quarter 2016,0,0.00,R$0.00,R$0.00
3rd quarter 2016,0,0.00,R$0.00,R$0.00
4th quarter 2016,0,0.00,R$0.00,R$0.00
1st quarter 2017,0,0.00,R$0.00,R$0.00
2nd quarter 2017,0,0.00,R$0.00,R$0.00
3rd quarter 2017,0,0.00,R$0.00,R$0.00
4th quarter 2017,0,0.00,R$0.00,R$0.00
1st quarter 2018,0,0.00,R$0.00,R$0.00
2nd quarter 2018,0,0.00,R$0.00,R$0.00
3rd quarter 2018,0,0.00,R$0.00,R$0.00
4th quarter 2018,0,0.00,R$0.00,R$0.00
1st quarter 2019,0,0.00,R$0.00,R$0.00
2nd quarter 2019,0,0.00,R$0.00,R$0.00
3rd quarter 2019,0,0.00,R$0.00,R$0.00
4th quarter 2019,0,0.00,R$0.00,R$0.00
1st quarter 2020,0,0.00,R$0.00,R$0.00
2nd quarter 2020,0,0.00,R$0.00,R$0.00
3rd quarter 2020,0,0.00,R$0.00,R$0.00
4th quarter 2020,0,0.00,R$0.00,R$0.00
1st quarter 2021,0,0.00,R$0.00,R$0.00
2nd quarter 2021,0,0.00,R$0.00,R$0.00
3rd quarter 2021,0,0.00,R$0.00,R$0.00
4th quarter 2021,0,0.00,R$0.00,R$0.00
1st quarter 2022,0,0.00,R$0.00,R$0.00
2nd quarter 2022,0,0.00,R$0.00,R$0.00
3rd quarter 2022,0,0.00,R$0.00,R$0.00
4th quarter 2022,0,0.00,R$0.00,R$0.00
1st quarter 2023,0,0.00,R$0.00,R$0.00
2nd quarter 2023,0,0.00,R$0.00,R$0.00
3rd quarter 2023,0,0.00,R$0.00,R$0.00
4th quarter 2023,0,0.00,R$0.00,R$0.00
1st quarter 2024,0,0.00,R$0.00,R$0.00
2nd quarter 2024,0,0.00,R$0.00,R$0.00
3rd quarter 2024,"950,863","702,674.46",R$0.23,"R$162,528.36"
4th quarter 2024,"985,504","436,521.03",R$0.32,"R$141,169.13"
1st quarter 2025,"1,201,776","430,997.92",R$0.49,"R$212,043.67"
2nd quarter 2025,"986,691","270,015.61",R$0.96,"R$258,492.45"
3rd quarter 2025,"406,693","79,194.36",R$1.51,"R$119,798.79"
4th quarter 2025,"499,981","87,682.02",R$0.81,"R$70,842.33"
1st quarter 2026,"952,455","182,114.67",R$0.88,"R$160,744.40"
2nd quarter 2026,"788,103","113,463.93",R$0.84,"R$95,229.95"
3rd quarter 2026,"668,404","84,142.94",R$0.74,"R$62,078.04"
