Month,Clicks
October 2015,0
November 2015,0
December 2015,0
January 2016,0
February 2016,0
March 2016,0
April 2016,0
May 2016,0
June 2016,0
July 2016,0
August 2016,0
September 2016,0
October 2016,0
November 2016,0
December 2016,0
January 2017,0
February 2017,0
March 2017,0
April 2017,0
May 2017,0
June 2017,0
July 2017,0
August 2017,0
September 2017,0
October 2017,0
November 2017,0
December 2017,0
January 2018,0
February 2018,0
March 2018,0
April 2018,0
May 2018,0
June 2018,0
July 2018,0
August 2018,0
September 2018,0
October 2018,0
November 2018,0
December 2018,0
January 2019,0
February 2019,0
March 2019,0
April 2019,0
May 2019,0
June 2019,0
July 2019,0
August 2019,0
September 2019,0
October 2019,0
November 2019,0
December 2019,0
January 2020,0
February 2020,0
March 2020,0
April 2020,0
May 2020,0
June 2020,0
July 2020,0
August 2020,0
September 2020,0
October 2020,0
November 2020,0
December 2020,0
January 2021,0
February 2021,0
March 2021,0
April 2021,0
May 2021,0
June 2021,0
July 2021,0
August 2021,0
September 2021,0
October 2021,0
November 2021,0
December 2021,0
January 2022,0
February 2022,0
March 2022,0
April 2022,0
May 2022,0
June 2022,0
July 2022,0
August 2022,0
September 2022,0
October 2022,0
November 2022,0
December 2022,0
January 2023,0
February 2023,0
March 2023,0
April 2023,0
May 2023,0
June 2023,0
July 2023,0
August 2023,0
September 2023,0
October 2023,0
November 2023,0
December 2023,0
January 2024,0
February 2024,0
March 2024,0
April 2024,0
May 2024,0
June 2024,0
July 2024,"208,566"
August 2024,"333,317"
September 2024,"408,980"
October 2024,"394,217"
November 2024,"303,113"
December 2024,"288,174"
January 2025,"456,285"
February 2025,"367,583"
March 2025,"377,908"
April 2025,"334,922"
May 2025,"332,801"
June 2025,"318,968"
July 2025,"359,549"
August 2025,"43,817"
September 2025,"3,327"
October 2025,"2,669"
November 2025,"237,357"
December 2025,"259,955"
January 2026,"341,916"
February 2026,"292,901"
March 2026,"317,638"
April 2026,"281,422"
May 2026,"267,529"
June 2026,"239,152"
July 2026,"275,142"
August 2026,"269,373"
September 2026,"123,889"
