Month,Conversions
October 2015,0.00
November 2015,0.00
December 2015,0.00
January 2016,0.00
February 2016,0.00
March 2016,0.00
April 2016,0.00
May 2016,0.00
June 2016,0.00
July 2016,0.00
August 2016,0.00
September 2016,0.00
October 2016,0.00
November 2016,0.00
December 2016,0.00
January 2017,0.00
February 2017,0.00
March 2017,0.00
April 2017,0.00
May 2017,0.00
June 2017,0.00
July 2017,0.00
August 2017,0.00
September 2017,0.00
October 2017,0.00
November 2017,0.00
December 2017,0.00
January 2018,0.00
February 2018,0.00
March 2018,0.00
April 2018,0.00
May 2018,0.00
June 2018,0.00
July 2018,0.00
August 2018,0.00
September 2018,0.00
October 2018,0.00
November 2018,0.00
December 2018,0.00
January 2019,0.00
February 2019,0.00
March 2019,0.00
April 2019,0.00
May 2019,0.00
June 2019,0.00
July 2019,0.00
August 2019,0.00
September 2019,0.00
October 2019,0.00
November 2019,0.00
December 2019,0.00
January 2020,0.00
February 2020,0.00
March 2020,0.00
April 2020,0.00
May 2020,0.00
June 2020,0.00
July 2020,0.00
August 2020,0.00
September 2020,0.00
October 2020,0.00
November 2020,0.00
December 2020,0.00
January 2021,0.00
February 2021,0.00
March 2021,0.00
April 2021,0.00
May 2021,0.00
June 2021,0.00
July 2021,0.00
August 2021,0.00
September 2021,0.00
October 2021,0.00
November 2021,0.00
December 2021,0.00
January 2022,0.00
February 2022,0.00
March 2022,0.00
April 2022,0.00
May 2022,0.00
June 2022,0.00
July 2022,0.00
August 2022,0.00
September 2022,0.00
October 2022,0.00
November 2022,0.00
December 2022,0.00
January 2023,0.00
February 2023,0.00
March 2023,0.00
April 2023,0.00
May 2023,0.00
June 2023,0.00
July 2023,0.00
August 2023,0.00
September 2023,0.00
October 2023,0.00
November 2023,0.00
December 2023,0.00
January 2024,0.00
February 2024,0.00
March 2024,0.00
April 2024,0.00
May 2024,0.00
June 2024,0.00
July 2024,"191,179.44"
August 2024,"273,467.30"
September 2024,"238,027.73"
October 2024,"188,280.54"
November 2024,"139,226.72"
December 2024,"109,013.77"
January 2025,"197,609.18"
February 2025,"114,831.25"
March 2025,"118,557.50"
April 2025,"102,618.91"
May 2025,"89,824.16"
June 2025,"77,572.54"
July 2025,"72,196.79"
August 2025,"6,554.70"
September 2025,442.87
October 2025,472.43
November 2025,"39,146.06"
December 2025,"48,063.54"
January 2026,"71,352.80"
February 2026,"55,719.35"
March 2026,"55,042.52"
April 2026,"42,381.26"
May 2026,"36,872.08"
June 2026,"34,210.60"
July 2026,"38,698.56"
August 2026,"31,719.05"
September 2026,"13,725.33"
