Ad report
"May 16, 2025 - September 16, 2026"
Ad status,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,https://www.vivareal.com.br/venda/sp/sao-paulo/apartamento_residencial/?tipos=apartamento_residencial%2Ccasa_residencial&precoMaximo=600000,Apto Minha Casa Minha Vida, --,Saia do Aluguel, --,Imóveis até R$600 mil, --,Viva Real, --,Faça Uma Simulação, --,Imóveis na Planta ou Usado, --,Financiamento de Imóveis, --,Subsídio do Governo, --,Apartamento Pronto Para Morar, --,Entenda Como Funciona, --,Apartamentos à venda em SP, --,Apartamento com Desconto, --,Imóveis com Subsídio, --,Financiamento Facilitado, --,Use seu FGTS na Entrada, --, --,Apartamentos à Venda no Viva Real Elegíveis no Programa Minha Casa Minha Vida, --,Saia do Aluguel e Conquiste seu Imóvel com Desconto ou Subsídio do Governo, --,Apartamentos a Venda em Nosso Site. Acesse o Viva Real e Confira, --,Conquiste sua casa própria com as menores taxas do mercado e subsídios do Governo., --,apto,mcmv,, --, --,,senbcompramcmvsp_gg_pc_bg_lc_ao_wb_re_vr_pf,Minha Casa Minha Vida,Eligible,,Responsive search ad,"223,536","31,818",14.23%,BRL,0.36,11488.38,7.50%,"2,387.19",4.81
Enabled,https://www.vivareal.com.br/venda/sp/sao-paulo/apartamento_residencial/,Compre Seu Apartamento Já, --,Apês em Condomínio Fechado, --,Apartamento Perto do Metrô, --,Seu Próximo Investimento, --,Apê com Lazer Completo, --,Milhares de Apês à Venda, --,Apê com Financiamento Fácil, --,Lançamentos de Apartamentos, --,Apês com Preços Baixos, --,Apês de 2 e 3 Quartos, --,Apê com Varanda Gourmet, --,Busque Apês por Bairro, --,Apês com Piscina para Venda, --,Studios e Apês Compactos, --, --, --, --,"O maior portal de Apartamentos à Venda. Segurança, lazer completo e preços justos.", --,Seu sonho do apê próprio está aqui! Financiamento fácil e milhares de opções te esperam., --,Apês perto do Metrô e com Lazer Completo. Conforto e mobilidade para a família., --,"Lançamentos e Imóveis Prontos Para Morar. Filtre por bairro, preço e quartos no Viva Real.", --, --, --,, --, --,,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto,Eligible,,Responsive search ad,"232,340","42,320",18.21%,BRL,0.23,9913.15,5.30%,"2,241.34",4.42
Enabled,https://www.vivareal.com.br/venda/sp/sao-paulo/casa_residencial/,Compre Sua Casa Própria, --,Casa em Condomínio Fechado, --,Seu Próximo Investimento, --,Casas com Quintal à Venda, --,Casas de 3 e 4 Quartos, --,Casas com Piscina à Venda, --,Sobrados e Casas Térreas, --,Casa com Financiamento Fácil, --,Casas com Melhores Preços, --,Lançamentos de Casas, --,More com Mais Privacidade, --,Busque Casas por Bairro, --,Oportunidades Únicas de Compra, --,Casas de Alto Padrão, --, --, --, --,O sonho da Casa Própria com Quintal e Liberdade! Milhares de casas à venda., --,Casas em Condomínio Fechado. Tenha segurança e lazer privativo que você merece., --,Seu investimento com a certeza do Viva Real. Casas com financiamento fácil., --,"Casas Térreas e Sobrados. Filtre por preço, quartos e vagas no maior portal.", --, --, --,, --, --,,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,Responsive search ad,"469,145","91,950",19.60%,BRL,0.17,15843.40,3.53%,"3,249.12",4.88
Enabled,https://www.vivareal.com.br/venda/sp/sao-paulo/,Imóveis à venda em São Paulo, --,Viva Real Imóveis, --,As melhores casas, --,Compre Seu Imóvel Novo Aqui, --,Imóveis à Venda no Viva Real, --,Seu Próximo Investimento, --,Busca Fácil por Imóveis, --,Casas e Apês à Venda, --,Imóveis em Promoção, --,Encontre Sua Casa Própria, --,Maior Portal de Imóveis, --,Venda de Imóveis com Segurança, --,Filtre por Bairro e Preço, --,Oportunidades Únicas de Venda, --,Imóveis Que Cabem no Seu Bolso, --, --,O maior portal de imóveis à venda! Mais de 1 milhão de casas e apês em todo o Brasil., --,Seu sonho da Casa Própria começa aqui. Encontre o imóvel ideal e negocie direto., --,Compre com segurança. Ótimas opções para morar ou investir com baixo custo., --,"Lançamentos e Imóveis Prontos. Filtre por preço, bairro e tamanho no Viva Real Imóveis.", --, --, --,, --, --,,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Ampla,Eligible,,Responsive search ad,"628,923","121,103",19.26%,BRL,0.17,20970.90,3.64%,"4,406.96",4.76
Enabled,https://www.vivareal.com.br/venda/sp/sorocaba/casa_residencial/,Compre Sua Casa em Sorocaba, --,More com Qualidade de Vida, --,Casas em Condomínio Fechado, --,Casa com Quintal e Piscina, --,Seu Próximo Investimento SP, --,Casas de 3 e 4 Quartos, --,Casas com Varanda Gourmet, --,Casa com Financiamento Fácil, --,Lançamentos de Casas SP, --,Casas com Melhores Preços, --,Saia do Aluguel, --,More com Mais Privacidade, --,Casa com vaga de Garagem, --, --, --, --, --, --,Casas em Condomínio Fechado com lazer completo. Segurança e tranquilidade em Sorocaba., --,"Quintal, Piscina e 3+ Quartos. O espaço que sua família precisa no interior de SP.", --,Invista em uma cidade em crescimento. Casas com financiamento fácil no Viva Real., --,Lançamentos e Prontas. Sobrados e Casas Térreas de alto padrão em Sorocaba., --,casas, --,, --, --,,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,Responsive search ad,"54,007","12,095",22.40%,BRL,0.16,1893.22,3.89%,470.29,4.03
Enabled,https://www.vivareal.com.br/venda/sp/campinas/apartamento_residencial/,Compre Seu Apê em Campinas, --,Apês Perto da Unicamp, --,Apê com Financiamento Fácil, --,Seu Próximo Investimento, --,More com Qualidade em Campinas, --,Lançamentos em Campinas, --,Apês de 2 e 3 Quartos, --,Imóveis para comprar Campinas, --,Apês com Melhores Preços, --,Apê com Varanda Gourmet, --,Perto do Polo Tecnológico, --,Apês por Bairro em Campinas, --,Studios e Compactos Campinas, --,Maior Busca de Imóveis em SP, --, --, --, --,Apês em Condomínios Clube com segurança 24h. Lazer e qualidade de vida em Campinas., --,Apês perto da UNICAMP e dos principais polos. Financiamento fácil para sua compra., --,Lançamentos e prontos. Invista no seu futuro em uma das melhores cidades de SP., --,"Encontre o apê ideal: 2 e 3 quartos, varanda e piscina. Filtre por bairro e preço.", --, --, --,, --, --,,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto Campinas,Eligible,,Responsive search ad,"70,232","12,952",18.44%,BRL,0.25,3235.55,5.21%,675.40,4.79
Enabled,https://www.vivareal.com.br/aluguel/sp/campinas/apartamento_residencial/,Aluguel de Apê em Campinas, --,Apê Mobiliado Campinas, --,Apê com Sacada Gourmet, --,Seu Lar em Campinas, --,Apê 1 ou 2 Quartos, --,Condomínio Clube, --,Alugue seu Apartamento, --,Apartamento com Varanda, --,Seu Apto Novo no Viva Real, --,Acesse Nosso Site, --,Entre Em Contato, --,Só no Viva Real Imóveis Tem, --,Viva Real Imóveis, --,Apartamentos para Alugar, --,Aluguel Fácil e Rápido, --, --,As melhores opções de aluguel em Campinas e Região., --,"Apês Mobiliados, Sacada com Churrasqueira e Condomínio Clube.", --,Alugue de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --,Encontre apês para alugar em Campinas. Agende sua visita online., --, --, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,Responsive search ad,"128,409","28,293",22.03%,BRL,0.40,11223.72,10.19%,"2,883.53",3.89
Enabled,https://www.vivareal.com.br/aluguel/sp/casa_residencial/,Casas para alugar, --,Aluguel de Casas, --,No Viva Real Você Encontra, --,Viva Real Imóveis, --,Sua Nova Casa, --,As melhores casas, --,Casas do Sonhos, --,Casa Ideal, --,Venha Conhecer, --,Entre Em Contato Conosco, --,Casa para alugar em São Paulo, --,Casa em Condomínio Fechado, --,Casa com Garagem, --,Casas Perto de Mim, --,Casas com Edícula, --, --,Casas Para Alugar em Todo o Brasil. No Viva Real Você Encontra., --,Procurando por casa para alugar? No Viva Real você encontra., --,Casas e Sobrados Disponíveis para Alugar. Use os filtros do Viva Real e Econtre Seu Lar, --,No Viva Real você encontra as melhores casas para alugar, --,casas, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,Responsive search ad,"827,679","171,597",20.73%,BRL,0.33,56704.68,8.77%,"15,057.16",3.77
Enabled,https://www.vivareal.com.br/aluguel/sp,Sala e Ponto Comercial, --,Kitnet | Loft | Chácara | Flat, --,Salas Comerciais e muito mais, --,Locação de Imóvel, --,No Viva Real você encontra, --,Casa Dos Sonhos, --,Aluguel de Casas, --,Imóveis para alugar no Brasil, --,Sua Casa Nova no Viva Real, --,Apartamentos Para Alugar, --,Venha Conhecer, --,Entre Em Contato, --,Aluguel De Apartamentos, --,Apartamentos para alugar, --,Alugar casas perto de mim, --, --,740.040 Imóveis Para Alugar Em Todo O Brasil, --,Procurando por um Novo Lar? No Viva Real Você Encontra. Confira Nossas Ofertas de Aluguel, --,Encontre Sua Próxima Casa: Opções de Aluguel para Todos os Estilos de Vida, --,Alugue de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --, --, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Ampla,Eligible,,Responsive search ad,"1,636,408","337,815",20.64%,BRL,0.34,115996.75,9.32%,"31,480.35",3.68
Enabled,https://www.vivareal.com.br/aluguel/sp/guarulhos/casa_residencial/,Casa em Condomínio Fechado, --,Apto com Salão de Festas, --,Casa com Quintal e Piscina, --,Alugue Sua Casa no Viva Real, --,Locação Imobiliária, --,Ache Sua Casa em Guarulhos, --,"Casa, Apto, Studio ou Kitnet", --,Sua Casa com Espaço Gourmet, --,Casas para Alugar em Guarulhos, --,Imoveis em Guarulhos, --,Apto no Centro Guarulhos, --,Aluguel de Casa ou Apartamento, --,Casas para alugar, --,Guarulhos - SP, --,Apartamento em Guarulhos, --, --,Casas para alugar nos melhores bairros de Guarulhos/SP., --,Casas Amplas com Piscina e Churrasqueira. Conforto e espaço que sua família merece, --,Alugue Sua Casa de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --,Milhares de Casas para Alugar em Guarulhos. Aluguel Rápido e Descomplicado., --,imoveis,guarulhos,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Guarulhos,Eligible,,Responsive search ad,"62,027","9,515",15.34%,BRL,0.42,4043.03,10.55%,"1,003.60",4.03
