Ad group report
"May 16, 2025 - September 16, 2026"
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Brand Inclusions,Locations of interest,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,Apto Campinas,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"128,409","28,293",22.03%,BRL,0.40,11223.72,[],[],"28,293",10.19%,"2,883.53",0.40,3.89
Enabled,Ampla,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Eligible,unknown,BRL,4.26,Standard,"628,923","121,103",19.26%,BRL,0.17,20970.90,[],[],"121,103",3.64%,"4,406.96",0.17,4.76
Enabled,Apto Campinas,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Eligible,unknown,BRL,4.26,Standard,"70,232","12,952",18.44%,BRL,0.25,3235.55,[],[],"12,952",5.21%,675.40,0.25,4.79
Enabled,google_dsa_geral,dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,Not eligible,campaign paused; unknown,BRL,2.20,Dynamic,"3,450,434","433,352",12.56%,BRL,0.23,99464.71,[],[],"433,352",17.41%,"75,467.52",0.23,1.32
Enabled,Apto Sorocaba,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"55,330","10,390",18.78%,BRL,0.43,4472.57,[],[],"10,390",12.04%,"1,250.64",0.43,3.58
Enabled,Apto Sorocaba,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Eligible,unknown,BRL,4.26,Standard,"18,153","3,217",17.72%,BRL,0.23,748.48,[],[],"3,217",3.63%,116.62,0.23,6.42
Enabled,Apto SP,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"256,559","47,792",18.63%,BRL,0.45,21615.27,[],[],"47,792",11.21%,"5,358.56",0.45,4.03
Enabled,Guarulhos,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"64,438","9,798",15.21%,BRL,0.43,4208.12,[],[],"9,798",10.55%,"1,033.58",0.43,4.07
Enabled,Apto,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"495,023","93,797",18.95%,BRL,0.38,35791.21,[],[],"93,797",9.62%,"9,027.50",0.38,3.96
Enabled,Casa,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"827,679","171,597",20.73%,BRL,0.33,56704.68,[],[],"171,597",8.77%,"15,057.16",0.33,3.77
Enabled,Grupo de anúncios 1,Campaign #1,Not eligible,campaign paused; unknown,BRL, --,Standard,0,0, --,BRL,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Ribeirão Preto,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"111,327","19,435",17.46%,BRL,0.54,10414.85,[],[],"19,435",14.71%,"2,859.66",0.54,3.64
Enabled,Casa SP,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"314,849","63,519",20.17%,BRL,0.35,22271.19,[],[],"63,519",8.81%,"5,594.07",0.35,3.98
Enabled,Apto,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Eligible,unknown,BRL,4.26,Standard,"232,340","42,320",18.21%,BRL,0.23,9913.15,[],[],"42,320",5.30%,"2,241.34",0.23,4.42
Enabled,Indaiatuba,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Eligible,unknown,BRL,3.88,Standard,"94,606","20,112",21.26%,BRL,0.39,7834.28,[],[],"20,112",10.63%,"2,138.42",0.39,3.66
