Asset groups report
"May 16, 2025 - September 16, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Audience signal,Search themes,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
PAUSED,Festival da Mudança | Jul26,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Casas e aptos no Viva Real, Festival da Mudança, Melhores imóveis aqui, Sua Casa Própria É Realidade, Casas e Apartamentos, Compre seu apto ou casa nova, Oferta de imóveis para comprar, Casa pra comprar com piscina, Festival da Mudança Viva Real, Melhores imóveis no Festival, O Imóvel ideal no Festival, Novo lar no Festival","Casas e aptos à venda. Festival da Mudança, a seleção exclusiva dos melhores imóveis., Imóveis com varanda e até com piscina. Tudo o que você precisa está no Viva Real, Aqui no Festival você encontra seu novo lar. São milhares de imóveis disponíveis., No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, O imóvel perfeito para a sua rotina você encontra aqui, no Festival da Mudança.","No Viva Real tem o imóvel certo pra você. Encontre já o seu., Milhares de imóveis, várias faixas de preço. Opções com vaga de garagem e churrasqueira., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Filtre por preço e encontre o que você pode pagar. Veja as opções do Festival da Mudança., Acesse o Viva Real. Imóveis à venda com os melhores preços e torne realidade o seu sonho.","https://tpc.googlesyndication.com/simgad/18109031523056634876, https://tpc.googlesyndication.com/simgad/17593257796323465679, https://tpc.googlesyndication.com/simgad/7509735575301756460","https://tpc.googlesyndication.com/simgad/256410254229906284, https://tpc.googlesyndication.com/simgad/438173506385886592, https://tpc.googlesyndication.com/simgad/9900667921685333321","https://tpc.googlesyndication.com/simgad/14751220393035595740, https://tpc.googlesyndication.com/simgad/3781185039430156244, https://tpc.googlesyndication.com/simgad/4966030773994077228",Good,Paused,VR - Compra SP,"comprar apartamento, apartamento a venda, comprar casa, casa a venda, apartamento perto de mim, apartamento a venda perto de mim","45,908","10,238",22.30%,BRL,0.29,2967.32,6.96%,712.61,4.16
ENABLED,Compra | Jun/23,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"O imóvel ideal | Viva Real, Compre sua Casa no Viva Real, Viva Real tem o que você quer, Casas e Apartamentos à venda, Compre aqui o seu novo lar, Compre seu Imóvel em São Paulo, Apartamentos em São Paulo, Casas e Apartamentos Comprar, Apartamentos e Casas em SP, Sua Casa Nova está Aqui, Compre sua Casa em SP, São Milhares de Opções, Encontre sua Casa Ideal Aqui","Imóveis à Venda na sua região. Casas, apartamentos e kitnets que cabem no seu bolso., Descubra as melhores opções para morar. Aqui, o sonho de comprar um imóvel pode ser real.","Seu sonho da casa própria se torna realidade no Viva Real., Escolha seu imóvel agora. Descubra opções na sua região, para compra ou aluguel., Imóveis à venda para todos os tamanhos de sonhos. Está tudo aqui no Viva Real., Viva o seu sonho. Compre o seu imóvel. Opções mobiliadas, com varanda e muito mais., Comprar um imóvel cabe nos seus sonhos? Viva Real faz acontecer na realidade.","https://tpc.googlesyndication.com/simgad/18171921938016625574, https://tpc.googlesyndication.com/simgad/13291463375749067377, https://tpc.googlesyndication.com/simgad/7758661934541668686, https://tpc.googlesyndication.com/simgad/12075140973258882403, https://tpc.googlesyndication.com/simgad/3409363277560375150","https://tpc.googlesyndication.com/simgad/13411404930291997813, https://tpc.googlesyndication.com/simgad/7255077536356531132, https://tpc.googlesyndication.com/simgad/6345461075905881101, https://tpc.googlesyndication.com/simgad/4869971110675245623, https://tpc.googlesyndication.com/simgad/7075940197698081067",https://tpc.googlesyndication.com/simgad/3197113766154007497,Good,Eligible,VR - Compra SP,"comprar apartamento, apartamento a venda, comprar casa, imóveis para comprar, casa a venda, comprar studio","1,250,299","302,053",24.16%,BRL,0.23,70537.33,5.14%,"15,512.29",4.55
ENABLED,GAIA | Alto Padrão,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real: Imóveis, Viva Real: Encontrar Imóvel, Imóveis para Venda e Aluguel, Viva Real: São Paulo, Casas e Apartamentos, Imóveis em São Paulo, Apartamentos Exclusivos, Viva com Mais Qualidade, Encontre Seu Lar Ideal, Mude para o Melhor de SP, Compre Seu Imóvel Alto Padrão, Conecte-se com Imobiliárias, Encontre o Seu Imóvel Ideal, Imóveis à Venda, Imóveis Alto Padrão","Viva Real: Imóveis para Venda e Aluguel, Viva Real: A Sua Nova Casa ou Apartamento em São Paulo, Encontre Casas E Apartamentos De Alto Padrão Em São Paulo Com Conforto, Apartamentos Exclusivos E Prontos Para Morar: Garanta Seu Conforto Conosco, Qualidade De Vida E Sofisticação: Descubra Nossos Imóveis De Alto Padrão","O Viva Real conecta-o com os melhores mediadores e imobiliárias., Encontre o imovel dos seus sonhos para comprar ou alugar. Visite o Viva Real hoje!, Conectamos voce com as melhores imobiliarias para garantir o seu novo lar ideal., Viva com elegância na melhor localização de SP. Encontre seu novo lar de alto padrão., Descubra casas e apartamentos exclusivos no Viva Real. Agende uma visita online.","https://tpc.googlesyndication.com/simgad/124890079074870529, https://tpc.googlesyndication.com/simgad/15821786198106740847, https://tpc.googlesyndication.com/simgad/14719964955551251270","https://tpc.googlesyndication.com/simgad/2816942189397760211, https://tpc.googlesyndication.com/simgad/16635721954834336200, https://tpc.googlesyndication.com/simgad/2976878188708214385","https://tpc.googlesyndication.com/simgad/14325451765354362025, https://tpc.googlesyndication.com/simgad/16747167153738798347, https://tpc.googlesyndication.com/simgad/18314862707594151570",Good,Eligible,Interesses Gerais,"apartamento alto padrão, apartamento pinheiros, apartamento vila nova conceição, apartamento alphaville, apartamento jardins, apartamento alto da lapa, Imóveis de alto padrão para comprar, apartamento a venda melhores bairros","61,633","14,349",23.28%,BRL,0.37,5268.14,4.96%,711.98,7.40
ENABLED,Geral | Jun/23,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Encontre o imóvel ideal, Casas e aptos no Viva Real, Compre aqui o seu novo lar, Comprar Imóveis, O imóvel ideal | Viva Real, Apto na Planta - Viva Real, Viva o sonho de um novo lar., Apartamentos à Venda em SP, Casas à venda em SP, Encontre seu Imóvel Aqui, Casas e Apartamentos em SP, Compre sua Casa Nova, Imóveis em São Paulo e Região","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal.","No Viva Real tem o imóvel certo pra você. Encontre já o seu., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Veja imóveis no seu bairro. Opções que cabem na sua realidade? Descubra no Viva Real., Aptos com varanda e casas com piscina. Acesse o Viva Real.","https://tpc.googlesyndication.com/simgad/8130970840502272381, https://tpc.googlesyndication.com/simgad/3479702983454230614, https://tpc.googlesyndication.com/simgad/1649634980519578377, https://tpc.googlesyndication.com/simgad/13552187367894309526, https://tpc.googlesyndication.com/simgad/13037695900754217990","https://tpc.googlesyndication.com/simgad/9531519101713480398, https://tpc.googlesyndication.com/simgad/2842131328572029619, https://tpc.googlesyndication.com/simgad/11099217439288876902, https://tpc.googlesyndication.com/simgad/14373264325779571777, https://tpc.googlesyndication.com/simgad/11632167895278856213","https://tpc.googlesyndication.com/simgad/11357574820241916091, https://tpc.googlesyndication.com/simgad/4179537368763283624",Excellent,Eligible,VR - Compra SP,"comprar apartamento, apartamento a venda, comprar casa, casa a venda, apartamento perto de mim, apartamento a venda perto de mim","2,312,828","538,710",23.29%,BRL,0.23,122013.29,4.81%,"25,908.05",4.71
ENABLED,Genérico,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Milhões de Imóveis, Viva Real, Encontre o imóvel ideal, Aluguel e Venda de Imóveis, Casa nova é no Viva Real, Os melhores imóveis, Acesse agora, Encontre sua nova casa, Alugue ou compre agora mesmo, O Viva Real tem a casa nova, Casas, apartamentos e kitnets, Comprar ou Alugar, Apartamento em São Paulo, Casas em São Paulo, Comprar Casa - São Paulo","Do aluguel à compra, no Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal., Procurando por uma casa ou apartamento em São Paulo? Encontre no Viva Real","No Viva Real tem imóveis de todos os tamanhos pra você., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Imóveis pra morar com a família ou com o pet. Veja as melhores opções no Viva Real., Procurando um cantinho novo pra morar? Encontre o que imóvel que precisa no Viva Real., O Viva Real tem a casa nova que você sempre sonhou. Alugue ou compre agora mesmo.","https://tpc.googlesyndication.com/simgad/8300037958308550923, https://tpc.googlesyndication.com/simgad/7844066304370201635, https://tpc.googlesyndication.com/simgad/15674627337774361626, https://tpc.googlesyndication.com/simgad/7758661934541668686, https://tpc.googlesyndication.com/simgad/12184111103630439601","https://tpc.googlesyndication.com/simgad/954479529528102993, https://tpc.googlesyndication.com/simgad/9048124101515262493, https://tpc.googlesyndication.com/simgad/15253146668998286957, https://tpc.googlesyndication.com/simgad/16757086053109497637, https://tpc.googlesyndication.com/simgad/8079100285779502884","https://tpc.googlesyndication.com/simgad/5958095822642073354, https://tpc.googlesyndication.com/simgad/3083475291594148844, https://tpc.googlesyndication.com/simgad/17062545362057171994, https://tpc.googlesyndication.com/simgad/6437335783157519378",Excellent,Eligible,Interesses Gerais,"apartamento na planta, comprar apartamento, apartamento a venda, casa nova, comprar casa, imóveis para comprar, imóveis, alugar apartamento, casa a venda, apartamento para alugar, aluguel, apartamento mobiliado, comprar studio, imóveis para alugar, casa mobiliada, aluguel de casa, viva real, alugar kitnet, alugar flat, compra e venda","3,790,106","1,150,948",30.37%,BRL,0.19,216568.00,5.15%,"59,225.85",3.66
PAUSED,Festival da Mudança | Jul26,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Aluguel é no Viva Real, Festival da Mudança, Melhores imóveis aqui, Aluguel pra todos os bolsos, Casas, Apartamentos e Kitnets, Aluguel de casas e aptos, Oferta de imóveis para alugar, Casa pra alugar com piscina, Festival da Mudança Viva Real, Melhores imóveis no Festival, O Imóvel ideal no Festival, Novo lar no Festival","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Quer alugar, sem fiador? O Festival da Mudança do Viva Real tem várias opções., Aqui no Festival você encontra seu novo lar. São milhares de imóveis disponíveis., O endereço dos seus sonhos está aqui no Festival da Mudança. Veja os imóveis disponíveis, O imóvel perfeito para a sua rotina você encontra aqui, no Festival da Mudança.","No Viva Real tem imóveis de todos os tamanhos pra você., À procura do lar dos sonhos? Use nossos filtros e encontre o imóvel perfeito para você., Encontre o lar perfeito para você aqui no Festival da Mudança. Veja os imóveis disponíveis, Só no Festival da Mudança você encontra seu imóvel dos sonhos em poucos cliques., Use nossos filtros e encontre rápido o lar perfeito para você. Veja os imóveis disponíveis","https://tpc.googlesyndication.com/simgad/18109031523056634876, https://tpc.googlesyndication.com/simgad/17593257796323465679, https://tpc.googlesyndication.com/simgad/7509735575301756460","https://tpc.googlesyndication.com/simgad/256410254229906284, https://tpc.googlesyndication.com/simgad/438173506385886592, https://tpc.googlesyndication.com/simgad/9900667921685333321","https://tpc.googlesyndication.com/simgad/14751220393035595740, https://tpc.googlesyndication.com/simgad/3781185039430156244, https://tpc.googlesyndication.com/simgad/4966030773994077228",Good,Paused,VR - Aluguel SP,"alugar apartamento, alugar casa, aluguel casa, aluguel perto de mim, aluguel de casa perto de mim, aluguel de apartamento perto de mim, aluguel apartametno","1,220",246,20.16%,BRL,0.33,81.56,3.10%,7.63,10.69
ENABLED,Geral | Mai/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Alugue sua casa ideal, Casas e aptos no Viva Real, Aptos para alugar mobiliado, Viva o seu sonho na vida real, Imóveis que aceitam pets, Aluguel de casas e aptos, São Paulo e Região, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal.","No Viva Real tem imóveis de todos os tamanhos pra você., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Imóveis para toda família. Veja as melhores opções no Viva Real., Procurando um cantinho novo pra morar? Encontre o que imóvel que precisa no Viva Real., O Viva Real tem a casa nova que você sempre sonhou. Alugue agora mesmo.","https://tpc.googlesyndication.com/simgad/13037695900754217990, https://tpc.googlesyndication.com/simgad/13552187367894309526, https://tpc.googlesyndication.com/simgad/1649634980519578377, https://tpc.googlesyndication.com/simgad/3479702983454230614, https://tpc.googlesyndication.com/simgad/8130970840502272381, https://tpc.googlesyndication.com/simgad/10201395195534624158","https://tpc.googlesyndication.com/simgad/14373264325779571777, https://tpc.googlesyndication.com/simgad/11632167895278856213, https://tpc.googlesyndication.com/simgad/11099217439288876902, https://tpc.googlesyndication.com/simgad/4869971110675245623, https://tpc.googlesyndication.com/simgad/2842131328572029619, https://tpc.googlesyndication.com/simgad/6552256654508571623, https://tpc.googlesyndication.com/simgad/4910475059386961026, https://tpc.googlesyndication.com/simgad/6345461075905881101, https://tpc.googlesyndication.com/simgad/7999553692045861869","https://tpc.googlesyndication.com/simgad/9575342084450473715, https://tpc.googlesyndication.com/simgad/13358067090775449184",Excellent,Eligible,VR - Aluguel SP,"alugar apartamento, alugar casa, aluguel casa, aluguel perto de mim, aluguel de casa perto de mim, aluguel de apartamento perto de mim, aluguel apartametno","400,347","101,207",25.28%,BRL,0.36,36240.64,8.73%,"8,836.00",4.10
PAUSED,Festival da Mudança | Jul26,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Compre ou Alugue no Viva Real, Festival da Mudança, Melhores imóveis aqui, Compre ou Alugue, Casas e Apartamentos, Aluguel de casas e aptos, Oferta de imóveis para alugar, Casa pra alugar ou Comprar, Festival da Mudança Viva Real, Melhores imóveis no Festival, O Imóvel ideal no Festival, Novo lar no Festival","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Quer alugar, sem fiador? O Festival da Mudança do Viva Real tem várias opções., Aqui no Festival você encontra seu novo lar. São milhares de imóveis disponíveis., O endereço dos seus sonhos está aqui no Festival da Mudança. Veja os imóveis disponíveis, O imóvel perfeito para a sua rotina você encontra aqui, no Festival da Mudança.","No Viva Real tem imóveis de todos os tamanhos pra você., À procura do lar dos sonhos? Use nossos filtros e encontre o imóvel perfeito para você., Encontre o lar perfeito para você aqui no Festival da Mudança. Veja os imóveis disponíveis, Só no Festival da Mudança você encontra seu imóvel dos sonhos em poucos cliques., Use nossos filtros e encontre rápido o lar perfeito para você. Veja os imóveis disponíveis","https://tpc.googlesyndication.com/simgad/18109031523056634876, https://tpc.googlesyndication.com/simgad/17593257796323465679, https://tpc.googlesyndication.com/simgad/7509735575301756460","https://tpc.googlesyndication.com/simgad/256410254229906284, https://tpc.googlesyndication.com/simgad/438173506385886592, https://tpc.googlesyndication.com/simgad/9900667921685333321","https://tpc.googlesyndication.com/simgad/14751220393035595740, https://tpc.googlesyndication.com/simgad/3781185039430156244, https://tpc.googlesyndication.com/simgad/4966030773994077228",Good,Paused,Interesses Gerais,"apartamento na planta, comprar apartamento, apartamento a venda, casa nova, comprar casa, imóveis para comprar, imóveis, alugar apartamento, casa a venda, apartamento para alugar, aluguel, apartamento mobiliado, comprar studio, imóveis para alugar, casa mobiliada, aluguel de casa, alugar kitnet, alugar flat, compra e venda","825,574","188,307",22.81%,BRL,0.25,47042.58,7.03%,"13,234.73",3.55
ENABLED,Aluguel sem Fiador | Jun/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Encontre o seu lar dos sonhos, Aluguel é no Viva real, Alugar é fácil assim, Casas e aptos no Viva Real, Viva esse sonho, Aluguel Sem Burocracia, Aluguel em SP sem fiador, Alugue sem Fiador, Alugue seu Apartamento em SP, Confira milhares de Opções, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP","Alugue o imóvel que você sempre sonhou no Viva Real, encontre as opções aqui., Precisando de uma casa nova? Alugue no Viva Real. Imóveis em todos os estados do Brasil.","O imóvel dos sonhos vive na sua realidade. Alugue agora., Pra quem quer alugar, Viva. Aptos, Casas e Kitnets. Encontre o seu lar hoje., Imóveis na sua região, pra alugar sem complicar. O imóvel que você quer está aqui., No Viva Real você encontra a casa que quer morar, sem se preocupar com fiador., Acesse o Viva Real Imóveis. Pesquise e encontre o seu lar ideal para alugar.","https://tpc.googlesyndication.com/simgad/7844066304370201635, https://tpc.googlesyndication.com/simgad/15674627337774361626, https://tpc.googlesyndication.com/simgad/7758661934541668686, https://tpc.googlesyndication.com/simgad/10337667943084212756","https://tpc.googlesyndication.com/simgad/15253146668998286957, https://tpc.googlesyndication.com/simgad/11704169275768224779, https://tpc.googlesyndication.com/simgad/8079100285779502884, https://tpc.googlesyndication.com/simgad/16757086053109497637, https://tpc.googlesyndication.com/simgad/9048124101515262493","https://tpc.googlesyndication.com/simgad/3083475291594148844, https://tpc.googlesyndication.com/simgad/17062545362057171994",Excellent,Eligible,VR - Aluguel SP,"alugar sem fiador, aluguel sem burocracia, alugar sem garantia de fiador, alugar com calção","759,968","182,628",24.03%,BRL,0.36,65634.04,8.47%,"15,470.37",4.24
ENABLED,GAIA | Filtros,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real: Apartamentos, Viva Real: Imóveis, Casas e Apartamentos, Compre ou Alugue no Viva Real, Filtre por bairro e região, Encontre o Melhor Preço, Filtre e Facilite sua Busca, Aluguel ou Compra de Imóveis, Viva Real: São Paulo, Imóveis para Aluguel, Imóveis à Venda, Encontre o Seu Imóvel Ideal, Imóveis à Venda e Aluguel, Conecte-se com Imobiliárias, Casas e Apartamentos à Venda","Imóveis, Casas e Apartamentos para Compra, Venda e Aluguel - Viva Real, Viva Real: Imóveis para Venda e Aluguel, Viva Real: Imóveis para comprar, vender ou alugar., Milhares de Casas e Apartamentos para Comprar ou Alugar - Confira Nossas Opções, Conecte-Se Com As Melhores Imobiliárias E Realize O Sonho Da Casa Própria","Imóveis, Casas e Apartamentos para Compra, Venda e Aluguel - Viva Real, Encontre o imóvel dos seus sonhos com a Viva Real!, A Viva Real conecta-o com os melhores mediadores e imobiliárias., Encontre o imovel dos seus sonhos para comprar ou arrendar. Visite o Viva Real hoje!, Conectamos voce com os melhores mediadores e imobiliarias do Brasil. Confira as ofertas.","https://tpc.googlesyndication.com/simgad/18240055724226755841, https://tpc.googlesyndication.com/simgad/11663738787256616403, https://tpc.googlesyndication.com/simgad/8250021094293685480, https://tpc.googlesyndication.com/simgad/1268336056692969534","https://tpc.googlesyndication.com/simgad/716472966178620596, https://tpc.googlesyndication.com/simgad/3591079535881039203, https://tpc.googlesyndication.com/simgad/13794580825577251076, https://tpc.googlesyndication.com/simgad/659036711794101843","https://tpc.googlesyndication.com/simgad/3260360576478471998, https://tpc.googlesyndication.com/simgad/16517238897880686780, https://tpc.googlesyndication.com/simgad/2481067549798004900, https://tpc.googlesyndication.com/simgad/10178911785006311879",Excellent,Eligible,Interesses Gerais,"apartamento com varanda, casas para alugar perto de mim, casa com quintal, apartamento para alugar sp, apartamento para comprar em sp, apartamento aceita pet, apartamento para alugar perto de mim, alugar casa no bairro, alugar apartamento no bairro","1,450",269,18.55%,BRL,0.21,56.78,1.08%,2.90,19.61
