Day,Start Hour,Impressions
Sunday,12 AM,"139,562"
Sunday,1 AM,"83,091"
Sunday,2 AM,"46,807"
Sunday,3 AM,"30,401"
Sunday,4 AM,"23,365"
Sunday,5 AM,"25,101"
Sunday,6 AM,"43,120"
Sunday,7 AM,"88,156"
Sunday,8 AM,"150,675"
Sunday,9 AM,"222,741"
Sunday,10 AM,"286,317"
Sunday,11 AM,"326,506"
Sunday,12 PM,"340,552"
Sunday,1 PM,"346,410"
Sunday,2 PM,"352,605"
Sunday,3 PM,"362,430"
Sunday,4 PM,"362,155"
Sunday,5 PM,"362,217"
Sunday,6 PM,"356,205"
Sunday,7 PM,"374,965"
Sunday,8 PM,"391,256"
Sunday,9 PM,"393,873"
Sunday,10 PM,"346,560"
Sunday,11 PM,"251,330"
Monday,12 AM,"148,840"
Monday,1 AM,"79,595"
Monday,2 AM,"45,024"
Monday,3 AM,"29,940"
Monday,4 AM,"26,356"
Monday,5 AM,"34,940"
Monday,6 AM,"70,491"
Monday,7 AM,"145,308"
Monday,8 AM,"248,946"
Monday,9 AM,"371,577"
Monday,10 AM,"475,958"
Monday,11 AM,"519,620"
Monday,12 PM,"488,015"
Monday,1 PM,"512,619"
Monday,2 PM,"541,394"
Monday,3 PM,"551,427"
Monday,4 PM,"545,415"
Monday,5 PM,"517,862"
Monday,6 PM,"520,365"
Monday,7 PM,"525,478"
Monday,8 PM,"545,753"
Monday,9 PM,"546,589"
Monday,10 PM,"483,111"
Monday,11 PM,"336,450"
Tuesday,12 AM,"175,594"
Tuesday,1 AM,"90,833"
Tuesday,2 AM,"51,604"
Tuesday,3 AM,"35,505"
Tuesday,4 AM,"32,270"
Tuesday,5 AM,"46,462"
Tuesday,6 AM,"92,692"
Tuesday,7 AM,"183,365"
Tuesday,8 AM,"289,127"
Tuesday,9 AM,"395,370"
Tuesday,10 AM,"488,806"
Tuesday,11 AM,"523,139"
Tuesday,12 PM,"488,249"
Tuesday,1 PM,"500,940"
Tuesday,2 PM,"513,476"
Tuesday,3 PM,"519,452"
Tuesday,4 PM,"508,528"
Tuesday,5 PM,"478,969"
Tuesday,6 PM,"443,513"
Tuesday,7 PM,"463,955"
Tuesday,8 PM,"499,519"
Tuesday,9 PM,"494,132"
Tuesday,10 PM,"445,905"
Tuesday,11 PM,"355,363"
Wednesday,12 AM,"170,801"
Wednesday,1 AM,"90,386"
Wednesday,2 AM,"51,153"
Wednesday,3 AM,"34,953"
Wednesday,4 AM,"32,169"
Wednesday,5 AM,"44,693"
Wednesday,6 AM,"89,777"
Wednesday,7 AM,"177,843"
Wednesday,8 AM,"279,498"
Wednesday,9 AM,"383,308"
Wednesday,10 AM,"462,591"
Wednesday,11 AM,"500,988"
Wednesday,12 PM,"476,066"
Wednesday,1 PM,"488,699"
Wednesday,2 PM,"510,581"
Wednesday,3 PM,"506,212"
Wednesday,4 PM,"463,718"
Wednesday,5 PM,"447,162"
Wednesday,6 PM,"422,870"
Wednesday,7 PM,"425,821"
Wednesday,8 PM,"445,506"
Wednesday,9 PM,"445,103"
Wednesday,10 PM,"379,654"
Wednesday,11 PM,"265,548"
Thursday,12 AM,"148,499"
Thursday,1 AM,"76,364"
Thursday,2 AM,"43,663"
Thursday,3 AM,"29,811"
Thursday,4 AM,"26,234"
Thursday,5 AM,"36,229"
Thursday,6 AM,"72,438"
Thursday,7 AM,"143,694"
Thursday,8 AM,"226,074"
Thursday,9 AM,"310,991"
Thursday,10 AM,"382,089"
Thursday,11 AM,"405,788"
Thursday,12 PM,"387,888"
Thursday,1 PM,"397,523"
Thursday,2 PM,"412,123"
Thursday,3 PM,"410,722"
Thursday,4 PM,"427,137"
Thursday,5 PM,"369,061"
Thursday,6 PM,"354,952"
Thursday,7 PM,"360,807"
Thursday,8 PM,"372,281"
Thursday,9 PM,"356,906"
Thursday,10 PM,"304,359"
Thursday,11 PM,"230,294"
Friday,12 AM,"142,252"
Friday,1 AM,"77,827"
Friday,2 AM,"43,620"
Friday,3 AM,"30,062"
Friday,4 AM,"26,727"
Friday,5 AM,"36,933"
Friday,6 AM,"71,483"
Friday,7 AM,"137,729"
Friday,8 AM,"216,223"
Friday,9 AM,"301,130"
Friday,10 AM,"352,874"
Friday,11 AM,"375,551"
Friday,12 PM,"356,589"
Friday,1 PM,"367,546"
Friday,2 PM,"382,039"
Friday,3 PM,"386,932"
Friday,4 PM,"372,479"
Friday,5 PM,"343,814"
Friday,6 PM,"312,966"
Friday,7 PM,"317,844"
Friday,8 PM,"326,042"
Friday,9 PM,"308,777"
Friday,10 PM,"260,086"
Friday,11 PM,"200,710"
Saturday,12 AM,"128,068"
Saturday,1 AM,"74,965"
Saturday,2 AM,"43,206"
Saturday,3 AM,"29,504"
Saturday,4 AM,"24,808"
Saturday,5 AM,"29,034"
Saturday,6 AM,"51,762"
Saturday,7 AM,"101,902"
Saturday,8 AM,"166,183"
Saturday,9 AM,"229,076"
Saturday,10 AM,"282,458"
Saturday,11 AM,"309,268"
Saturday,12 PM,"314,426"
Saturday,1 PM,"314,655"
Saturday,2 PM,"316,724"
Saturday,3 PM,"314,416"
Saturday,4 PM,"317,407"
Saturday,5 PM,"315,481"
Saturday,6 PM,"305,945"
Saturday,7 PM,"307,653"
Saturday,8 PM,"313,138"
Saturday,9 PM,"311,878"
Saturday,10 PM,"257,203"
Saturday,11 PM,"201,255"
