Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
alugar,Broad match,Enabled,Enabled,Enabled,"R$39,246.74","111,859",21.25%
casa alugar,Broad match,Enabled,Enabled,Enabled,"R$29,570.55","97,036",21.74%
aluguel,Broad match,Enabled,Enabled,Enabled,"R$22,769.33","66,005",21.01%
casas para alugar são paulo,Broad match,Enabled,Enabled,Enabled,"R$16,794.78","45,796",20.12%
imoveis a venda,Broad match,Enabled,Enabled,Enabled,"R$15,927.70","98,875",20.75%
ponto comercial alugar,Broad match,Enabled,Enabled,Enabled,"R$11,027.52","31,022",24.46%
apartamentos para alugar,Broad match,Enabled,Enabled,Enabled,"R$9,691.27","26,518",19.68%
alugar apto,Broad match,Enabled,Enabled,Enabled,"R$9,173.14","24,987",19.17%
alugar casa,Broad match,Enabled,Enabled,Enabled,"R$8,753.97","26,213",20.36%
alugar apartamento,Broad match,Enabled,Enabled,Enabled,"R$8,393.82","21,754",19.64%
salao para alugar,Broad match,Enabled,Enabled,Enabled,"R$5,777.94","19,605",21.95%
casa para alugar,Broad match,Enabled,Enabled,Enabled,"R$5,539.03","14,059",18.10%
sala comercial,Broad match,Enabled,Enabled,Enabled,"R$5,029.38","11,249",26.40%
comprar casa,Broad match,Enabled,Enabled,Enabled,"R$4,586.14","28,073",21.59%
kitnet para alugar,Broad match,Enabled,Enabled,Enabled,"R$4,159.68","10,524",16.91%
aluguel são paulo,Broad match,Enabled,Enabled,Enabled,"R$3,958.12","9,096",18.53%
aluguel de apartamento são paulo,Broad match,Enabled,Enabled,Enabled,"R$3,907.44","8,978",20.53%
salas comerciais,Broad match,Enabled,Enabled,Enabled,"R$3,870.08","8,517",24.36%
aptos sao paulo,Broad match,Enabled,Enabled,Enabled,"R$3,867.42","12,880",17.35%
apartamento para alugar campinas,Broad match,Enabled,Enabled,Enabled,"R$3,376.17","7,951",22.23%
alugar apartamento são paulo,Broad match,Enabled,Enabled,Enabled,"R$3,079.32","5,987",18.22%
compra de casa,Broad match,Enabled,Enabled,Enabled,"R$2,984.93","19,160",21.23%
casa para alugar em sorocaba,Broad match,Enabled,Enabled,Enabled,"R$2,788.13","9,107",21.54%
casa para alugar campinas,Broad match,Enabled,Enabled,Enabled,"R$2,757.56","5,945",24.48%
aluguel apartamento,Broad match,Enabled,Enabled,Enabled,"R$2,646.25","7,323",21.08%
casa para alugar sorocaba,Broad match,Enabled,Enabled,Enabled,"R$2,614.75","7,401",21.75%
casa em condominio interior de sp,Broad match,Enabled,Enabled,Enabled,"R$2,596.99","10,088",22.75%
apartamento para alugar,Broad match,Enabled,Enabled,Enabled,"R$2,573.54","5,363",18.97%
aluguel sp,Broad match,Enabled,Enabled,Enabled,"R$2,548.67","6,009",20.49%
apartamento venda,Broad match,Enabled,Enabled,Enabled,"R$2,535.25","10,989",20.79%
apartamento vendas campinas,Broad match,Enabled,Enabled,Enabled,"R$2,366.98","9,849",19.60%
apartamento aluguel sao paulo,Broad match,Enabled,Enabled,Enabled,"R$2,260.34","5,410",20.48%
alugar apartamento sorocaba,Broad match,Enabled,Enabled,Enabled,"R$2,050.29","4,846",19.38%
apartamento são paulo,Broad match,Enabled,Enabled,Enabled,"R$2,025.46","3,847",14.40%
aluguel em Campinas,Broad match,Enabled,Enabled,Enabled,"R$1,892.88","5,942",23.53%
aluguel casa,Broad match,Enabled,Enabled,Enabled,"R$1,805.58","6,307",21.24%
casas para alugar,Broad match,Enabled,Enabled,Enabled,"R$1,777.10","3,964",16.67%
casa para alugar indaiatuba,Broad match,Enabled,Enabled,Enabled,"R$1,627.82","3,771",23.21%
aluguel indaiatuba,Broad match,Enabled,Enabled,Enabled,"R$1,583.05","4,194",22.59%
casas a venda em sorocaba,Broad match,Enabled,Enabled,Enabled,"R$1,558.77","10,191",22.64%
casa para alugar ribeirao preto,Broad match,Enabled,Enabled,Enabled,"R$1,553.38","2,632",22.00%
casas e terrenos a venda,Broad match,Enabled,Enabled,Enabled,"R$1,512.96","8,791",18.46%
casa para alugar em jundiai,Broad match,Enabled,Enabled,Enabled,"R$1,458.59","4,054",21.28%
aluguel campinas,Broad match,Enabled,Enabled,Enabled,"R$1,433.66","3,576",24.34%
apartamento para alugar em sp,Broad match,Enabled,Enabled,Enabled,"R$1,419.30","3,316",18.97%
apartamento Campinas,Broad match,Enabled,Enabled,Enabled,"R$1,416.31","3,281",18.67%
imoveis Campinas,Broad match,Enabled,Enabled,Enabled,"R$1,388.67","3,791",22.04%
casa para alugar jundiai,Broad match,Enabled,Enabled,Enabled,"R$1,388.38","3,654",22.76%
apartamento para comprar,Broad match,Enabled,Enabled,Enabled,"R$1,377.42","5,852",19.32%
casas a venda,Broad match,Enabled,Enabled,Enabled,"R$1,358.16","9,250",21.76%
