Search,Cost,Clicks,Impressions,Conversions
casa para alugar,"R$3,371.77","7,374","48,862",0.00
casas para alugar,"R$1,466.75","3,162","21,691",0.00
apartamento para alugar,"R$1,169.14","2,680","17,975",0.00
quinto andar,R$116.35,185,"14,430",0.00
casa para alugar campinas,"R$1,607.02","3,371","13,746",0.00
casa para alugar sorocaba,"R$1,130.97","2,653","13,686",0.00
casa para alugar indaiatuba,"R$1,366.12","3,186","13,411",0.00
casa para alugar perto de mim,"R$1,033.48","2,263","12,958",0.00
casa para alugar jundiai,R$915.90,"2,330","10,551",0.00
casa para alugar em sorocaba,R$723.80,"2,238","10,273",0.00
apartamento para alugar campinas,"R$1,098.39","2,265","10,200",0.00
aluguel,R$458.88,"1,034","9,840",0.00
casa para alugar são paulo,R$785.56,"1,347","9,683",0.00
aluguel campinas,"R$1,003.50","2,163","9,325",0.00
casas para alugar perto de mim,R$709.78,"1,626","9,311",0.00
casas para alugar são paulo,R$659.09,"1,142","8,671",0.00
webimoveis,R$152.65,418,"8,553",0.00
casa para alugar em indaiatuba,R$751.97,"2,134","8,380",0.00
casas para alugar sorocaba,R$653.18,"1,394","7,336",0.00
casa para alugar em jundiai,R$543.70,"1,609","7,111",0.00
chaves na mão,R$70.59,99,"6,942",0.00
kitnet para alugar,R$329.40,886,"6,764",0.00
chaves na mao,R$150.62,243,"6,634",0.00
casas para alugar em sorocaba,R$497.40,"1,507","6,613",0.00
aluguel indaiatuba,R$620.11,"1,711","6,453",0.00
casa para alugar ribeirao preto,R$772.36,"1,272","5,958",0.00
apartamento para alugar são paulo,R$574.83,864,"5,701",0.00
apartamento para alugar sorocaba,R$542.52,"1,066","5,469",0.00
apartamento para alugar em campinas,R$613.13,"1,313","5,440",0.00
casa para alugar em campinas,R$536.87,"1,304","5,392",0.00
casas para alugar jundiai,R$441.57,"1,138","5,340",0.00
aluguel são paulo,R$534.75,859,"5,296",0.00
casa para alugar piracicaba,R$658.30,"1,817","5,192",0.00
casas para alugar campinas,R$515.45,"1,146","5,079",0.00
