Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
alugar,"R$36,415.49","83,149","431,421",0.00,"(casa para alugar, casas para alugar, apartamento para alugar)"
para alugar,"R$35,532.89","81,619","422,420",0.00,"(casa para alugar, casas para alugar, apartamento para alugar)"
casa,"R$21,051.13","50,117","254,248",0.00,"(casa para alugar, casa para alugar campinas, casa para alugar sorocaba)"
casas,"R$8,720.17","19,710","102,638",0.00,"(casas para alugar, casas para alugar perto de mim, casas para alugar são paulo)"
em,"R$7,784.15","20,811","92,122",0.00,"(casa para alugar em sorocaba, casa para alugar em indaiatuba, casa para alugar em jundiai)"
apartamento,"R$6,586.76","13,865","77,690",0.00,"(apartamento para alugar, apartamento para alugar campinas, apartamento para alugar são paulo)"
campinas,"R$6,109.81","13,379","57,686",0.00,"(casa para alugar campinas, apartamento para alugar campinas, aluguel campinas)"
sorocaba,"R$4,149.95","10,343","51,368",0.00,"(casa para alugar sorocaba, casa para alugar em sorocaba, casas para alugar sorocaba)"
aluguel,"R$3,881.03","8,657","47,520",0.00,"(aluguel, aluguel campinas, aluguel indaiatuba)"
indaiatuba,"R$3,713.04","9,689","38,634",0.00,"(casa para alugar indaiatuba, casa para alugar em indaiatuba, aluguel indaiatuba)"
são paulo,"R$2,947.25","4,686","31,779",0.00,"(casa para alugar são paulo, casas para alugar são paulo, apartamento para alugar são paulo)"
preto,"R$3,701.35","5,992","30,661",0.00,"(casa para alugar ribeirao preto, casa para alugar ribeirão preto, casas para alugar ribeirão preto)"
de,"R$1,906.64","4,319","25,192",0.00,"(casa para alugar perto de mim, casas para alugar perto de mim, aluguel de casa)"
jundiai,"R$1,901.18","5,077","23,002",0.00,"(casa para alugar jundiai, casa para alugar em jundiai, casas para alugar jundiai)"
perto de,"R$1,743.26","3,889","22,269",0.00,"(casa para alugar perto de mim, casas para alugar perto de mim)"
de mim,"R$1,743.26","3,889","22,269",0.00,"(casa para alugar perto de mim, casas para alugar perto de mim)"
ribeirão preto,"R$2,463.62","3,986","21,148",0.00,"(casa para alugar ribeirão preto, casas para alugar ribeirão preto, imobiliária ribeirão preto)"
andar,R$116.35,185,"14,430",0.00,(quinto andar)
quinto,R$116.35,185,"14,430",0.00,(quinto andar)
chaves na,R$221.21,342,"13,576",0.00,"(chaves na mão, chaves na mao)"
kitnet,R$583.35,"1,520","13,430",0.00,"(kitnet para alugar, kitnet, kitnet para alugar sorocaba)"
como desentupir,R$34.42,"1,017","13,185",0.00,"(como desentupir vaso, como desentupir privada, como desentupir vaso sanitário)"
guarulhos,R$952.19,"1,725","12,618",0.00,"(casa para alugar guarulhos, casa para alugar em guarulhos, apartamento para alugar guarulhos)"
ribeirao preto,"R$1,237.73","2,006","9,513",0.00,"(casa para alugar ribeirao preto, casas para alugar ribeirao preto)"
americana,"R$1,183.68","3,085","9,322",0.00,"(casa para alugar americana, casa para alugar em americana, casas para alugar americana)"
webimoveis,R$152.65,418,"8,553",0.00,(webimoveis)
desentupir vaso,R$13.55,479,"8,540",0.00,"(como desentupir vaso, como desentupir vaso sanitário)"
curitiba,R$533.82,"1,476","8,480",0.00,"(apartamento para alugar curitiba, casa para alugar em curitiba, casa para alugar curitiba)"
alugar piracicaba,"R$1,056.65","2,890","8,332",0.00,"(casa para alugar piracicaba, casas para alugar piracicaba)"
mogi das,R$516.05,"1,416","6,973",0.00,"(casa para alugar mogi das cruzes, casa para alugar em mogi das cruzes)"
cruzes,R$516.05,"1,416","6,973",0.00,"(casa para alugar mogi das cruzes, casa para alugar em mogi das cruzes)"
mão,R$70.59,99,"6,942",0.00,(chaves na mão)
presidente prudente,R$345.81,"1,130","6,828",0.00,"(casa para alugar presidente prudente, casas para alugar presidente prudente)"
mao,R$150.62,243,"6,634",0.00,(chaves na mao)
a venda,R$293.78,"1,026","6,621",0.00,"(casas a venda, apartamento a venda)"
osasco,R$486.31,954,"6,319",0.00,"(casa para alugar osasco, casa para alugar em osasco)"
belo horizonte,R$336.60,853,"5,700",0.00,"(apartamento para alugar belo horizonte, casa para alugar belo horizonte)"
em jundiaí,R$407.66,"1,198","5,692",0.00,"(casa para alugar em jundiaí, casas para alugar em jundiaí)"
sala comercial,R$434.38,951,"5,630",0.00,"(sala comercial, sala comercial para alugar)"
atibaia,R$322.69,"1,151","5,589",0.00,"(casa para alugar atibaia, casa para alugar em atibaia)"
valinhos,R$479.29,"1,680","5,334",0.00,"(casa para alugar valinhos, casa para alugar em valinhos)"
apartamentos,R$312.61,577,"4,689",0.00,(apartamentos para alugar)
privada,R$20.87,538,"4,645",0.00,(como desentupir privada)
netimoveis,R$24.25,52,"4,520",0.00,(netimoveis)
imobiliária,R$322.12,351,"3,836",0.00,(imobiliária ribeirão preto)
sanitário,R$6.51,234,"3,677",0.00,(como desentupir vaso sanitário)
sjc,R$245.40,525,"3,421",0.00,(casa para alugar sjc)
santos,R$283.97,615,"3,417",0.00,(apartamento para alugar em santos)
jacarei,R$206.77,517,"2,986",0.00,(casa para alugar jacarei)
com,R$148.74,234,"2,960",0.00,(casa para alugar direto com proprietário)
proprietário,R$148.74,234,"2,960",0.00,(casa para alugar direto com proprietário)
direto,R$148.74,234,"2,960",0.00,(casa para alugar direto com proprietário)
imoveis,R$121.04,390,"2,956",0.00,(imoveis)
franca,R$169.49,511,"2,955",0.00,(casa para alugar franca)
sp,R$333.83,538,"2,840",0.00,(aluguel sp)
hortolandia,R$213.14,570,"2,728",0.00,(casa para alugar hortolandia)
