Quarter,Clicks,Conversions,Cost / conv.,Cost
4th quarter 2016,0,0.00,R$0.00,R$0.00
1st quarter 2017,0,0.00,R$0.00,R$0.00
2nd quarter 2017,0,0.00,R$0.00,R$0.00
3rd quarter 2017,0,0.00,R$0.00,R$0.00
4th quarter 2017,0,0.00,R$0.00,R$0.00
1st quarter 2018,0,0.00,R$0.00,R$0.00
2nd quarter 2018,0,0.00,R$0.00,R$0.00
3rd quarter 2018,0,0.00,R$0.00,R$0.00
4th quarter 2018,0,0.00,R$0.00,R$0.00
1st quarter 2019,0,0.00,R$0.00,R$0.00
2nd quarter 2019,0,0.00,R$0.00,R$0.00
3rd quarter 2019,0,0.00,R$0.00,R$0.00
4th quarter 2019,0,0.00,R$0.00,R$0.00
1st quarter 2020,0,0.00,R$0.00,R$0.00
2nd quarter 2020,0,0.00,R$0.00,R$0.00
3rd quarter 2020,0,0.00,R$0.00,R$0.00
4th quarter 2020,0,0.00,R$0.00,R$0.00
1st quarter 2021,0,0.00,R$0.00,R$0.00
2nd quarter 2021,0,0.00,R$0.00,R$0.00
3rd quarter 2021,0,0.00,R$0.00,R$0.00
4th quarter 2021,0,0.00,R$0.00,R$0.00
1st quarter 2022,0,0.00,R$0.00,R$0.00
2nd quarter 2022,0,0.00,R$0.00,R$0.00
3rd quarter 2022,0,0.00,R$0.00,R$0.00
4th quarter 2022,0,0.00,R$0.00,R$0.00
1st quarter 2023,0,0.00,R$0.00,R$0.00
2nd quarter 2023,0,0.00,R$0.00,R$0.00
3rd quarter 2023,0,0.00,R$0.00,R$0.00
4th quarter 2023,0,0.00,R$0.00,R$0.00
1st quarter 2024,0,0.00,R$0.00,R$0.00
2nd quarter 2024,0,0.00,R$0.00,R$0.00
3rd quarter 2024,0,0.00,R$0.00,R$0.00
4th quarter 2024,0,0.00,R$0.00,R$0.00
1st quarter 2025,0,0.00,R$0.00,R$0.00
2nd quarter 2025,"1,343,688","219,493.92",R$1.31,"R$288,038.46"
3rd quarter 2025,"1,115,198","142,062.01",R$1.90,"R$269,423.84"
4th quarter 2025,"296,678","24,346.63",R$2.59,"R$62,938.35"
1st quarter 2026,0,0.00,R$0.00,R$0.00
2nd quarter 2026,"983,409","91,896.47",R$3.43,"R$315,487.48"
3rd quarter 2026,"4,850,478","342,294.18",R$4.23,"R$1,448,946.48"
