Month,Conversions
October 2016,0.00
November 2016,0.00
December 2016,0.00
January 2017,0.00
February 2017,0.00
March 2017,0.00
April 2017,0.00
May 2017,0.00
June 2017,0.00
July 2017,0.00
August 2017,0.00
September 2017,0.00
October 2017,0.00
November 2017,0.00
December 2017,0.00
January 2018,0.00
February 2018,0.00
March 2018,0.00
April 2018,0.00
May 2018,0.00
June 2018,0.00
July 2018,0.00
August 2018,0.00
September 2018,0.00
October 2018,0.00
November 2018,0.00
December 2018,0.00
January 2019,0.00
February 2019,0.00
March 2019,0.00
April 2019,0.00
May 2019,0.00
June 2019,0.00
July 2019,0.00
August 2019,0.00
September 2019,0.00
October 2019,0.00
November 2019,0.00
December 2019,0.00
January 2020,0.00
February 2020,0.00
March 2020,0.00
April 2020,0.00
May 2020,0.00
June 2020,0.00
July 2020,0.00
August 2020,0.00
September 2020,0.00
October 2020,0.00
November 2020,0.00
December 2020,0.00
January 2021,0.00
February 2021,0.00
March 2021,0.00
April 2021,0.00
May 2021,0.00
June 2021,0.00
July 2021,0.00
August 2021,0.00
September 2021,0.00
October 2021,0.00
November 2021,0.00
December 2021,0.00
January 2022,0.00
February 2022,0.00
March 2022,0.00
April 2022,0.00
May 2022,0.00
June 2022,0.00
July 2022,0.00
August 2022,0.00
September 2022,0.00
October 2022,0.00
November 2022,0.00
December 2022,0.00
January 2023,0.00
February 2023,0.00
March 2023,0.00
April 2023,0.00
May 2023,0.00
June 2023,0.00
July 2023,0.00
August 2023,0.00
September 2023,0.00
October 2023,0.00
November 2023,0.00
December 2023,0.00
January 2024,0.00
February 2024,0.00
March 2024,0.00
April 2024,0.00
May 2024,0.00
June 2024,0.00
July 2024,0.00
August 2024,0.00
September 2024,0.00
October 2024,0.00
November 2024,0.00
December 2024,0.00
January 2025,0.00
February 2025,0.00
March 2025,0.00
April 2025,0.00
May 2025,"72,254.30"
June 2025,"147,239.62"
July 2025,"75,899.52"
August 2025,"26,305.49"
September 2025,"39,857.00"
October 2025,"24,346.63"
November 2025,0.00
December 2025,0.00
January 2026,0.00
February 2026,0.00
March 2026,0.00
April 2026,0.00
May 2026,"1,153.54"
June 2026,"90,742.93"
July 2026,"139,528.52"
August 2026,"141,824.16"
September 2026,"60,951.50"
