Campaign report
"October 1, 2016 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Bid strategy type,Conv. value,Cost,Conversions,Conv. rate,Cost / conv.,Impr.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable)
Paused,dsacomprasa360g3_gg_pc_bg_lc_ao_wb_re_vr_pf,300.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"24,982,887,903.47",17528.13,"21,310.26",26.00%,0.82,"366,774","81,976",22.35%,0.00,0.00
Paused,Imob_GO,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Enabled,pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,8000.00, --,Daily,BRL,Eligible,some asset groups disapproved; unknown; unknown,90.74,Performance Max,Target CPA,"106,079,065,214.28",4888095.77,"4,908,218.76",18.21%,1.00,"113,370,767","25,111,741",22.15%,0.00,0.00
Paused,dsacomprabr2_gg_se_bg_lc_ao_wb_re_vr_pf,1750.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"94,560,436,686.55",98877.12,"151,463.20",27.05%,0.65,"2,708,898","559,938",20.67%,0.00,0.00
Paused,SEM_Compra_Genérico,1200.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"82,349.17",144724.25,"82,349.17",22.54%,1.76,"5,402,439","365,319",6.76%,0.00,0.00
Paused,Imob_MA,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_PA,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,DSA_Aluguel_Teste_RE_BH,1330.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"18,044.44",24902.50,"18,044.44",13.44%,1.38,"700,617","134,265",19.16%,0.00,0.00
Paused,pmaxcomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,2600.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"200,324,607,665.65",209573.17,"352,479.80",25.19%,0.59,"6,383,702","1,307,792",20.49%,0.00,0.00
Paused,dsaaluguelsa360rjmg_gg_pc_bg_la_ao_wb_re_vr_pf,2000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"161,854,472.58",69955.03,"102,548.41",35.48%,0.68,"989,291","289,064",29.22%,0.00,0.00
