Ad group report
"October 1, 2016 - September 16, 2026"
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Enabled,C_SP_Guapiara,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0.00,2,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Americo de Campos,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0.00,10,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Rosana,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Sao Miguel Arcanjo,Teste Ordenação 50% 2018-06-13,BRL,0.05 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,4.16,149,19,12.75%,0.03,0.62,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Poloni,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Franco da Rocha,Teste Ordenação 10% 2018-06-04,BRL,0.14 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,6.17,115,15,13.04%,0.05,0.71,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Nuporanga,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Santa Salete,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Cosmopolis,Teste Ordenação 50% 2018-06-13,BRL,0.15 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,20.93,"1,577",449,28.47%,0.07,33.01,[],[],0.00,0,0.00,8.46%,38.00,0.87
Paused,C_SP_Taiuva,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,0.00,6,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Pedro de Toledo,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,18.82,"5,502","1,085",19.72%,0.10,103.56,[],[],0.00,0,0.00,3.32%,36.00,2.88
Paused,C_SP_Diadema,DSA_VivaReal_ Geral,BRL, --,0.55,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,20.34,"1,115,581","202,847",18.18%,0.11,22687.82,[],[],0.00,0,0.00,15.00%,"30,426.00",0.75
