Asset groups report
"October 1, 2016 - September 16, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Audience signal,Search themes,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
ENABLED,Pronto pra Morar | Jun/23,pmaxcomprasa360scpr_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar no Viva Real, Imóveis prontos pra morar, Encontre o seu novo lar, Casas e aptos em lançamento, Comprar Imóveis, O imóvel ideal | Viva Real, Viva o sonho de um novo lar., Casas e Apartamentos à venda, Ficou fácil achar o seu imóvel, Encontre o imóvel ideal","Imóveis com o preço que você busca e na localização que você quer. Encontre seu novo lar., Casas e aptos à venda prontinhos pra morar. Encontre agora o imóvel dos seus sonhos.","Encontre o seu cantinho, pronto para morar. Confira, Viva Real tem opções à venda na sua região. Apartamentos de 3 quartos, varanda e mais., Seu cantinho dos sonhos pronto para morar. Veja as opções que cabe no seu bolso., Imóveis na localização que você quer morar. Lançamentos com piscina, mobiliados e mais., Acesse o VIva Real. Escolha onde deseja morar e o valor que quer pagar. Encontre agora.","https://tpc.googlesyndication.com/simgad/2634309755788307739, https://tpc.googlesyndication.com/simgad/16862940354752449847, https://tpc.googlesyndication.com/simgad/17397282489954422950, https://tpc.googlesyndication.com/simgad/13436964591134872062, https://tpc.googlesyndication.com/simgad/8838867550111578742","https://tpc.googlesyndication.com/simgad/6437969989306634279, https://tpc.googlesyndication.com/simgad/17317693421261984494, https://tpc.googlesyndication.com/simgad/1387409353508412266, https://tpc.googlesyndication.com/simgad/5835625140946322020, https://tpc.googlesyndication.com/simgad/13007871695103693049","https://tpc.googlesyndication.com/simgad/11514404792294841883, https://tpc.googlesyndication.com/simgad/5732128821441900082",Good,Not eligible,Viva Real | Compra | SC/PR,"Apartamento pronto para morar, Casa pronta para morar, Comprar imóvel pronto para morar, Imóveis prontos para venda, Imóvel disponível para mudança imediata, Comprar imóvel sem obra, Imóveis prontos para ocupação, Comprar casa pronta, Oportunidade de comprar imóvel pronto, Comprar apartamento já finalizado, Imóvel pronto para mudança, Comprar imóvel sem reforma, Imóveis prontos para residência, Imóveis para venda prontos para entrar, Comprar casa pronta e mobiliada",BRL,27.92,"180,993","39,423",21.78%,0.13,5053.20,16.48%,"6,498.41",0.78
ENABLED,Aluguel Sem Fiador,pmaxaluguelsa360rjmg_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Encontre o seu lar dos sonhos, Aluguel é no Viva real, Alugar é fácil assim, Casas e aptos no Viva Real, Viva esse sonho","Alugue o imóvel que você sempre sonhou no Viva Real, encontre as opções aqui., Precisando de uma casa nova? Alugue no Viva Real. Imóveis em todos os estados do Brasil.","O imóvel dos sonhos vive na sua realidade. Alugue agora., Pra quem quer alugar, Viva. Aptos, Casas e Kitnets. Encontre o seu lar hoje., Imóveis na sua região, pra alugar sem complicar. O imóvel que você quer está aqui., No Viva Real você encontra a casa que quer morar, sem se preocupar com fiador., Acesse o Viva Real Imóveis. Pesquise e encontre o seu lar ideal para alugar.","https://tpc.googlesyndication.com/simgad/950290047948062086, https://tpc.googlesyndication.com/simgad/2180661312029254691, https://tpc.googlesyndication.com/simgad/16665125078314298222, https://tpc.googlesyndication.com/simgad/675451120362785519","https://tpc.googlesyndication.com/simgad/8941795832052149556, https://tpc.googlesyndication.com/simgad/2308013363491895828, https://tpc.googlesyndication.com/simgad/14257752446347288007, https://tpc.googlesyndication.com/simgad/8597059086854390155, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Average,Not eligible,Viva Real | Aluguel,"aluguel sem fiador, apartamento sem fiador, casa para alugar sem burocracia, aluguel sem burocracia, casa para alugar sem fiador, aluguel sem fiador sao paulo, imobiliárias que não precisa de fiador, aluguel sem caução, imobiliaria sem fiador, aluguel sem fiador e sem caução",BRL,41.80,"262,359","60,976",23.24%,0.18,10966.30,28.71%,"17,505.29",0.63
ENABLED,Compra | Jun/23,pmaxcomprasa360br_gg_pm_bg_lc_ao_wb_re_vr_pf,"O imóvel ideal | Viva Real, Compre sua Casa no Viva Real, Viva Real tem o que você quer, Casas e Apartamentos à venda, Compre aqui o seu novo lar","Imóveis à Venda na sua região. Casas, apartamentos e kitnets que cabem no seu bolso., Descubra as melhores opções para morar. Aqui, o sonho de comprar um imóvel pode ser real.","Seu sonho da casa própria se torna realidade no Viva Real., Imóveis à venda para todos os tamanhos de sonhos. Está tudo aqui no Viva Real., Viva o seu sonho. Compre o seu imóvel. Opções mobiliadas, com varanda e muito mais., Comprar um imóvel cabe nos seus sonhos? Viva Real faz acontecer na realidade.","https://tpc.googlesyndication.com/simgad/3068686964849926367, https://tpc.googlesyndication.com/simgad/6944677988565321782, https://tpc.googlesyndication.com/simgad/16665125078314298222, https://tpc.googlesyndication.com/simgad/2134301337395305174, https://tpc.googlesyndication.com/simgad/16879512954020542069","https://tpc.googlesyndication.com/simgad/18204173142203380515, https://tpc.googlesyndication.com/simgad/806065885869337825, https://tpc.googlesyndication.com/simgad/11758316744067166863, https://tpc.googlesyndication.com/simgad/15890859353469985613, https://tpc.googlesyndication.com/simgad/5515183827478274253",https://tpc.googlesyndication.com/simgad/4528857307356382384,Good,Eligible,Viva Real | Compra,"comprar apartamento, apartamento a venda, comprar casa, imóveis para comprar, casa a venda, comprar studio",BRL,28.36,"8,182,984","1,802,371",22.03%,0.13,232075.13,14.32%,"258,029.04",0.90
ENABLED,Na Planta,pmaxcomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,"Viva Real, Encontre o lar dos sonhos, Imóveis na planta, Em busca da casa própria?, Casas e aptos dos sonhos, Apto na Planta - Viva Real, Invista em imóveis na planta, Garanta seu imóvel na planta, Adquira seu imóvel na planta, Compre seu lar na planta","Procurando o apê dos sonhos na planta? Encontre agora. Acesse o site ou Baixe o App, Diga adeus ao aluguel e encontre o imóvel que você sempre sonhou na planta.","No Viva Real, temos o imóvel que combina com seus sonhos., Casas, aptos, kitnets e outros imóveis na localização ideal pra você. Acesse o Viva Real., Casa própria? Temos. Lançamentos de imóveis que cabem no seu bolso., Para todos os tipos de sonhos, temos um imóvel na planta que cabe no seu bolso., Imóveis ainda na planta no seu bairro preferido. Faça sua busca, pesquise no Viva Real.","https://tpc.googlesyndication.com/simgad/1897285788156345558, https://tpc.googlesyndication.com/simgad/12746624380512667980, https://tpc.googlesyndication.com/simgad/3206976175861898736, https://tpc.googlesyndication.com/simgad/11419282559294702705, https://tpc.googlesyndication.com/simgad/4430325325475973815","https://tpc.googlesyndication.com/simgad/5995448752927922274, https://tpc.googlesyndication.com/simgad/12128438461744799815, https://tpc.googlesyndication.com/simgad/8037685120806785688, https://tpc.googlesyndication.com/simgad/3194301462966355353, https://tpc.googlesyndication.com/simgad/18184305845921101392","https://tpc.googlesyndication.com/simgad/13263440933677926235, https://tpc.googlesyndication.com/simgad/4073867752163112256",Good,Not eligible,Viva Real | Compra | SP,"Lançamento imobiliário, Investir em imóvel na planta, Comprar imóvel na planta, Apartamento na planta à venda, Comprar imóvel novo na planta, Imóvel na planta com financiamento, Comprar casa na planta, Lançamento de apartamentos na planta, Oportunidade de comprar imóvel na planta",BRL,33.88,"481,421","101,659",21.12%,0.16,16308.78,26.69%,"27,136.17",0.60
ENABLED,Aluguel Sem Fiador | Jun/23,pmaxaluguelsa360scpr_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Encontre o seu lar dos sonhos, Aluguel é no Viva real, Alugar é fácil assim, Casas e aptos no Viva Real, Viva esse sonho, Aluguel descomplicado, Seu lar sem complicação, Alugue sem fiador aqui","Alugue o imóvel que você sempre sonhou no Viva Real, encontre as opções aqui., Precisando de uma casa nova? Alugue no Viva Real. Imóveis em todos os estados do Brasil.","O imóvel dos sonhos vive na sua realidade. Alugue agora., Pra quem quer alugar, Viva. Aptos, Casas e Kitnets. Encontre o seu lar hoje., Imóveis na sua região, pra alugar sem complicar. O imóvel que você quer está aqui., No Viva Real você encontra a casa que quer morar, sem se preocupar com fiador., Acesse o Viva Real Imóveis. Pesquise e encontre o seu lar ideal para alugar.","https://tpc.googlesyndication.com/simgad/950290047948062086, https://tpc.googlesyndication.com/simgad/2180661312029254691, https://tpc.googlesyndication.com/simgad/16665125078314298222, https://tpc.googlesyndication.com/simgad/675451120362785519","https://tpc.googlesyndication.com/simgad/8941795832052149556, https://tpc.googlesyndication.com/simgad/2308013363491895828, https://tpc.googlesyndication.com/simgad/14257752446347288007, https://tpc.googlesyndication.com/simgad/8597059086854390155, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Good,Not eligible,Viva Real | Aluguel | SC/PR,"aluguel sem fiador, apartamento sem fiador, casa para alugar sem burocracia, aluguel sem burocracia, casa para alugar sem fiador, aluguel sem fiador sao paulo, imobiliárias que não precisa de fiador, aluguel sem caução, imobiliaria sem fiador, aluguel sem fiador e sem caução",BRL,55.70,"218,761","52,900",24.18%,0.23,12184.42,32.49%,"17,186.89",0.71
PAUSED,Festival da Mudança | Jul26,pmax24br_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Compre ou Alugue no Viva Real, Festival da Mudança, Melhores imóveis aqui, Compre ou Alugue, Casas e Apartamentos, Aluguel de casas e aptos, Oferta de imóveis para alugar, Casa pra alugar ou Comprar, Festival da Mudança Viva Real, Melhores imóveis no Festival, O Imóvel ideal no Festival, Novo lar no Festival","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Quer alugar, sem fiador? O Festival da Mudança do Viva Real tem várias opções., Aqui no Festival você encontra seu novo lar. São milhares de imóveis disponíveis., O endereço dos seus sonhos está aqui no Festival da Mudança. Veja os imóveis disponíveis, O imóvel perfeito para a sua rotina você encontra aqui, no Festival da Mudança.","No Viva Real tem imóveis de todos os tamanhos pra você., À procura do lar dos sonhos? Use nossos filtros e encontre o imóvel perfeito para você., Encontre o lar perfeito para você aqui no Festival da Mudança. Veja os imóveis disponíveis, Só no Festival da Mudança você encontra seu imóvel dos sonhos em poucos cliques., Use nossos filtros e encontre rápido o lar perfeito para você. Veja os imóveis disponíveis","https://tpc.googlesyndication.com/simgad/10241659051992737489, https://tpc.googlesyndication.com/simgad/17009495629660600585, https://tpc.googlesyndication.com/simgad/7286802982056242092","https://tpc.googlesyndication.com/simgad/7886162365464665826, https://tpc.googlesyndication.com/simgad/6580698489080031784, https://tpc.googlesyndication.com/simgad/8032300669961592351","https://tpc.googlesyndication.com/simgad/9559560468214106886, https://tpc.googlesyndication.com/simgad/3644475838141479925, https://tpc.googlesyndication.com/simgad/7004850575275537622",Good,Paused,Viva Real | Geral,"apartamento na planta, comprar apartamento, apartamento a venda, casa nova, comprar casa, imóveis para comprar, imóveis, alugar apartamento, casa a venda, apartamento para alugar, aluguel, apartamento mobiliado, comprar studio, imóveis para alugar, casa mobiliada, aluguel de casa, alugar kitnet, alugar flat, compra e venda",BRL,40.70,"387,537","98,653",25.46%,0.16,15771.71,5.45%,"5,376.90",2.93
ENABLED,Geral | Mai/23,pmaxaluguelsa360scpr_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Alugue sua casa ideal, Casas e aptos no Viva Real, Aptos para alugar mobiliado, Viva o seu sonho na vida real, Encontre seu lar no Viva Real, Seu próximo imóvel está aqui","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal.","No Viva Real tem imóveis de todos os tamanhos pra você., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Imóveis para toda família. Veja as melhores opções no Viva Real., Procurando um cantinho novo pra morar? Encontre o que imóvel que precisa no Viva Real., O Viva Real tem a casa nova que você sempre sonhou. Alugue agora mesmo.","https://tpc.googlesyndication.com/simgad/16428909100576394093, https://tpc.googlesyndication.com/simgad/14407412377117727068, https://tpc.googlesyndication.com/simgad/12937442807543016476, https://tpc.googlesyndication.com/simgad/12371575978625135721, https://tpc.googlesyndication.com/simgad/1049991034445285215","https://tpc.googlesyndication.com/simgad/10925276148190891359, https://tpc.googlesyndication.com/simgad/1133890680381761914, https://tpc.googlesyndication.com/simgad/17260273042707847140, https://tpc.googlesyndication.com/simgad/15890859353469985613, https://tpc.googlesyndication.com/simgad/12955411490581505340","https://tpc.googlesyndication.com/simgad/5732128821441900082, https://tpc.googlesyndication.com/simgad/14268386735361598947",Good,Not eligible,Viva Real | Aluguel | SC/PR,"apartamento para alugar, casas para alugar, Alugar apartamento, imoveis para alugar, apartamento mobiliado para alugar, casas para alugar perto de mim, aluguel apartamento, Alugar Casa, casas para arrendar, Alugar Kitnet, Alugar Flat",BRL,56.50,"148,093","36,439",24.61%,0.23,8366.73,33.04%,"12,038.92",0.69
ENABLED,Geral | Jun/23,pmaxcomprasa360rjmg_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Encontre o imóvel ideal, Casas e aptos no Viva Real, Compre aqui o seu novo lar, Comprar Imóveis, O imóvel ideal | Viva Real, Apto na Planta - Viva Real, Viva o sonho de um novo lar.","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal.","No Viva Real tem o imóvel certo pra você. Encontre já o seu., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Veja imóveis no seu bairro. Opções que cabem na sua realidade? Descubra no Viva Real., Aptos com varanda e casas com piscina. Acesse o Viva Real.","https://tpc.googlesyndication.com/simgad/1049991034445285215, https://tpc.googlesyndication.com/simgad/12371575978625135721, https://tpc.googlesyndication.com/simgad/12937442807543016476, https://tpc.googlesyndication.com/simgad/14407412377117727068, https://tpc.googlesyndication.com/simgad/16428909100576394093","https://tpc.googlesyndication.com/simgad/14378425319071332889, https://tpc.googlesyndication.com/simgad/12955411490581505340, https://tpc.googlesyndication.com/simgad/17260273042707847140, https://tpc.googlesyndication.com/simgad/10925276148190891359, https://tpc.googlesyndication.com/simgad/1133890680381761914","https://tpc.googlesyndication.com/simgad/7696776457928613608, https://tpc.googlesyndication.com/simgad/12379935828693184604",Average,Not eligible,Viva Real | Compra,"apartamento na planta, apartamento a venda, casa em condominio, ap na planta, apartamentos mobiliados, apartamento para comprar, casa a venda, imoveis a venda caixa, Comprar Casa, casa para vender, Comprar Apartamento, comprar apto, Comprar Studio",BRL,27.44,"332,533","97,555",29.34%,0.09,9123.32,14.02%,"13,681.79",0.67
ENABLED,Piscina | Jun/23,pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Seu novo lar no Viva Real., Casa pra alugar com piscina, Encontre seu lar com piscina, Aluguel de casas e aptos, Viva Real tem o seu novo lar., Alugue sua casa com piscina, Aptos para alugar com piscina","Imóveis dos sonhos com piscina e no preço que você buscar. Confira agora mesmo., Casas e aptos disponíveis para aluguel. Imóveis em todo o país. Encontre seu novo lar","No Viva Real você encontra o seu novo imóvel com piscina., Aluguel em condomínio com área de lazer? Aplique os filtros e torne o seu sonho real., Imóveis com 2 ou 3 quartos, piscina e do jeito que você sonha, pelo preço ideal., Descubra as melhores opções de aluguel com facilidades e espaços de bem-estar. É real, Quer alugar o apê dos sonho? Confira no Viva Real aptos em condomínios com piscina.","https://tpc.googlesyndication.com/simgad/1513663969302100590, https://tpc.googlesyndication.com/simgad/8160025482655482574, https://tpc.googlesyndication.com/simgad/15695938722441196484, https://tpc.googlesyndication.com/simgad/1346470709948479750","https://tpc.googlesyndication.com/simgad/7776445088510564809, https://tpc.googlesyndication.com/simgad/6919030492629000273, https://tpc.googlesyndication.com/simgad/125311559343723923, https://tpc.googlesyndication.com/simgad/15460411255947107014",https://tpc.googlesyndication.com/simgad/4655765577110138184,Good,Eligible,Viva Real | Aluguel,"apartamento com piscina, apartamento lazer completo, apto para alugar com piscina, apartamento para alugar com piscina no condomínio",BRL,49.85,"13,583,735","3,848,313",28.33%,0.18,677126.16,19.23%,"740,073.84",0.91
ENABLED,Compra | Jun/23,pmaxcomprasa360g3_gg_pm_bg_lc_ao_wb_re_vr_pf,"O imóvel ideal | Viva Real, Compre sua Casa no Viva Real, Viva Real tem o que você quer, Casas e Apartamentos à venda, Compre aqui o seu novo lar","Imóveis à Venda na sua região. Casas, apartamentos e kitnets que cabem no seu bolso., Descubra as melhores opções para morar. Aqui, o sonho de comprar um imóvel pode ser real.","Seu sonho da casa própria se torna realidade no Viva Real., Escolha seu imóvel agora. Descubra opções na sua região, para compra ou aluguel., Imóveis à venda para todos os tamanhos de sonhos. Está tudo aqui no Viva Real., Viva o seu sonho. Compre o seu imóvel. Opções mobiliadas, com varanda e muito mais., Comprar um imóvel cabe nos seus sonhos? Viva Real faz acontecer na realidade.","https://tpc.googlesyndication.com/simgad/3068686964849926367, https://tpc.googlesyndication.com/simgad/6944677988565321782, https://tpc.googlesyndication.com/simgad/16665125078314298222, https://tpc.googlesyndication.com/simgad/2134301337395305174, https://tpc.googlesyndication.com/simgad/16879512954020542069","https://tpc.googlesyndication.com/simgad/18204173142203380515, https://tpc.googlesyndication.com/simgad/806065885869337825, https://tpc.googlesyndication.com/simgad/11758316744067166863, https://tpc.googlesyndication.com/simgad/15890859353469985613, https://tpc.googlesyndication.com/simgad/5515183827478274253",https://tpc.googlesyndication.com/simgad/4528857307356382384,Average,Not eligible,Viva Real | Compra,"Imóveis à venda, Comprar imóvel, Comprar casa, Compra de apartamento, Imóveis para compra, Oportunidades de compra de imóveis, Apartamento ou casa para comprar, Imóvel de luxo à venda",BRL,30.86,"53,717","10,776",20.06%,0.15,1657.50,13.82%,"1,489.28",1.11
