Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,45.06%,45.06%,No data,No data,No data,No data,67.21%,67.21%,No data,No data
quintoandar.com.br,20.49%,20.49%,35.50%,35.50%,24.98%,24.98%,91.25%,91.25%,84.98%,84.98%
zapimoveis.com.br,33.42%,33.42%,31.93%,31.93%,50.08%,50.08%,70.33%,70.33%,58.17%,58.17%
chavesnamao.com.br,12.13%,12.13%,41.71%,41.71%,17.51%,17.51%,64.72%,64.72%,42.44%,42.44%
trovit.com.br,19.41%,19.41%,40.19%,40.19%,26.58%,26.58%,49.85%,49.85%,40.67%,40.67%
airbnb.com.br,< 10%,< 10%,42.95%,42.95%,6.75%,6.75%,81.49%,81.49%,69.29%,69.29%
mercadolivre.com.br,12.24%,12.24%,41.89%,41.89%,16.40%,16.40%,51.28%,51.28%,42.93%,42.93%
imovelweb.com.br,12.63%,12.63%,41.01%,41.01%,17.97%,17.97%,67.74%,67.74%,50.02%,50.02%
booking.com,< 10%,< 10%,43.88%,43.88%,3.59%,3.59%,81.58%,81.58%,73.25%,73.25%
mitula.com.br,< 10%,< 10%,43.16%,43.16%,13.11%,13.11%,43.85%,43.85%,32.12%,32.12%
