Ad Group Name,Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
Viva_All_Pages,DSA_Compra,"R$8,674,741.23",R$0.00,"59,559,316",0,"59,559,316",0
,dsaaluguelbr_gg_se_bg_la_ao_wb_re_vr_pf,"R$6,837,183.57",R$0.00,"32,359,489",0,"32,359,489",0
,pmax24br_gg_pc_bg_ld_ao_wb_re_vr_pf,"R$6,556,728.87",R$0.00,"32,291,456",0,"47,294,499",0
Viva_All_Pages,DSA_Aluguel,"R$5,580,374.46",R$0.00,"28,137,744",0,"28,137,744",0
,pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,"R$4,888,088.28",R$0.00,"25,111,709",0,"26,952,708",0
,pmaxcomprasa360br_gg_pm_bg_lc_ao_wb_re_vr_pf,"R$3,401,926.46",R$0.00,"23,536,916",0,"25,501,834",0
,dsacomprabr_gg_se_bg_lc_ao_wb_re_vr_pf,"R$3,007,176.07",R$0.00,"20,295,904",0,"20,295,904",0
,DSA_Geral_Corona,"R$2,431,310.25",R$0.00,"24,054,279",0,"24,054,279",0
,pmaxbr_gg_pm_bg_ld_ao_wb_re_vr_pf - old,"R$2,295,018.98",R$0.00,"16,975,246",0,"16,981,542",0
C_SP_Sao Paulo,DSA_VivaReal_ Geral,"R$1,940,719.12","R$103,359.94","13,005,012","973,656","13,005,012","973,656"
Viva_SP,DSA_Aluguel,"R$1,156,616.82",R$0.00,"4,378,357",0,"4,378,357",0
,dsacomprasa360br_gg_se_bg_lc_ao_wb_re_vr_pf,"R$1,086,844.01",R$0.00,"6,527,291",0,"6,527,291",0
Aluguel,senbgeralr_gg_pc_bg_ld_ao_wb_re_vr_pf,"R$953,402.05",R$0.00,"3,433,923",0,"3,433,923",0
,pmaxssbr_gg_pm_bg_tf_tp_wb_re_vr_pf,"R$835,386.75",R$0.00,"13,410,018",0,"14,078,158",0
Viva_SP,DSA_Compra,"R$727,042.15",R$0.00,"3,556,346",0,"3,556,346",0
,dsaaluguelsa360br_gg_se_bg_la_ao_wb_re_vr_pf,"R$575,266.81",R$0.00,"3,303,428",0,"3,303,428",0
,pmaxbr_gg_pm_bg_ld_ao_wb_re_vr_pf,"R$494,725.63",R$0.00,"1,921,516",0,"2,466,423",0
Viva_RJ,DSA_Aluguel,"R$472,734.37",R$0.00,"1,937,881",0,"1,937,881",0
google_dsa_aluguel,dsageral25br_gg_se_bg_ld_ao_wb_re_vr_pf,"R$441,554.32",R$0.00,"1,870,148",0,"1,870,148",0
