Campaign Name,Campaign Group Name,Campaign Status,Cost,Conversions,Cost / conv.
DSA_Compra,,Paused,"R$9,661,130.99","7,227,571.41",R$1.34
DSA_VivaReal_ Geral,,Paused,"R$8,444,288.40","10,402,188.00",R$0.81
DSA_Aluguel,,Paused,"R$7,209,725.66","5,092,969.35",R$1.42
dsaaluguelbr_gg_se_bg_la_ao_wb_re_vr_pf,,Enabled,"R$6,837,183.57","7,599,300.42",R$0.90
pmax24br_gg_pc_bg_ld_ao_wb_re_vr_pf,,Enabled,"R$6,556,728.87","6,607,298.60",R$0.99
pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,,Enabled,"R$4,888,088.28","4,908,218.76",R$1.00
pmaxcomprasa360br_gg_pm_bg_lc_ao_wb_re_vr_pf,,Enabled,"R$3,401,926.46","3,396,527.75",R$1.00
dsacomprabr_gg_se_bg_lc_ao_wb_re_vr_pf,,Paused,"R$3,007,176.07","3,229,483.33",R$0.93
DSA_Geral_Corona,,Paused,"R$2,431,310.25","2,279,182.16",R$1.07
pmaxbr_gg_pm_bg_ld_ao_wb_re_vr_pf - old,,Paused,"R$2,295,018.98","1,867,767.39",R$1.23
senbgeralr_gg_pc_bg_ld_ao_wb_re_vr_pf,,Enabled,"R$1,280,196.47","492,095.46",R$2.60
dsacomprasa360br_gg_se_bg_lc_ao_wb_re_vr_pf,,Paused,"R$1,086,844.01","723,049.84",R$1.50
pmaxssbr_gg_pm_bg_tf_tp_wb_re_vr_pf,,Paused,"R$835,386.75","94,045,472.16",R$0.01
dsageral25br_gg_se_bg_ld_ao_wb_re_vr_pf,,Enabled,"R$642,843.86","286,014.00",R$2.25
dsaaluguelsa360br_gg_se_bg_la_ao_wb_re_vr_pf,,Paused,"R$575,266.81","609,527.47",R$0.94
pmaxbr_gg_pm_bg_ld_ao_wb_re_vr_pf,,Paused,"R$494,725.63","613,261.75",R$0.81
C_SP_Campinas,,Paused,"R$365,713.76","272,515.00",R$1.34
pmaxaluguelsa360sp_gg_pc_bg_la_ao_wb_re_vr_pf,,Paused,"R$330,353.63","475,475.10",R$0.69
pmaxaluguelsa360br2_gg_pm_bg_la_ao_wb_re_vr_pf,,Paused,"R$293,601.47","461,528.08",R$0.64
Teste_Migração_Campinas,,Paused,"R$280,022.85","247,891.00",R$1.13
pmaxcomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,,Paused,"R$209,573.17","352,479.80",R$0.59
pmaxcomprasa360br2_gg_pm_bg_lc_ao_wb_re_vr_pf,,Paused,"R$207,969.98","344,512.64",R$0.60
dsaaluguelsa360sp_gg_pc_bg_la_ao_wb_re_vr_pf,,Paused,"R$172,879.90","267,217.29",R$0.65
dsaaluguelbr2_gg_se_bg_la_ao_wb_re_vr_pf,,Paused,"R$167,576.33","227,605.13",R$0.74
DSA_VivaReal_Geral - tCPA,,Enabled,"R$165,561.20","326,630.00",R$0.51
SEM_Compra_Genérico,,Paused,"R$144,724.25","82,349.17",R$1.76
SEM - Aluguel_SP,,Paused,"R$117,925.42","71,839.58",R$1.64
SEM - Aluguel_Genérico,,Paused,"R$113,643.89","70,447.86",R$1.61
Teste Ordenação 50% 2018-06-13,,Enabled,"R$109,076.50","176,800.00",R$0.62
dsacomprabr2_gg_se_bg_lc_ao_wb_re_vr_pf,,Paused,"R$98,877.12","151,463.20",R$0.65
pmaxaluguelsa360scpr_gg_pm_bg_la_ao_wb_re_vr_pf,,Paused,"R$79,440.30","111,649.48",R$0.71
dsacomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,,Paused,"R$77,691.99","115,750.87",R$0.67
pmaxaluguelsa360rjmg_gg_pm_bg_la_ao_wb_re_vr_pf,,Paused,"R$75,797.60","120,351.19",R$0.63
dsaaluguelsa360rjmg_gg_pc_bg_la_ao_wb_re_vr_pf,,Paused,"R$69,955.03","102,548.41",R$0.68
pmaxcomprasa360rjmg_gg_pm_bg_lc_ao_wb_re_vr_pf,,Paused,"R$57,372.12","87,765.88",R$0.65
senbcompramcmvbr_gg_pc_bg_lc_ao_wb_re_vr_pf,,Enabled,"R$56,181.95","14,317.75",R$3.92
DSA_Geral_Corona_G1,,Paused,"R$48,899.96","25,888.00",R$1.89
SEM - Compra_SP,,Paused,"R$46,297.92","23,999.57",R$1.93
SEM - Aluguel_RJ,,Paused,"R$42,619.88","19,812.56",R$2.15
pmaxcomprasa360scpr_gg_pm_bg_lc_ao_wb_re_vr_pf,,Paused,"R$37,667.19","51,468.08",R$0.73
dsaaluguelsa360scpr_gg_pc_bg_la_ao_wb_re_vr_pf,,Paused,"R$37,524.83","50,710.68",R$0.74
SEM - Compra_RJ,,Paused,"R$34,927.98","14,132.90",R$2.47
dsacomprasa360rjmg_gg_pc_bg_lc_ao_wb_re_vr_pf,,Paused,"R$33,514.60","47,046.39",R$0.71
DSA_Aluguel_Teste_RE_BH,,Paused,"R$24,902.50","18,044.44",R$1.38
VivaReal_Google_Trafego_Discovery_AON_BR,,Paused,"R$23,934.78",629.00,R$38.05
dsacomprasa360scpr_gg_pc_bg_lc_ao_wb_re_vr_pf,,Paused,"R$23,732.63","25,583.72",R$0.93
dsacompra24br_gg_se_bg_lc_ao_wb_re_vr_pf,,Paused,"R$22,045.40","2,400.98",R$9.18
dsaaluguel24br_gg_se_bg_la_ao_wb_re_vr_pf,,Paused,"R$20,606.72","2,787.82",R$7.39
pmaxaluguelsa360g3_gg_pm_bg_la_ao_wb_re_vr_pf,,Paused,"R$19,567.56","22,410.39",R$0.87
dsacomprasa360g3_gg_pc_bg_lc_ao_wb_re_vr_pf,,Paused,"R$17,528.13","21,310.26",R$0.82
