Day,Start Hour,Impressions
Sunday,12 AM,"7,479,169"
Sunday,1 AM,"4,479,781"
Sunday,2 AM,"2,563,962"
Sunday,3 AM,"1,572,423"
Sunday,4 AM,"1,145,158"
Sunday,5 AM,"1,216,158"
Sunday,6 AM,"2,256,444"
Sunday,7 AM,"4,681,653"
Sunday,8 AM,"8,043,965"
Sunday,9 AM,"11,437,825"
Sunday,10 AM,"14,360,474"
Sunday,11 AM,"16,120,872"
Sunday,12 PM,"16,360,325"
Sunday,1 PM,"16,765,627"
Sunday,2 PM,"17,604,556"
Sunday,3 PM,"18,149,548"
Sunday,4 PM,"18,291,084"
Sunday,5 PM,"18,390,156"
Sunday,6 PM,"18,200,022"
Sunday,7 PM,"19,096,202"
Sunday,8 PM,"19,580,447"
Sunday,9 PM,"20,067,543"
Sunday,10 PM,"18,638,444"
Sunday,11 PM,"13,982,254"
Monday,12 AM,"7,896,149"
Monday,1 AM,"4,335,194"
Monday,2 AM,"2,350,917"
Monday,3 AM,"1,433,067"
Monday,4 AM,"1,128,476"
Monday,5 AM,"1,449,767"
Monday,6 AM,"3,026,992"
Monday,7 AM,"6,505,871"
Monday,8 AM,"11,324,390"
Monday,9 AM,"16,583,901"
Monday,10 AM,"20,880,633"
Monday,11 AM,"22,736,552"
Monday,12 PM,"21,818,737"
Monday,1 PM,"23,271,683"
Monday,2 PM,"24,251,198"
Monday,3 PM,"24,217,880"
Monday,4 PM,"23,802,035"
Monday,5 PM,"22,053,824"
Monday,6 PM,"20,719,220"
Monday,7 PM,"21,772,746"
Monday,8 PM,"23,028,104"
Monday,9 PM,"23,252,794"
Monday,10 PM,"20,203,419"
Monday,11 PM,"14,323,428"
Tuesday,12 AM,"8,150,837"
Tuesday,1 AM,"4,396,549"
Tuesday,2 AM,"2,378,323"
Tuesday,3 AM,"1,504,450"
Tuesday,4 AM,"1,252,644"
Tuesday,5 AM,"1,696,973"
Tuesday,6 AM,"3,506,238"
Tuesday,7 AM,"7,147,591"
Tuesday,8 AM,"11,705,347"
Tuesday,9 AM,"16,347,135"
Tuesday,10 AM,"20,020,191"
Tuesday,11 AM,"21,399,406"
Tuesday,12 PM,"20,413,121"
Tuesday,1 PM,"21,669,890"
Tuesday,2 PM,"22,409,204"
Tuesday,3 PM,"22,138,931"
Tuesday,4 PM,"21,713,909"
Tuesday,5 PM,"20,140,514"
Tuesday,6 PM,"19,054,256"
