Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
aluguel,Broad match,Enabled,Enabled,Enabled,"R$788,897.93","2,878,391",21.00%
venda de apto,Broad match,Enabled,Enabled,Enabled,"R$100,380.58","464,574",22.07%
casas novas a venda,Broad match,Enabled,Enabled,Enabled,"R$93,886.87","612,627",22.24%
imoveis para vender,Broad match,Enabled,Enabled,Enabled,"R$65,244.61","386,721",19.90%
apartamento para comprar,Broad match,Enabled,Paused,Enabled,"R$55,383.10","125,419",7.39%
aluguel casa,Broad match,Enabled,Paused,Enabled,"R$33,262.47","95,841",6.54%
aluguel casa,Broad match,Enabled,Paused,Enabled,"R$31,106.85","87,505",7.62%
casas para vender,Broad match,Enabled,Paused,Enabled,"R$27,008.09","72,275",6.11%
casa a venda,Broad match,Enabled,Paused,Enabled,"R$18,682.26","47,967",7.08%
casa a venda,Broad match,Enabled,Paused,Enabled,"R$18,627.78","51,738",7.74%
casa para alugar,Broad match,Enabled,Paused,Enabled,"R$16,308.69","48,104",8.80%
casa para alugar,Broad match,Enabled,Paused,Enabled,"R$14,573.38","50,966",7.08%
aluguel de apto,Broad match,Enabled,Paused,Enabled,"R$13,100.23","31,352",8.11%
apartamento alugar,Broad match,Enabled,Paused,Enabled,"R$12,702.94","31,034",7.10%
apartamento para alugar,Broad match,Enabled,Paused,Enabled,"R$12,113.70","32,716",7.95%
aluguel de casas,Broad match,Enabled,Paused,Enabled,"R$11,634.71","33,503",7.75%
ape alugar,Broad match,Enabled,Paused,Enabled,"R$11,574.59","37,265",4.61%
casas aluguel,Broad match,Enabled,Paused,Enabled,"R$10,933.81","31,257",7.72%
apartamentos para venda,Broad match,Enabled,Paused,Enabled,"R$10,181.20","26,970",5.47%
ape alugar,Broad match,Enabled,Paused,Enabled,"R$9,890.11","23,495",6.32%
venda de casas,Broad match,Enabled,Paused,Enabled,"R$9,723.11","25,772",8.33%
casa para vender,Broad match,Enabled,Paused,Enabled,"R$8,911.12","20,841",7.00%
aluguel apartamento,Broad match,Enabled,Paused,Enabled,"R$8,674.60","17,679",5.76%
alugar apartamento,Broad match,Enabled,Paused,Enabled,"R$8,367.99","19,647",7.08%
casa a venda,Broad match,Enabled,Paused,Enabled,"R$8,327.86","19,658",6.30%
apartamento para comprar,Broad match,Enabled,Paused,Enabled,"R$7,745.20","16,973",6.90%
apartamento pronto para morar minha casa minha vida,Broad match,Enabled,Enabled,Enabled,"R$7,328.75","21,331",19.83%
apartamento pra alugar,Broad match,Enabled,Paused,Enabled,"R$6,639.88","15,665",8.32%
minha casa minha vida fortaleza,Broad match,Enabled,Enabled,Enabled,"R$6,312.54","20,768",24.24%
apartamento pra alugar,Broad match,Enabled,Paused,Enabled,"R$6,209.61","12,485",7.02%
aluguel apartamento,Broad match,Enabled,Paused,Enabled,"R$5,827.48","15,801",6.31%
aptos venda,Broad match,Enabled,Paused,Enabled,"R$4,800.01","8,442",5.90%
casas para venda,Broad match,Enabled,Paused,Enabled,"R$4,175.61","11,088",7.20%
aluguel de casas,Broad match,Enabled,Paused,Enabled,"R$4,172.01","12,767",6.83%
casa para vender,Broad match,Enabled,Paused,Enabled,"R$4,168.02","8,922",6.84%
apartamento a venda,Broad match,Enabled,Paused,Enabled,"R$4,153.23","7,128",5.86%
casa comprar,Broad match,Enabled,Paused,Enabled,"R$4,014.19","9,288",7.49%
site de aluguel de imoveis,Broad match,Enabled,Enabled,Enabled,"R$4,008.91","11,244",15.79%
minha casa minha vida rio de janeiro,Broad match,Enabled,Enabled,Enabled,"R$3,904.99","16,700",19.56%
casas aluguel,Broad match,Enabled,Paused,Enabled,"R$3,872.16","13,120",6.03%
kitnet alugar,Broad match,Enabled,Paused,Enabled,"R$3,766.57","13,785",4.70%
em casa imoveis,Broad match,Enabled,Paused,Enabled,"R$3,657.74","9,910",4.04%
alugar,Broad match,Enabled,Enabled,Enabled,"R$3,415.11","10,175",8.98%
casas para alugar,Broad match,Removed,Paused,Enabled,"R$3,372.63","9,647",9.24%
minha casa minha vida curitiba,Broad match,Enabled,Enabled,Enabled,"R$3,366.42","14,864",16.39%
imoveis minha casa minha vida,Broad match,Enabled,Enabled,Enabled,"R$3,112.94","9,183",19.33%
Kitnet alugar,Broad match,Enabled,Paused,Enabled,"R$3,051.72","8,757",5.67%
alugar apartamento,Phrase match,Enabled,Paused,Enabled,"R$2,969.77","7,956",8.84%
casas em condomínios fechados,Broad match,Enabled,Enabled,Enabled,"R$2,925.98","12,129",20.92%
comprar apartamento,Broad match,Enabled,Paused,Enabled,"R$2,858.58","7,128",6.48%
