Quarter,Clicks,Conversions,Cost / conv.,Cost
4th quarter 2016,"3,797,209","315,290.00",R$1.03,"R$324,407.13"
1st quarter 2017,"5,529,411","521,893.00",R$0.73,"R$378,582.97"
2nd quarter 2017,"4,971,329","470,383.00",R$1.08,"R$506,534.20"
3rd quarter 2017,"5,110,816","574,378.00",R$1.03,"R$592,404.88"
4th quarter 2017,"5,973,838","684,973.00",R$1.04,"R$709,320.65"
1st quarter 2018,"6,816,143","804,736.00",R$0.64,"R$514,022.96"
2nd quarter 2018,"3,587,847","462,573.00",R$0.49,"R$225,774.92"
3rd quarter 2018,"6,554,372","818,827.00",R$0.59,"R$484,775.32"
4th quarter 2018,"6,848,088","986,402.00",R$0.64,"R$630,201.62"
1st quarter 2019,"8,689,277","1,417,052.00",R$0.63,"R$899,694.42"
2nd quarter 2019,"5,531,571","891,684.00",R$0.68,"R$602,706.79"
3rd quarter 2019,"6,280,622","932,987.00",R$0.84,"R$786,189.73"
4th quarter 2019,"7,866,406","1,162,299.00",R$1.05,"R$1,220,799.54"
1st quarter 2020,"9,970,613","1,386,713.00",R$1.09,"R$1,511,316.38"
2nd quarter 2020,"4,584,511","465,800.00",R$0.44,"R$204,706.64"
3rd quarter 2020,"19,184,644","1,573,510.00",R$1.24,"R$1,945,532.13"
4th quarter 2020,"16,525,018","1,925,230.00",R$1.51,"R$2,904,224.04"
1st quarter 2021,"13,488,644","1,763,267.14",R$1.06,"R$1,867,613.15"
2nd quarter 2021,"9,348,164","1,204,287.71",R$1.55,"R$1,871,379.64"
3rd quarter 2021,"9,219,865","1,146,510.82",R$1.01,"R$1,152,498.06"
4th quarter 2021,"9,475,430","1,279,605.52",R$1.21,"R$1,542,562.53"
1st quarter 2022,"17,306,285","2,388,381.51",R$1.66,"R$3,956,902.33"
2nd quarter 2022,"13,570,587","1,794,085.03",R$1.55,"R$2,780,455.98"
3rd quarter 2022,"12,032,993","1,385,559.27",R$1.19,"R$1,650,234.20"
4th quarter 2022,"211,727","21,893.13",R$1.64,"R$36,005.18"
1st quarter 2023,"13,598,166","1,736,200.27",R$1.22,"R$2,115,713.87"
2nd quarter 2023,"18,350,123","2,164,310.74",R$1.43,"R$3,086,568.10"
3rd quarter 2023,"18,194,311","2,402,677.45",R$1.15,"R$2,755,516.27"
4th quarter 2023,"18,139,071","2,436,192.68",R$1.05,"R$2,548,201.85"
1st quarter 2024,"18,610,157","14,020,968.55",R$0.23,"R$3,267,393.81"
2nd quarter 2024,"18,683,987","28,575,354.46",R$0.13,"R$3,655,709.23"
3rd quarter 2024,"14,341,277","24,827,655.03",R$0.10,"R$2,431,989.50"
4th quarter 2024,"10,806,794","13,412,535.56",R$0.10,"R$1,393,915.78"
1st quarter 2025,"13,533,123","21,617,094.19",R$0.10,"R$2,156,109.44"
2nd quarter 2025,"7,518,136","12,020,366.01",R$0.12,"R$1,435,617.24"
3rd quarter 2025,"7,511,076","1,235,609.68",R$1.28,"R$1,586,030.40"
4th quarter 2025,"9,229,698","824,268.35",R$2.28,"R$1,875,663.94"
1st quarter 2026,"12,299,649","1,102,883.76",R$2.27,"R$2,507,774.74"
2nd quarter 2026,"8,556,909","701,406.60",R$2.87,"R$2,016,539.84"
3rd quarter 2026,"5,246,379","366,931.24",R$3.27,"R$1,199,122.30"
