Search keyword report
"October 1, 2016 - September 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,[como anunciar um imovel na internet],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.26 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled, +anunciar +imóveis,Broad match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,3.30 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,116.78,"4,219",359,8.51%,1.37,492.68,5.57%,20.00,24.63
Enabled,[tabela de preço anuncios feitos no site de venda imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.20 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[melhores sites de anuncios de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.26 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,258.18,11,1,9.09%,2.84,2.84,0.00%,0.00,0.00
Enabled,[anunciar imovel para alugar],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.50 (enhanced),https://www.vivareal.com.br/anunciar-imoveis/,142.59,58,8,13.79%,1.03,8.27,0.00%,0.00,0.00
Enabled,[custo de anuncios de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,2.26 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,"""melhor site para anuncio de imoveis""",Phrase match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.20 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled, +anunciar +corretor,Broad match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.68 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,177.50,8,1,12.50%,1.42,1.42,0.00%,0.00,0.00
Enabled,[quais são os melhores sites de anuncios de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,2.26 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[planos para anunciar imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.20 (enhanced),https://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled, +anuncie +imóvel,Broad match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,3.19 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,140.92,"2,049",179,8.74%,1.61,288.74,5.59%,10.00,28.87
Enabled,[melhor site de anuncios de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.26 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled, +anunciar +imóvel,Broad match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,3.31 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,121.85,"8,790",727,8.27%,1.47,1071.09,7.84%,57.00,18.79
Enabled,[anunciar vendas de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.20 (enhanced),https://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[anunciar imoveis no viva pro],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.72 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,"""sites para anunciar imoveis""",Phrase match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.20 (enhanced),https://www.vivareal.com.br/anunciar-imoveis/,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,[anúncio imóvel],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.60 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,171.85,157,22,14.01%,1.23,26.98,9.09%,2.00,13.49
Enabled,[site para anuncio de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.20 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0.00,9,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled, +anúncios +imóvel,Broad match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.29 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[zap imoveis anunciar],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,low quality; campaign paused,BRL,2.72 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,113.81,42,3,7.14%,1.59,4.78,0.00%,0.00,0.00
Enabled,[melhor site pra anunciar imóvel],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.20 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,"""anunciar venda de imovel""",Phrase match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.43 (enhanced),https://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,"""anuncie corretor""",Phrase match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,rarely served; campaign paused,BRL,1.50 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[portal de anuncios de imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.26 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,"""anuncie imóvel""",Phrase match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.50 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,56.59,302,27,8.94%,0.63,17.09,0.00%,0.00,0.00
Enabled,[valor anuncio zap imoveis],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,low quality; campaign paused,BRL,2.60 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,281.82,11,2,18.18%,1.55,3.10,50.00%,1.00,3.10
Enabled,[zap imoveis anuncio],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,2.60 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,128.50,20,1,5.00%,2.57,2.57,0.00%,0.00,0.00
Enabled,[anúncio corretor],Exact match,SEM_B2B,B2B_Anunciar_Imóveis,Not eligible,campaign paused,BRL,1.72 (enhanced),http://www.vivareal.com.br/anunciar-imoveis/,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
