Month,Cost
October 2016,"R$94,619.56"
November 2016,"R$102,286.39"
December 2016,"R$127,501.18"
January 2017,"R$151,662.18"
February 2017,"R$95,313.51"
March 2017,"R$131,607.28"
April 2017,"R$115,710.10"
May 2017,"R$164,593.23"
June 2017,"R$226,230.87"
July 2017,"R$174,269.82"
August 2017,"R$214,642.15"
September 2017,"R$203,492.91"
October 2017,"R$237,832.38"
November 2017,"R$246,243.04"
December 2017,"R$225,245.23"
January 2018,"R$225,571.60"
February 2018,"R$151,938.19"
March 2018,"R$136,513.17"
April 2018,"R$50,419.10"
May 2018,"R$43,709.53"
June 2018,"R$131,646.29"
July 2018,"R$155,877.35"
August 2018,"R$146,506.65"
September 2018,"R$182,391.32"
October 2018,"R$197,658.42"
November 2018,"R$227,077.94"
December 2018,"R$205,465.26"
January 2019,"R$419,421.07"
February 2019,"R$219,954.35"
March 2019,"R$260,319.00"
April 2019,"R$220,509.24"
May 2019,"R$224,396.24"
June 2019,"R$157,801.31"
July 2019,"R$223,806.42"
August 2019,"R$290,014.39"
September 2019,"R$272,368.92"
October 2019,"R$373,422.99"
November 2019,"R$431,336.61"
December 2019,"R$416,039.94"
January 2020,"R$733,402.44"
February 2020,"R$479,270.56"
March 2020,"R$298,643.38"
April 2020,"R$31,165.67"
May 2020,"R$85,926.66"
June 2020,"R$87,614.31"
July 2020,"R$307,339.69"
August 2020,"R$728,996.07"
September 2020,"R$909,196.37"
October 2020,"R$985,499.97"
November 2020,"R$1,071,041.96"
December 2020,"R$847,682.11"
January 2021,"R$907,372.75"
February 2021,"R$509,596.35"
March 2021,"R$450,644.05"
April 2021,"R$561,137.94"
May 2021,"R$742,835.73"
June 2021,"R$567,405.97"
July 2021,"R$328,906.12"
August 2021,"R$406,369.32"
September 2021,"R$417,222.62"
October 2021,"R$382,177.69"
November 2021,"R$605,835.22"
December 2021,"R$554,549.62"
January 2022,"R$1,432,953.41"
February 2022,"R$1,156,903.29"
March 2022,"R$1,367,045.63"
April 2022,"R$1,004,305.12"
May 2022,"R$968,873.04"
June 2022,"R$807,277.82"
July 2022,"R$551,063.10"
August 2022,"R$691,431.94"
September 2022,"R$407,739.17"
October 2022,R$0.00
November 2022,R$0.00
December 2022,"R$36,005.18"
January 2023,"R$626,285.06"
February 2023,"R$596,561.13"
March 2023,"R$892,867.68"
April 2023,"R$744,862.11"
May 2023,"R$1,040,839.40"
June 2023,"R$1,300,866.58"
July 2023,"R$965,675.76"
August 2023,"R$921,507.01"
September 2023,"R$868,333.50"
October 2023,"R$814,117.81"
November 2023,"R$863,305.14"
December 2023,"R$870,778.91"
January 2024,"R$1,207,200.88"
February 2024,"R$992,432.55"
March 2024,"R$1,067,760.38"
April 2024,"R$1,300,719.37"
May 2024,"R$1,148,443.45"
June 2024,"R$1,206,546.42"
July 2024,"R$1,078,744.97"
August 2024,"R$715,589.81"
September 2024,"R$637,654.73"
October 2024,"R$595,535.73"
November 2024,"R$356,230.72"
December 2024,"R$442,149.32"
January 2025,"R$815,450.81"
February 2025,"R$607,928.35"
March 2025,"R$732,730.29"
April 2025,"R$664,986.54"
May 2025,"R$448,667.38"
June 2025,"R$321,963.32"
July 2025,"R$416,070.29"
August 2025,"R$554,223.37"
September 2025,"R$615,736.74"
October 2025,"R$811,642.97"
November 2025,"R$568,725.59"
December 2025,"R$495,295.38"
January 2026,"R$901,846.55"
February 2026,"R$810,898.57"
March 2026,"R$795,029.62"
April 2026,"R$731,548.27"
May 2026,"R$877,826.04"
June 2026,"R$407,165.53"
July 2026,"R$421,157.14"
August 2026,"R$515,817.69"
September 2026,"R$262,147.47"
