Month,Impr.
October 2016,"9,114,449"
November 2016,"8,706,215"
December 2016,"8,938,521"
January 2017,"13,685,784"
February 2017,"9,639,456"
March 2017,"11,065,984"
April 2017,"9,131,738"
May 2017,"9,377,426"
June 2017,"9,510,462"
July 2017,"9,357,039"
August 2017,"9,892,837"
September 2017,"9,343,388"
October 2017,"10,972,254"
November 2017,"10,922,731"
December 2017,"9,868,566"
January 2018,"13,754,979"
February 2018,"10,179,581"
March 2018,"10,372,831"
April 2018,"5,373,040"
May 2018,"5,627,255"
June 2018,"8,450,202"
July 2018,"10,827,074"
August 2018,"10,451,686"
September 2018,"11,785,633"
October 2018,"11,973,821"
November 2018,"12,735,345"
December 2018,"10,630,986"
January 2019,"18,198,740"
February 2019,"11,831,378"
March 2019,"11,900,280"
April 2019,"10,834,750"
May 2019,"10,587,034"
June 2019,"8,649,039"
July 2019,"10,594,480"
August 2019,"12,068,377"
September 2019,"11,403,844"
October 2019,"14,159,316"
November 2019,"15,659,517"
December 2019,"14,562,394"
January 2020,"22,699,156"
February 2020,"17,707,232"
March 2020,"12,271,848"
April 2020,"3,055,265"
May 2020,"8,579,585"
June 2020,"14,124,038"
July 2020,"28,214,874"
August 2020,"37,082,275"
September 2020,"42,608,719"
October 2020,"36,501,171"
November 2020,"32,564,565"
December 2020,"26,882,474"
January 2021,"35,662,438"
February 2021,"21,162,571"
March 2021,"18,611,942"
April 2021,"17,997,574"
May 2021,"18,476,693"
June 2021,"18,566,821"
July 2021,"18,324,510"
August 2021,"22,913,983"
September 2021,"22,243,478"
October 2021,"21,451,300"
November 2021,"24,621,091"
December 2021,"22,671,872"
January 2022,"41,350,026"
February 2022,"32,612,799"
March 2022,"33,784,939"
April 2022,"28,591,548"
May 2022,"29,646,919"
June 2022,"28,398,742"
July 2022,"28,034,447"
August 2022,"29,427,022"
September 2022,"20,732,777"
October 2022,0
November 2022,0
December 2022,"473,957"
January 2023,"4,000,357"
February 2023,"781,703"
March 2023,"975,854"
April 2023,"1,051,666"
May 2023,"1,584,866"
June 2023,"1,312,579"
July 2023,"984,477"
August 2023,"1,315,353"
September 2023,"2,585,307"
October 2023,"4,706,988"
November 2023,"3,660,439"
December 2023,"4,295,385"
January 2024,"11,870,327"
February 2024,"11,016,364"
March 2024,"3,718,477"
April 2024,"4,598,691"
May 2024,"2,305,225"
June 2024,"2,941,960"
July 2024,"4,432,856"
August 2024,"4,730,282"
September 2024,"4,819,284"
October 2024,"1,824,899"
November 2024,"2,052,459"
December 2024,"3,094,829"
January 2025,"6,332,800"
February 2025,"3,976,805"
March 2025,"4,629,780"
April 2025,"3,752,736"
May 2025,"3,243,748"
June 2025,"392,705"
July 2025,"900,970"
August 2025,"1,688,496"
September 2025,"4,074,998"
October 2025,"5,954,720"
November 2025,"4,352,177"
December 2025,"4,269,491"
January 2026,"7,075,223"
February 2026,"5,782,211"
March 2026,"4,208,200"
April 2026,"2,246,948"
May 2026,"4,417,514"
June 2026,"3,067,052"
July 2026,"3,872,185"
August 2026,"4,975,649"
September 2026,"1,134,554"
