Ad report
"October 1, 2016 - September 16, 2026"
Ad status,Final URL,Beacon URLs,Headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Image ID,Logo ID,Business name,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Ad name,ad.display_url,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Video,Conv. rate,Conversions,Cost / conv.
Enabled,, --, --, --, --, --, --, --,VivaReal Imóveis App,Compre ou Alugue Imóveis., --, --, --,5 Milhões a Disposição.,Instale Agora o App!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Google Upgraded - Universal App Campaign #2,Ad group 1,Not eligible,campaign paused,Mobile app installs ad v2,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,, --, --, --, --, --, --, --,Viva Real para Vender e Alugar,Encontre o Seu Imóvel Agora,Viva Real,Seu Imóvel na palma da mão,Compra e Aluguel,Casas e Aptos para Alugar e à Venda Rápido e Fácil no Seu Smartphone,O Imóvel dos seus sonhos está aqui.,Encontre o imóvel dos seus sonhos.,Favorite os melhores imóveis.,Encontre seu imóvel pela regiao de interesse utilizando a busca pelo mapa.,7833249766, --, --, --, --, --, --, --, --, --,9632092977; 7870318135; 7870123279, --, --, --, --, --,, --, --,,App Instalação - Android1,App_Install_Android,Not eligible,approved labeled; campaign paused,Mobile app installs ad v2,BRL,0.01,"2,924,531","145,559",4.98%,0.19,27146.89, --,25.36%,"36,913.00",0.74
Paused,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - CHAT - App Installs - Wi-fi,In-Stream - CHAT - Segmentação Customer Match 30d,Paused,disapproved; paused; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,247430038, --,Conheça o CHAT do App VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - CHAT - App Installs - Wi-fi,In-Stream - CHAT - Segmentação Customer Match 3 meses (Todos Leads),Not eligible,disapproved; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00,https://www.youtube.com/watch?v=daolYxMFDCs,0.00%,0.00,0.00
Enabled,https://www.vivareal.com.br/blackfriday/, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,13934364181, --,Vídeo Landing PAge,www.vivareal.com.br/BlackFriday, --, --,, --, --,,YT - Black Friday - Landing Page SP,Grupo Aberto,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,, --, --, --, --, --, --, --,App VivaReal Imóveis - PR,Mais de 5mi de Imóveis, --, --, --,Busque pelo mapa completo,Fale agora pelo chat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,UAC_PR,Ad group 1,Not eligible,campaign paused,Mobile app installs ad v2,BRL,0,"1,738,985","45,215",2.60%,0.15,6687.87, --,11.47%,"5,185.00",1.29
Enabled,, --, --, --, --, --, --, --,Imóveis na palma da sua mão,Compre ou Alugue,Mais de 6 milhões de imóveis,Viva Real,Encontre seu Imóvel agora,Procurar seu novo lar ficou muito mais fácil. Baixe o app agora mesmo,Encontre o Imóvel dos seus sonhos aqui,O Imóvel dos seus sonhos está aqui,Favorite os melhores imóveis.,Encontre seu imóvel pela regiao de interesse utilizando a busca pelo mapa.,18250517881; 18250517875; 18250517872; 18250517878; 18250517866, --, --, --, --, --, --, --, --, --,9632092977, --, --, --, --, --,, --, --,,App Instalação - iOS,App_Install_iOS,Not eligible,approved labeled; campaign paused,Mobile app installs ad v2,BRL,0.09,"702,891","24,604",3.50%,1.16,28486.49, --,51.59%,"12,693.00",2.24
Enabled,http://play.google.com/store/apps/details?id=br.com.vivareal.publisher, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,247430038, --,VivaPro - Instale o App,play.google.com, --, --,,{lpurl}, --,,YT - App VivaPro Install - CHAT - Customer Match,App Install - VivaPro - Customer Match Lista de anunciantes -,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0.03,"6,495","3,407",52.46%,0.03,112.15,https://www.youtube.com/watch?v=daolYxMFDCs,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,13934364181, --,Anúncio Vídeo Black Friday,play.google.com, --, --,,{lpurl}, --,,"YT - Black Friday - Installs - Customer Match, teaser e RLSA",Customer Match Conversores e Teaser,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,13934364181, --,Ad para Audiências Similares,play.google.com, --, --,,{lpurl}, --,,"YT - Black Friday - Installs - Customer Match, teaser e RLSA",Similares,Not eligible,disapproved; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
