Ad group report
"October 1, 2016 - September 16, 2026"
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Default max. CPC,Max. CPV,Target CPA,Campaign subtype,Ad group type,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Participated in-app actions,Conv. rate,Conversions,Cost / Participated in-app action,Cost / conv.
Enabled,Assuntos Imobiliários,YT - Black Friday - Installs - Assuntos e Interesses em Imóveis,Not eligible,most ads disapproved; campaign paused,BRL, --,0.05, --,Video views,In-stream,BRL,0.05,719,162,22.53%,0.05,8.86,[],0.00,0.00%,0.00,0,0.00
Enabled,Interesse em Imóveis,YT - Black Friday - Installs - Assuntos e Interesses em Imóveis,Not eligible,most ads disapproved; campaign paused,BRL, --,0.05, --,Video views,In-stream,BRL,0.05,"14,548","3,979",27.35%,0.05,200.40,[],18.00,0.98%,39.00,11.13,5.14
Enabled,App Install - VivaPro - Customer Match Lista de anunciantes -,YT - App VivaPro Install - CHAT - Customer Match,Not eligible,most ads disapproved; campaign paused,BRL, --,0.05, --,Video views,In-stream,BRL,0.04,"40,503","16,429",40.56%,0.04,588.94,[],0.00,0.61%,101.00,0,5.83
Enabled,App_Install_Android,App Instalação - Android1,Not eligible,most ads limited by policy; campaign paused,BRL, --, --,0.55,App installs, --,BRL,0.01,"2,924,531","145,559",4.98%,0.19,27146.89,[],"3,860.00",25.36%,"36,913.00",7.03,0.74
Enabled,Ad group 1,UAC - RJ,Not eligible,campaign paused; unknown,BRL, --, --,1.00,App installs, --,BRL,0.02,"1,988,483","54,983",2.77%,0.24,13405.59,[],146.00,22.56%,"12,404.00",91.82,1.08
Enabled,Customer Match Conversores e Teaser,"YT - Black Friday - Installs - Customer Match, teaser e RLSA",Not eligible,most ads disapproved; campaign paused,BRL, --,0.05, --,Video views,In-stream,BRL,0.06,"13,776","3,487",25.31%,0.06,217.81,[],261.00,8.75%,305.00,0.83,0.71
Paused,Similares,"YT - Black Friday - Installs - Customer Match, teaser e RLSA",Paused,ad group paused; most ads disapproved; campaign paused,BRL, --,0.05, --,Video views,In-stream,BRL,0.05,"61,695","17,690",28.67%,0.05,919.59,[],21.00,0.35%,62.00,43.79,14.83
Enabled,App_Install,App Install - Android,Not eligible,most ads limited by policy; campaign paused,BRL, --, --,3.00,App installs, --,BRL,0.03,"26,655,668","1,299,048",4.87%,0.32,418402.46,[],"313,015.00",44.97%,"584,210.00",1.34,0.72
Enabled,Ad group 1,UAC_PR,Not eligible,campaign paused; unknown,BRL, --, --,1.30,App installs, --,BRL,0,"1,738,985","45,215",2.60%,0.15,6687.87,[],0.00,11.47%,"5,185.00",0,1.29
Enabled,App VR - Instalação - Android,App Instalação - Android,Not eligible,campaign paused; unknown,BRL, --, --,1.20,App installs, --,BRL,0,"399,988,418","8,668,405",2.17%,0.11,941280.72,[],"1,109.00",9.79%,"848,237.00",848.77,1.11
Enabled,Grupo Aberto,YT - Black Friday - Landing Page SP,Not eligible,most ads disapproved; campaign paused,BRL, --,0.05, --,Video views,In-stream,BRL,0.04,"27,121","11,426",42.13%,0.04,472.35,[],0.00,0.00%,0.00,0,0.00
Enabled,INTERESSES,MGDN,Not eligible,campaign paused,BRL,0.10 (enhanced), --, --,Standard,Display,BRL,0,0,0, --,0,0.00,[],0.00,0.00%,0.00,0,0.00
Paused,In-Stream - Segmentação Palavras Chave Relacionadas,YT - In-Stream - POI - App Installs - Wi-fi,Paused,ad group paused; most ads disapproved; campaign paused,BRL, --,0.03, --,Video views,In-stream,BRL,0.02,"14,539","6,644",45.70%,0.02,155.61,[],48.00,0.98%,65.00,3.24,2.39
Enabled,In-Stream - Segmentação Outros Canais,YT - In-Stream - POI - App Installs - Wi-fi,Not eligible,most ads disapproved; campaign paused,BRL, --,0.30, --,Video views,In-stream,BRL,0,0,0, --,0,0.00,[],0.00,0.00%,0.00,0,0.00
