Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
App Instalação - Android,,Paused,"R$941,280.72","8,668,405",2.17%
App Install - Android,,Paused,"R$418,402.46","770,926",2.89%
App Instalação - iOS,,Paused,"R$28,486.49","24,569",3.50%
App Instalação - Android1,,Paused,"R$27,146.89","110,981",3.79%
UAC - Minas Gerais,,Paused,"R$13,750.28","86,504",2.81%
UAC - RJ,,Paused,"R$13,405.59","54,868",2.76%
UAC_PR,,Paused,"R$6,687.87","45,215",2.60%
YT - In-Stream - POI - App Installs - Wi-fi,,Paused,"R$2,885.20","1,403",0.62%
"YT - Black Friday - Installs - Customer Match, teaser e RLSA",,Paused,"R$1,137.40",559,0.74%
YT - App VivaPro Install - CHAT - Customer Match,,Paused,R$588.94,349,0.86%
YT - Black Friday - Landing Page SP,,Paused,R$472.35,22,0.08%
YT - In-Stream - CHAT - App Installs - Wi-fi,,Paused,R$423.40,190,0.46%
YT - Black Friday - Installs - Assuntos e Interesses em Imóveis,,Paused,R$209.26,108,0.71%
App engajamento - Android,,Paused,R$0.82,5,1.50%
