Day,Start Hour,Impressions
Sunday,12 AM,"1,530,387"
Sunday,1 AM,"895,206"
Sunday,2 AM,"488,809"
Sunday,3 AM,"251,147"
Sunday,4 AM,"150,739"
Sunday,5 AM,"159,013"
Sunday,6 AM,"336,715"
Sunday,7 AM,"864,524"
Sunday,8 AM,"1,606,631"
Sunday,9 AM,"2,271,184"
Sunday,10 AM,"2,902,243"
Sunday,11 AM,"3,336,775"
Sunday,12 PM,"3,626,045"
Sunday,1 PM,"3,652,442"
Sunday,2 PM,"3,700,801"
Sunday,3 PM,"3,819,015"
Sunday,4 PM,"3,842,716"
Sunday,5 PM,"4,278,422"
Sunday,6 PM,"4,970,781"
Sunday,7 PM,"5,397,027"
Sunday,8 PM,"5,572,927"
Sunday,9 PM,"4,997,972"
Sunday,10 PM,"4,032,460"
Sunday,11 PM,"2,703,088"
Monday,12 AM,"1,303,748"
Monday,1 AM,"705,998"
Monday,2 AM,"381,272"
Monday,3 AM,"225,976"
Monday,4 AM,"149,704"
Monday,5 AM,"186,332"
Monday,6 AM,"441,924"
Monday,7 AM,"857,052"
Monday,8 AM,"1,297,227"
Monday,9 AM,"1,775,584"
Monday,10 AM,"2,259,824"
Monday,11 AM,"2,661,620"
Monday,12 PM,"3,098,007"
Monday,1 PM,"2,982,963"
Monday,2 PM,"2,911,500"
Monday,3 PM,"2,824,821"
Monday,4 PM,"3,042,639"
Monday,5 PM,"3,795,316"
Monday,6 PM,"5,107,079"
Monday,7 PM,"6,023,440"
Monday,8 PM,"6,821,675"
Monday,9 PM,"6,355,072"
Monday,10 PM,"4,987,212"
Monday,11 PM,"3,435,802"
Tuesday,12 AM,"1,462,145"
Tuesday,1 AM,"834,404"
Tuesday,2 AM,"447,805"
Tuesday,3 AM,"257,902"
Tuesday,4 AM,"176,426"
Tuesday,5 AM,"235,016"
Tuesday,6 AM,"566,780"
Tuesday,7 AM,"1,061,963"
Tuesday,8 AM,"1,469,918"
Tuesday,9 AM,"1,975,709"
Tuesday,10 AM,"2,494,740"
Tuesday,11 AM,"2,931,375"
Tuesday,12 PM,"3,209,948"
Tuesday,1 PM,"3,100,318"
Tuesday,2 PM,"2,926,814"
Tuesday,3 PM,"2,880,799"
Tuesday,4 PM,"3,046,420"
Tuesday,5 PM,"3,941,607"
Tuesday,6 PM,"5,455,611"
Tuesday,7 PM,"6,197,487"
Tuesday,8 PM,"6,301,678"
Tuesday,9 PM,"5,542,359"
Tuesday,10 PM,"4,830,938"
Tuesday,11 PM,"3,554,099"
Wednesday,12 AM,"1,554,203"
Wednesday,1 AM,"848,005"
Wednesday,2 AM,"453,560"
Wednesday,3 AM,"253,565"
Wednesday,4 AM,"173,921"
Wednesday,5 AM,"225,743"
Wednesday,6 AM,"534,315"
Wednesday,7 AM,"1,046,236"
Wednesday,8 AM,"1,441,806"
Wednesday,9 AM,"1,939,876"
Wednesday,10 AM,"2,375,631"
Wednesday,11 AM,"2,721,448"
Wednesday,12 PM,"3,105,447"
Wednesday,1 PM,"3,015,517"
Wednesday,2 PM,"2,824,250"
Wednesday,3 PM,"2,799,276"
