Quarter,Clicks,Impressions,Avg. CPC,Cost
4th quarter 2016,"43,262","1,245,571",R$0.64,"R$27,577.00"
1st quarter 2017,"53,402","2,229,577",R$0.36,"R$19,025.22"
2nd quarter 2017,"141,156","4,499,347",R$0.24,"R$33,752.22"
3rd quarter 2017,"629,667","19,980,300",R$0.13,"R$81,315.83"
4th quarter 2017,"375,080","12,335,789",R$0.20,"R$76,334.78"
1st quarter 2018,"684,313","33,547,646",R$0.13,"R$87,873.95"
2nd quarter 2018,"1,400,976","54,492,303",R$0.07,"R$91,125.18"
3rd quarter 2018,"1,580,839","63,485,982",R$0.06,"R$91,203.90"
4th quarter 2018,"1,193,870","51,433,430",R$0.07,"R$89,532.66"
1st quarter 2019,"868,523","46,326,789",R$0.12,"R$108,110.85"
2nd quarter 2019,"1,148,465","70,711,755",R$0.11,"R$130,221.53"
3rd quarter 2019,"533,908","38,405,397",R$0.16,"R$85,994.14"
4th quarter 2019,"111,276","4,096,695",R$0.38,"R$42,055.39"
1st quarter 2020,"196,502","7,246,604",R$0.23,"R$44,466.67"
2nd quarter 2020,0,0,R$0.00,R$0.00
3rd quarter 2020,"128,997","2,660,591",R$0.43,"R$55,952.69"
4th quarter 2020,"171,192","4,001,928",R$0.63,"R$108,031.77"
1st quarter 2021,"174,131","4,807,865",R$0.64,"R$110,922.50"
2nd quarter 2021,"66,568","2,771,171",R$0.53,"R$35,465.78"
3rd quarter 2021,"46,954","3,323,472",R$0.48,"R$22,602.06"
4th quarter 2021,"31,678","1,843,878",R$0.53,"R$16,939.05"
1st quarter 2022,"62,141","3,081,289",R$0.50,"R$31,107.63"
2nd quarter 2022,"96,460","4,300,006",R$0.52,"R$50,104.94"
3rd quarter 2022,"24,744","675,806",R$0.61,"R$15,161.97"
4th quarter 2022,0,0,R$0.00,R$0.00
1st quarter 2023,0,0,R$0.00,R$0.00
2nd quarter 2023,0,0,R$0.00,R$0.00
3rd quarter 2023,0,0,R$0.00,R$0.00
4th quarter 2023,0,0,R$0.00,R$0.00
1st quarter 2024,0,0,R$0.00,R$0.00
2nd quarter 2024,0,0,R$0.00,R$0.00
3rd quarter 2024,0,0,R$0.00,R$0.00
4th quarter 2024,0,0,R$0.00,R$0.00
1st quarter 2025,0,0,R$0.00,R$0.00
2nd quarter 2025,0,0,R$0.00,R$0.00
3rd quarter 2025,0,0,R$0.00,R$0.00
4th quarter 2025,0,0,R$0.00,R$0.00
1st quarter 2026,0,0,R$0.00,R$0.00
2nd quarter 2026,0,0,R$0.00,R$0.00
3rd quarter 2026,0,0,R$0.00,R$0.00
