Month,Cost
October 2016,"R$12,274.41"
November 2016,"R$8,348.86"
December 2016,"R$6,953.73"
January 2017,"R$10,049.52"
February 2017,"R$3,390.83"
March 2017,"R$5,584.87"
April 2017,"R$6,602.98"
May 2017,"R$11,104.73"
June 2017,"R$16,044.51"
July 2017,"R$25,110.92"
August 2017,"R$28,296.25"
September 2017,"R$27,908.66"
October 2017,"R$27,916.05"
November 2017,"R$26,270.17"
December 2017,"R$22,148.56"
January 2018,"R$28,667.33"
February 2018,"R$28,806.88"
March 2018,"R$30,399.74"
April 2018,"R$30,397.76"
May 2018,"R$30,330.73"
June 2018,"R$30,396.69"
July 2018,"R$30,403.24"
August 2018,"R$30,403.62"
September 2018,"R$30,397.04"
October 2018,"R$30,016.21"
November 2018,"R$30,229.05"
December 2018,"R$29,287.40"
January 2019,"R$30,179.78"
February 2019,"R$32,312.75"
March 2019,"R$45,618.31"
April 2019,"R$45,135.37"
May 2019,"R$45,438.45"
June 2019,"R$39,647.71"
July 2019,"R$45,605.98"
August 2019,"R$27,173.31"
September 2019,"R$13,214.85"
October 2019,"R$13,569.98"
November 2019,"R$13,043.42"
December 2019,"R$15,441.99"
January 2020,"R$26,358.86"
February 2020,"R$9,560.37"
March 2020,"R$8,547.44"
April 2020,R$0.00
May 2020,R$0.00
June 2020,R$0.00
July 2020,"R$2,333.66"
August 2020,"R$19,937.23"
September 2020,"R$33,681.80"
October 2020,"R$29,111.96"
November 2020,"R$35,771.41"
December 2020,"R$43,148.40"
January 2021,"R$75,748.36"
February 2021,"R$20,341.33"
March 2021,"R$14,832.82"
April 2021,"R$16,074.57"
May 2021,"R$11,117.31"
June 2021,"R$8,273.90"
July 2021,"R$8,128.41"
August 2021,"R$7,619.92"
September 2021,"R$6,853.74"
October 2021,"R$6,805.84"
November 2021,"R$5,108.94"
December 2021,"R$5,024.27"
January 2022,"R$11,014.74"
February 2022,"R$9,562.30"
March 2022,"R$10,530.59"
April 2022,"R$21,512.95"
May 2022,"R$16,431.56"
June 2022,"R$12,160.43"
July 2022,"R$10,063.32"
August 2022,"R$5,098.64"
September 2022,R$0.00
October 2022,R$0.00
November 2022,R$0.00
December 2022,R$0.00
January 2023,R$0.00
February 2023,R$0.00
March 2023,R$0.00
April 2023,R$0.00
May 2023,R$0.00
June 2023,R$0.00
July 2023,R$0.00
August 2023,R$0.00
September 2023,R$0.00
October 2023,R$0.00
November 2023,R$0.00
December 2023,R$0.00
January 2024,R$0.00
February 2024,R$0.00
March 2024,R$0.00
April 2024,R$0.00
May 2024,R$0.00
June 2024,R$0.00
July 2024,R$0.00
August 2024,R$0.00
September 2024,R$0.00
October 2024,R$0.00
November 2024,R$0.00
December 2024,R$0.00
January 2025,R$0.00
February 2025,R$0.00
March 2025,R$0.00
April 2025,R$0.00
May 2025,R$0.00
June 2025,R$0.00
July 2025,R$0.00
August 2025,R$0.00
September 2025,R$0.00
October 2025,R$0.00
November 2025,R$0.00
December 2025,R$0.00
January 2026,R$0.00
February 2026,R$0.00
March 2026,R$0.00
April 2026,R$0.00
May 2026,R$0.00
June 2026,R$0.00
July 2026,R$0.00
August 2026,R$0.00
September 2026,R$0.00
