Month,Impr.
October 2016,"280,621"
November 2016,"265,003"
December 2016,"468,892"
January 2017,"1,436,601"
February 2017,"307,124"
March 2017,"383,574"
April 2017,"721,598"
May 2017,"1,027,323"
June 2017,"2,686,533"
July 2017,"6,906,893"
August 2017,"7,740,912"
September 2017,"5,319,698"
October 2017,"5,042,143"
November 2017,"4,231,057"
December 2017,"3,053,593"
January 2018,"7,597,514"
February 2018,"12,221,863"
March 2018,"13,728,269"
April 2018,"18,214,636"
May 2018,"19,500,828"
June 2018,"16,776,839"
July 2018,"18,124,230"
August 2018,"21,299,449"
September 2018,"24,062,303"
October 2018,"19,541,701"
November 2018,"15,908,623"
December 2018,"15,983,106"
January 2019,"16,074,410"
February 2019,"14,968,328"
March 2019,"15,284,051"
April 2019,"21,463,946"
May 2019,"27,408,713"
June 2019,"21,839,096"
July 2019,"20,727,582"
August 2019,"15,509,562"
September 2019,"2,168,253"
October 2019,"1,456,127"
November 2019,"937,550"
December 2019,"1,703,018"
January 2020,"5,628,567"
February 2020,"1,147,858"
March 2020,"470,179"
April 2020,0
May 2020,0
June 2020,0
July 2020,"218,183"
August 2020,"1,077,258"
September 2020,"1,365,150"
October 2020,"1,200,593"
November 2020,"1,268,124"
December 2020,"1,533,211"
January 2021,"2,601,068"
February 2021,"1,296,608"
March 2021,"910,189"
April 2021,"1,084,860"
May 2021,"835,904"
June 2021,"850,407"
July 2021,"1,160,896"
August 2021,"1,161,435"
September 2021,"1,001,141"
October 2021,"912,787"
November 2021,"473,446"
December 2021,"457,645"
January 2022,"1,148,639"
February 2022,"850,327"
March 2022,"1,082,323"
April 2022,"1,933,315"
May 2022,"1,211,449"
June 2022,"1,155,242"
July 2022,"561,925"
August 2022,"113,881"
September 2022,0
October 2022,0
November 2022,0
December 2022,0
January 2023,0
February 2023,0
March 2023,0
April 2023,0
May 2023,0
June 2023,0
July 2023,0
August 2023,0
September 2023,0
October 2023,0
November 2023,0
December 2023,0
January 2024,0
February 2024,0
March 2024,0
April 2024,0
May 2024,0
June 2024,0
July 2024,0
August 2024,0
September 2024,0
October 2024,0
November 2024,0
December 2024,0
January 2025,0
February 2025,0
March 2025,0
April 2025,0
May 2025,0
June 2025,0
July 2025,0
August 2025,0
September 2025,0
October 2025,0
November 2025,0
December 2025,0
January 2026,0
February 2026,0
March 2026,0
April 2026,0
May 2026,0
June 2026,0
July 2026,0
August 2026,0
September 2026,0
