companyId,name,description,access,companyWorkspaceUsers,fromWorkspaceId,externalId,active,squadId,tags
,Art das Malhas,,publico,,,,1,,
,Vincenzo Pizzaria,,publico,,,,1,,
,Lider Gas,,publico,,,,1,,
,Lucena Advisory,,publico,,,,1,,
,Liderplan (Grupo Líder),,publico,,,,1,,
,Sushi Carvalho,,publico,,,,1,,
,Global Comércio de Balanças,,publico,,,,1,,
,Castelinho SPA,,publico,,,,1,,
,Petterson Representacoes,,publico,,,,1,,
,Neo Soluções,,publico,,,,1,,
,Mender Pro,,publico,,,,1,,
,Hortifruti 9 de Julho,,publico,,,,1,,
,Vera Cruz Coworking,,publico,,,,1,,
,Peças Cummins,,publico,,,,1,,
,Tapparo Industria,,publico,,,,1,,
,Capta EAD,,publico,,,,1,,
,Santuá Confecções,,publico,,,,1,,
,Maria Biju,,publico,,,,1,,
,FM Zahra,,publico,,,,1,,
,Panobianco,,publico,,,,1,,
,Clinica Veterinaria Zenvet,,publico,,,,1,,
,Infiniti Telecom,,publico,,,,1,,
,Ice Dream Gelo,,publico,,,,1,,
,Vertical House,,publico,,,,1,,
,Consultora Luizy Souza,,publico,,,,1,,
,TruckMe,,publico,,,,1,,
,Lamon Peças Agrícolas,,publico,,,,1,,
,Ilha Service,,publico,,,,1,,
,JL Auto Mecânica,,publico,,,,1,,
,GrupoSMK Log,,publico,,,,1,,
,Selva Açai,,publico,,,,1,,
,Cervejaria Germânia,,publico,,,,1,,
,Ju Ribeiro Confecções,,publico,,,,1,,
,Jioji Cavalera,,publico,,,,1,,
,Liló Decor,,publico,,,,1,,
,Grupo Vital (Vital Glass),,publico,,,,1,,
,Flora Barigui,,publico,,,,1,,
,Raízes e Folhas,,publico,,,,1,,
,NW DRONES,,publico,,,,1,,
,Shop Saldo Olímpia,,publico,,,,1,,
,Amado Galantini ADV,,publico,,,,1,,
,Cogno Psiquiatria,,publico,,,,1,,
,Ban Tur VIagens,,publico,,,,1,,
,Comvida Soluções,,publico,,,,1,,
